Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0046_AC_SB10,SB10,SB,10/12,-1.1941229,-1.77755351,-0.68786530,-2.643505576,Clust3,Clust2,0.000010,0.224611,0.615605,0.159774
KP0050_AC_SB10,SB10,SB,10/12,-2.0501357,-2.92977951,-0.80821426, 0.941937110,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010
KP0055_AC_SB10,SB10,SB,10/12,-2.4597323,-3.23259737,-3.04292610, 2.604420015,Clust3,Clust2,0.000010,0.133102,0.866878,0.000010
KP0057_AC_SB10,SB10,SB,10/12,-1.9307727,-4.22292637,-2.27699832,-2.588491286,Clust3,Clust2,0.000010,0.000010,0.682530,0.317450
KP0058_AC_SB10,SB10,SB,10/12,-2.4212021,-2.30919931,-0.87161875, 0.276570080,Clust3,Clust2,0.025768,0.030712,0.852812,0.090709
KP0060_AC_SB10,SB10,SB,10/12,-1.3792224,-1.91076556,-1.40186670,-1.501713954,Clust3,Clust2,0.000010,0.355383,0.644597,0.000010
KP0061_AC_SB10,SB10,SB,10/12,-2.4878328,-4.32150236,-2.41077938, 0.848439913,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010
KP0072_AC_SB10,SB10,SB,10/12,-1.8606915,-3.44201712,-2.01721307, 3.161435848,Clust3,Clust2,0.001342,0.021023,0.904311,0.073324
KP0074_AC_SB10,SB10,SB,10/12,-2.5740684,-3.69802494,-1.15889498,-0.214233004,Clust3,Clust2,0.000010,0.160950,0.839030,0.000010
KP0078_AC_SB10,SB10,SB,10/12,-1.9390280,-4.43110314,-4.23990160,-0.765260700,Clust3,Clust2,0.024161,0.000010,0.975819,0.000010
KP0081_AC_SB10,SB10,SB,10/12,-2.2023542,-4.81669414,-4.36878111,-2.297340058,Clust3,Clust2,0.018822,0.000010,0.981158,0.000010
KP0089_AC_SB10,SB10,SB,10/12,-1.6680014,-3.39888451,-1.00663566, 3.294247135,Clust3,Clust2,0.000010,0.000010,0.847996,0.151984
KP0095_AC_SB10,SB10,SB,10/12,-2.5456329,-3.58184278,-1.11444443, 1.453850283,Clust3,Clust2,0.000010,0.123746,0.797822,0.078421
KP0100_AC_SB10,SB10,SB,10/12,-2.1121194,-2.91000492,-2.93211322,-2.847301132,Clust3,Clust2,0.000010,0.295233,0.603804,0.100953
KP0101_AC_SB10,SB10,SB,10/12,-2.2765921,-3.98309347,-3.39172033,-2.239724645,Clust3,Clust2,0.000010,0.000010,0.961344,0.038636
KP0102_AC_SB10,SB10,SB,10/12,-2.4035421,-3.30826799,-0.81899658, 3.776275530,Clust3,Clust2,0.000010,0.000010,0.802400,0.197580
KP0104_AC_SB10,SB10,SB,10/12,-1.2882711,-3.70145028,-2.37748474,-1.853879849,Clust3,Clust2,0.055945,0.000010,0.801157,0.142887
KP0109_LM_SB10,SB10,SB,10/12,-1.9137962,-3.06175094,-1.06819786,-0.006743786,Clust3,Clust2,0.005252,0.167573,0.689681,0.137493
KP0112_AC_SB10,SB10,SB,10/12,-2.1811765,-3.77090537,-2.79424915, 0.532348096,Clust3,Clust2,0.007104,0.003212,0.971375,0.018309
KP0116_AC_SB10,SB10,SB,10/12,-1.2046312,-3.83869679,-2.19730651, 3.541820516,Clust3,Clust2,0.000017,0.100834,0.899138,0.000010
KP0120_AC_SB10,SB10,SB,10/12,-2.1427782,-3.31362107,-1.83425929, 1.727359539,Clust3,Clust2,0.003944,0.111735,0.796035,0.088286
KP0121_AC_SB10,SB10,SB,10/12,-1.0158447,-4.01229693,-2.55702787, 0.711910312,Clust3,Clust2,0.000010,0.086616,0.756878,0.156496
KP0122_AC_SB10,SB10,SB,10/12,-1.9049076,-3.85199932,-1.47581052, 1.224030463,Clust3,Clust2,0.002021,0.000010,0.893403,0.104565
KP0123_AC_SB10,SB10,SB,10/12,-2.2282959,-3.29873735,-1.47623600, 1.086861998,Clust3,Clust2,0.000010,0.000010,0.656423,0.343557
KP0125_AC_SB10,SB10,SB,10/12,-1.3116588,-4.18920486,-1.62321158, 3.330755355,Clust3,Clust2,0.003502,0.000010,0.996478,0.000010
KP0127_AC_SB10,SB10,SB,10/12,-1.8873894,-3.08193892,-0.96603850, 1.680079089,Clust3,Clust2,0.000010,0.007566,0.794547,0.197876
KP0129_AC_SB10,SB10,SB,10/12,-1.1320923,-2.32134767,-0.18904007, 1.344377043,Clust3,Clust2,0.000010,0.089094,0.655663,0.255233
KP0131_HU_SB05,SB05,SB,5,-2.6686468, 2.38687925, 0.86215480,-0.611754912,Clust2,Clust2,0.000010,0.718449,0.000010,0.281531
KP0153_AC_SQ12,SQ12,SQ,10/12,-1.8660992,-3.37841150,-2.60458604,-0.407931838,Clust3,Clust2,0.000010,0.000010,0.804779,0.195201
KP0158_AC_SQ12,SQ12,SQ,10/12,-1.6906476,-3.67572295,-1.13238005, 0.114093727,Clust3,Clust2,0.026088,0.080554,0.802456,0.090902
KP0162_AC_SQ12,SQ12,SQ,10/12,-2.5130207,-3.43005394,-2.72169351,-3.289590985,Clust3,Clust2,0.000010,0.022336,0.977644,0.000010
KP0167_AC_SQ12,SQ12,SQ,10/12,-1.8012400,-3.14077555,-1.26872289, 0.482959638,Clust3,Clust2,0.005997,0.112320,0.441272,0.440411
KP0168_AC_SQ12,SQ12,SQ,10/12,-2.2904261,-3.37687768,-1.04056684, 0.648835707,Clust3,Clust2,0.000010,0.134870,0.865110,0.000010
KP0171_AC_SQ12,SQ12,SQ,10/12,-2.2855733,-3.98429024,-2.87991540,-4.923202396,Clust3,Clust2,0.000010,0.025690,0.918775,0.055524
KP0172_AC_SQ12,SQ12,SQ,10/12,-0.9825399,-3.17091418,-1.53339149,-0.388915022,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010
KP0176_AC_SQ12,SQ12,SQ,10/12,-1.9353698,-3.38688118,-2.08748037, 0.355144148,Clust3,Clust2,0.000010,0.000010,0.947880,0.052100
KP0181_AC_SQ12,SQ12,SQ,10/12,-2.1220564,-3.35416483,-1.25759128,-4.077265985,Clust3,Clust2,0.000010,0.000010,0.768373,0.231607
KP0187_AC_SQ12,SQ12,SQ,10/12,-2.7091841,-3.43887444,-2.47772133,-3.241713770,Clust3,Clust2,0.000010,0.031566,0.968414,0.000010
KP0189_AC_SQ12,SQ12,SQ,10/12,-2.6357747,-2.64435673,-1.49830257,-0.010188983,Clust3,Clust2,0.000010,0.141388,0.846171,0.012431
KP0190_AC_SQ12,SQ12,SQ,10/12,-2.6150148,-2.50351327,-1.82516610,-0.424761130,Clust3,Clust2,0.002864,0.000010,0.997116,0.000010
KP0197_AC_SQ12,SQ12,SQ,10/12,-1.0277743,-3.50575816,-2.39918378, 0.750136114,Clust3,Clust2,0.000010,0.111666,0.888314,0.000010
KP0202_AC_SQ12,SQ12,SQ,10/12,-1.6822105,-3.54977978,-1.39685521,-4.652741170,Clust3,Clust2,0.024230,0.000010,0.819899,0.155860
KP0209_AC_SQ12,SQ12,SQ,10/12,-1.8941970,-2.93513560,-2.97339124,-3.202801697,Clust3,Clust2,0.000228,0.207176,0.653787,0.138808
KP0214_AC_SQ20,SQ20,SQ,20,-1.6996797,-3.17289841,-1.15170720,-0.244215950,Clust3,Clust2,0.017927,0.131087,0.850976,0.000010
KP0218_AC_SQ20,SQ20,SQ,20,20.0018965, 0.48068152, 0.97946399, 0.579810052,Clust1,Clust1,0.999961,0.000019,0.000010,0.000010
KP0220_AC_SQ20,SQ20,SQ,20,-0.7841367,-3.11472253,-0.83654508, 0.833150256,Clust3,Clust2,0.000010,0.090206,0.510068,0.399716
KP0222_AC_SQ20,SQ20,SQ,20,-1.2016245,-1.93000091,-0.47960332,-0.311785072,Clust3,Clust2,0.041464,0.026168,0.643507,0.288861
KP0225_AC_SQ20,SQ20,SQ,20,-1.4899593,-2.49822149,-1.11789705,-0.160826346,Clust3,Clust2,0.020882,0.078831,0.647000,0.253287
KP0229_AC_SQ20,SQ20,SQ,20,-0.9202239,-2.19858023,-0.54072195,-2.921916764,Clust4,Clust2,0.074208,0.045119,0.370339,0.510334
KP0235_AC_SQ20,SQ20,SQ,20,14.2035798, 0.79988061, 0.07144382, 1.176974263,Clust1,Clust1,0.999969,0.000011,0.000010,0.000010
KP0236_AC_SQ20,SQ20,SQ,20,-2.0800613,-2.52664363,-2.34740621, 0.573624934,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010
KP0237_AC_SQ20,SQ20,SQ,20,-3.0463814,-2.26621900,-0.33243072,-0.091737120,Clust3,Clust2,0.000010,0.286321,0.463591,0.250079
KP0241_AC_SQ20,SQ20,SQ,20,20.0597826, 0.18953383, 0.08037121, 0.432143871,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0242_AC_SQ20,SQ20,SQ,20,-1.5396835,-2.37435698,-1.10581016,-3.926666022,Clust3,Clust2,0.002226,0.086269,0.743803,0.167702
KP0243_AC_SQ20,SQ20,SQ,20,20.0737440, 0.42822609,-0.41957123,-3.383972667,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0247_AC_SQ20,SQ20,SQ,20,19.9067116, 0.34726804, 0.41437445,-0.318339052,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0251_AC_SQ20,SQ20,SQ,20,-1.8583689,-3.87308204,-1.17148972, 2.594486705,Clust3,Clust2,0.001482,0.010314,0.757078,0.231125
KP0255_AC_SQ20,SQ20,SQ,20,20.0479155, 0.15655387, 0.46160000,-0.205596596,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
