Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0049_HU_SB10,SB10,SB,10/12,-5.15966992, 0.4820738,-2.133311181,-1.535036782,Clust1,Clust1,0.561820,0.000010,0.155879,0.282291
KP0073_HU_SB10,SB10,SB,10/12,-3.91790855, 0.5138300,-1.752560267,-2.828640343,Clust1,Clust1,0.708918,0.000010,0.049363,0.241709
KP0084_AC_SB10,SB10,SB,10/12,15.54271869,-2.3009016, 0.210239057, 0.199343394,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0090_AC_SB10,SB10,SB,10/12,-4.85977046, 1.3378367,-0.967216895,-3.527519930,Clust4,NA,0.201397,0.000010,0.309178,0.489415
KP0091_AC_SB10,SB10,SB,10/12,15.68126477,-2.4051523,-0.163934057, 0.483510275,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0093_AC_SB10,SB10,SB,10/12,-6.12782358,-0.8258224, 0.661676746,-3.644529202,Clust1,NA,0.386844,0.000010,0.235275,0.377871
KP0099_AC_SB10,SB10,SB,10/12,-7.36679738,-3.7614385, 2.475353934,-5.058787466,Clust4,Clust1,0.019474,0.000010,0.000010,0.980506
KP0111_AC_SB10,SB10,SB,10/12,-8.41301239,-4.3227045, 2.726284634,-5.486092743,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970
KP0130_AC_SB05,SB05,SB,5,16.02258117,-1.9901704,-0.187099967,-0.067289584,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0132_HU_SB05,SB05,SB,5,15.27070524,-2.6882955,-0.294373419, 0.206575511,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0134_HU_SB05,SB05,SB,5,-7.45377403,-3.8105505,-0.466457694,-5.994190676,Clust4,Clust1,0.047066,0.000010,0.000010,0.952914
KP0135_HU_SB05,SB05,SB,5,16.17474988,-2.6963440,-0.475296172,-0.217567672,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0138_HU_SB05,SB05,SB,5, 1.24141620,11.0723656,-0.511846176,-2.089524100,Clust3,Clust3,0.000010,0.000010,0.999970,0.000010
KP0140_HU_SB05,SB05,SB,5,16.51630597,-3.5262243, 0.560821390,-0.469627933,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0142_HU_SB05,SB05,SB,5,15.87516004,-2.5505857,-0.234681044,-0.026291170,Clust2,Clust2,0.000014,0.999966,0.000010,0.000010
