Individual,Site,Loc,Depth,V1,V2,Clusters,Q.Clust1,Q.Clust2
KP0086_LM_SB10,SB10,SB,10,  4.093617,-0.68023347,Clust2,0.000010,0.999990
KP0096_AC_SB10,SB10,SB,10, -9.682708,-0.07646557,Clust1,0.923076,0.076924
KP0108_AC_SB10,SB10,SB,10,  3.595758,-0.51131421,Clust2,0.000010,0.999990
KP0186_AC_SQ12,SQ12,SQ,12,  5.509591,-0.66184457,Clust2,0.000010,0.999990
KP0192_AC_SQ12,SQ12,SQ,12,  5.100236,-0.50767973,Clust2,0.022554,0.977446
KP0203_AC_SQ12,SQ12,SQ,12,  4.746715,-0.57678388,Clust2,0.000010,0.999990
KP0207_LM_SQ12,SQ12,SQ,12,  4.171808,-0.35534237,Clust2,0.000010,0.999990
KP0249_LM_SQ20,SQ20,SQ,20,  4.233345,-0.73111060,Clust2,0.000010,0.999990
KP0252_LM_SQ20,SQ20,SQ,20,  4.632090,-0.38955999,Clust2,0.000010,0.999990
KP0254_LM_SQ20,SQ20,SQ,20, -9.634829,-0.47365564,Clust1,0.848533,0.151467
KP0282_LM_SQ20,SQ20,SQ,20,  4.432686,-0.60169227,Clust2,0.000010,0.999990
KP0285_LM_SQ20,SQ20,SQ,20, -8.475446,-0.33404185,Clust1,0.895818,0.104182
KP0290_LM_WP20,WP20,WP,20,  5.381408,-0.19664696,Clust2,0.000010,0.999990
KP0293_LM_WP20,WP20,WP,20,  4.454570,-0.52679757,Clust2,0.000010,0.999990
KP0308_LM_WP20,WP20,WP,20,  4.477245,-0.48485614,Clust2,0.000010,0.999990
KP0319_LM_WP20,WP20,WP,20,  4.411882,-0.29468597,Clust2,0.000010,0.999990
KP0322_LM_WP20,WP20,WP,20, -9.063601,-0.27942487,Clust1,0.999990,0.000010
KP0328_LM_WP20,WP20,WP,20, -9.442388,-0.21747244,Clust1,0.831256,0.168744
KP0341_LM_WP20,WP20,WP,20,  4.233516,-0.47087099,Clust2,0.000010,0.999990
