# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
KP0139_HU_SB05,KP0141_HU_SB05,25111,20738,20469,20465.5,99.98,HU_SB05
KP0139_HU_SB05,KP0140_HU_SB05,24233,24561,23414,23409,99.98,HU_SB05
KP0137_HU_SB05,KP0138_HU_SB05,22679,23448,20747,20742,99.98,HU_SB05
KP0140_HU_SB05,KP0141_HU_SB05,24919,20738,20277,20271,99.97,HU_SB05
KP0098_AC_SB10,KP0111_AC_SB10,24972,25133,24725,24716.5,99.97,AC_SB10
KP0092_AC_SB10,KP0639_LM_SB20,21109,24890,20619,20612.5,99.97,AC_SB10-LM_SB20
KP1084_AC_CA20,KP1086_HU_CA20,25140,24324,24084,24074,99.96,AC_CA20-HU_CA20
KP0474_AC_WP20,KP0740_HU_WP10,24582,23568,22770,22760,99.96,AC_WP20-HU_WP10
KP0770_AC_WP10,KP0954_HU_WP05,22655,23627,20902,20892,99.95,AC_WP10-HU_WP05
KP0421_HU_CA05,KP0438_HU_CA05,21508,25218,21346,21335.5,99.95,HU_CA05
KP0417_HU_CA05,KP0442_HU_CA05,24036,23222,21878,21868,99.95,HU_CA05
KP0098_AC_SB10,KP0110_AC_SB10,24939,23628,23187,23175.5,99.95,AC_SB10
KP0075_HU_SB10,KX0075_HU_SB10,23585,24567,22772,22759.5,99.95,HU_SB10
KP1034_HU_CA10,KP1036_UN_CA10,24985,25065,24670,24654.5,99.94,HU_CA10-UN_CA10
KP1003_HU_CA10,KP1005_HU_CA10,25137,25199,24956,24941,99.94,HU_CA10
KP0798_HU_WP10,KP0814_HU_WP10,22616,22825,20061,20048.5,99.94,HU_WP10
KP0110_AC_SB10,KP0111_AC_SB10,23712,25133,23465,23451.5,99.94,AC_SB10
KP0183_AC_SQ12,KP0184_AC_SQ12,24064,24790,23474,23454,99.91,AC_SQ12
KP0427_HU_CA05,KP0428_HU_CA05,23602,21309,19531,19512,99.9,HU_CA05
KP0159_AC_SQ12,KP0183_AC_SQ12,23561,23972,22153,22131,99.9,AC_SQ12
KP0159_AC_SQ12,KP0184_AC_SQ12,23507,24790,22917,22885,99.86,AC_SQ12
KP0877_HU_WP10,KP0878_AC_WP10,24593,24318,23531,23481,99.79,AC_WP10-HU_WP10
KP0421_HU_CA05,KP0425_HU_CA05,21552,25198,21370,21319,99.76,HU_CA05
KP0425_HU_CA05,KP0438_HU_CA05,25274,25218,25112,25048.5,99.75,HU_CA05
KP0416_HU_CA05,KP0418_HU_CA05,23875,24922,23417,23309.5,99.54,HU_CA05
KP0552_AC_WP20,KP1074_AC_CA20,25043,24092,23755,23630.5,99.48,AC_CA20-AC_WP20
KP0420_HU_CA05,KP1003_HU_CA10,23968,25119,23707,23573.5,99.44,HU_CA05-HU_CA10
KP0420_HU_CA05,KP1005_HU_CA10,24006,25199,23825,23684.5,99.41,HU_CA05-HU_CA10
KP0552_AC_WP20,KP1039_HU_CA10,25024,25176,24820,24652.5,99.33,AC_WP20-HU_CA10
KP0147_HU_SB05,KP0148_HU_SB05,24939,21746,21305,21162,99.33,HU_SB05
KP0416_HU_CA05,KP0420_HU_CA05,24076,23950,22646,22487.5,99.3,HU_CA05
KP0474_AC_WP20,KP0789_HU_WP10,24749,20521,19890,19707,99.08,AC_WP20-HU_WP10
KP0416_HU_CA05,KP1003_HU_CA10,23885,25119,23624,23404,99.07,HU_CA05-HU_CA10
KP0740_HU_WP10,KP0789_HU_WP10,24118,20521,19259,19074.5,99.04,HU_WP10
KP0416_HU_CA05,KP1005_HU_CA10,23881,25199,23700,23472,99.04,HU_CA05-HU_CA10
KP1039_HU_CA10,KP1074_AC_CA20,25177,24092,23889,23650,99,AC_CA20-HU_CA10
KP0827_AC_WP10,KP0850_AC_WP10,24458,24108,23186,22943,98.95,AC_WP10
