# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
KP0557_AC_WP20,KP1124_AC_CA20,18358,18222,18039,18031.000000,99.960000,AC_CA20-AC_WP20
KP0657_LM_SB20,KX0657_LM_SB20,18447,17133,17039,17031.000000,99.950000,LM_SB20
KP0657_LM_SB20,KP0659_LM_SB20,18476,16777,16712,16704.000000,99.950000,LM_SB20
KP0659_LM_SB20,KX0657_LM_SB20,17152,17133,15744,15735.000000,99.940000,LM_SB20
KP0343_LM_WP20,KP0345_LM_WP20,18130,16738,16327,16315.000000,99.930000,LM_WP20
KP0341_LM_WP20,KP0343_LM_WP20,18043,17627,17129,17117.500000,99.930000,LM_WP20
KP0341_LM_WP20,KP0342_LM_WP20,18060,17549,17068,17053.500000,99.920000,LM_WP20
KP0341_LM_WP20,KP0345_LM_WP20,18023,16738,16220,16204.500000,99.900000,LM_WP20
KP0253_LM_SQ20,KP0254_LM_SQ20,18107,18109,17675,17657.500000,99.900000,LM_SQ20
KP0342_LM_WP20,KP0343_LM_WP20,17796,17627,16882,16863.500000,99.890000,LM_WP20
KP0096_AC_SB10,KP0637_LM_SB20,18282,15540,15281,15262.000000,99.880000,AC_SB10-LM_SB20
KP1059_LM_CA20,KP1061_LM_CA20,18263,18236,17958,17935.000000,99.870000,LM_CA20
KP1058_LM_CA20,KP1064_LM_CA20,16312,18101,15872,15851.500000,99.870000,LM_CA20
KP0342_LM_WP20,KP0345_LM_WP20,18162,16738,16359,16337.000000,99.870000,LM_WP20
KP0330_LM_WP20,KX0330_LM_WP20,17084,16374,14917,14896.500000,99.860000,LM_WP20
KP0293_LM_WP20,KP0318_LM_WP20,18160,17553,17172,17096.500000,99.560000,LM_WP20
KP0676_LM_SB20,KP1094_LM_CA20,16149,15435,13043,12541.000000,96.150000,LM_CA20-LM_SB20
KP0192_AC_SQ12,KP0609_AC_SB20,17801,17909,17169,16478.000000,95.980000,AC_SB20-AC_SQ12
KP0637_LM_SB20,KP1101_LM_CA20,15798,17485,14742,14143.500000,95.940000,LM_CA20-LM_SB20
KP0588_LM_WP20,KP0666_LM_SB20,17759,16153,15371,14744.500000,95.920000,LM_SB20-LM_WP20
KP0618_LM_SB20,KP0676_LM_SB20,18049,15876,15384,14754.000000,95.900000,LM_SB20
KP0473_LM_WP20,KP0588_LM_WP20,17901,17483,16843,16152.000000,95.900000,LM_WP20
KP0330_LM_WP20,KP0588_LM_WP20,16337,17483,15279,14649.000000,95.880000,LM_WP20
KP0253_LM_SQ20,KP0330_LM_WP20,18005,16109,15573,14931.000000,95.880000,LM_SQ20-LM_WP20
KP0664_LM_SB20,KP0666_LM_SB20,18051,16153,15663,15015.500000,95.870000,LM_SB20
KP0548_LM_WP20,KP0666_LM_SB20,17987,16153,15599,14954.500000,95.870000,LM_SB20-LM_WP20
KP0285_LM_SQ20,KX0330_LM_WP20,16762,16374,14595,13992.500000,95.870000,LM_SQ20-LM_WP20
KP0285_LM_SQ20,KP0330_LM_WP20,16324,16109,13892,13318.500000,95.870000,LM_SQ20-LM_WP20
KP0666_LM_SB20,KP1167_LM_CA20,16422,17482,15363,14726.500000,95.860000,LM_CA20-LM_SB20
KP0473_LM_WP20,KP0676_LM_SB20,17917,15876,15252,14621.000000,95.860000,LM_SB20-LM_WP20
KP0732_LM_SB20,KP1124_AC_CA20,17999,18222,17680,16944.500000,95.840000,AC_CA20-LM_SB20
KP0548_LM_WP20,KP1094_LM_CA20,18120,15435,15014,14390.000000,95.840000,LM_CA20-LM_WP20
KP0282_LM_SQ20,KP0617_LM_SB20,16955,17751,16165,15492.500000,95.840000,LM_SB20-LM_SQ20
KP0254_LM_SQ20,KP0588_LM_WP20,18228,17483,17170,16455.500000,95.840000,LM_SQ20-LM_WP20
KP0664_LM_SB20,KP1043_LM_CA10,18091,16882,16432,15747.500000,95.830000,LM_CA10-LM_SB20
KP0557_AC_WP20,KP0732_LM_SB20,18153,17968,17580,16847.500000,95.830000,AC_WP20-LM_SB20
KP0253_LM_SQ20,KP0588_LM_WP20,18015,17483,16957,16249.500000,95.830000,LM_SQ20-LM_WP20
KP0664_LM_SB20,KP0676_LM_SB20,17994,15876,15329,14688.000000,95.820000,LM_SB20
KP0588_LM_WP20,KX0330_LM_WP20,17945,16374,15778,15118.000000,95.820000,LM_WP20
KP0330_LM_WP20,KP0473_LM_WP20,16288,17839,15586,14934.500000,95.820000,LM_WP20
KP0282_LM_SQ20,KP0482_LM_WP20,17962,16117,15538,14889.000000,95.820000,LM_SQ20-LM_WP20
KP0253_LM_SQ20,KX0330_LM_WP20,17949,16374,15782,15123.000000,95.820000,LM_SQ20-LM_WP20
KP0192_AC_SQ12,KP0551_LM_WP20,17753,18264,17476,16746.000000,95.820000,AC_SQ12-LM_WP20
KP1058_LM_CA20,KP1123_LM_CA20,16211,17663,15333,14691.000000,95.810000,LM_CA20
KP0851_AC_WP10,KX0330_LM_WP20,18221,16374,16054,15381.500000,95.810000,AC_WP10-LM_WP20
KP0588_LM_WP20,KP0664_LM_SB20,17486,17956,16901,16193.000000,95.810000,LM_SB20-LM_WP20
KP0676_LM_SB20,KP1064_LM_CA20,15959,18101,15519,14867.500000,95.800000,LM_CA20-LM_SB20
KP0676_LM_SB20,KP1058_LM_CA20,16189,15965,13613,13041.000000,95.800000,LM_CA20-LM_SB20
KP0609_AC_SB20,KP0732_LM_SB20,17971,17968,17398,16668.000000,95.800000,AC_SB20-LM_SB20
KP0551_LM_WP20,KP0609_AC_SB20,18277,17909,17645,16903.500000,95.800000,AC_SB20-LM_WP20
KP0096_AC_SB10,KP1101_LM_CA20,18041,17485,16985,16272.000000,95.800000,AC_SB10-LM_CA20
KP0609_AC_SB20,KP0650_LM_SB20,17940,17913,17312,16583.500000,95.790000,AC_SB20-LM_SB20
KP0377_LM_WP20,KP1123_LM_CA20,17833,17663,16955,16240.500000,95.790000,LM_CA20-LM_WP20
KP0282_LM_SQ20,KP0795_LM_WP10,16812,17838,16109,15431.000000,95.790000,LM_SQ20-LM_WP10
KP0254_LM_SQ20,KP0676_LM_SB20,18300,15876,15635,14977.500000,95.790000,LM_SB20-LM_SQ20
KP0731_LM_SB20,KP1065_LM_CA20,17770,17932,17161,16437.000000,95.780000,LM_CA20-LM_SB20
KP0482_LM_WP20,KP0617_LM_SB20,16266,17751,15476,14823.500000,95.780000,LM_SB20-LM_WP20
KP0282_LM_SQ20,KP0609_AC_SB20,16874,17909,16242,15557.000000,95.780000,AC_SB20-LM_SQ20
KP0676_LM_SB20,KP1123_LM_CA20,16102,17663,15224,14579.500000,95.770000,LM_CA20-LM_SB20
KP0345_LM_WP20,KP0551_LM_WP20,16802,18264,16525,15826.000000,95.770000,LM_WP20
KP0328_LM_WP20,KP0666_LM_SB20,18120,16153,15732,15067.000000,95.770000,LM_SB20-LM_WP20
KP0328_LM_WP20,KP0637_LM_SB20,18065,15540,15064,14427.000000,95.770000,LM_SB20-LM_WP20
KP0322_LM_WP20,KP0666_LM_SB20,16924,16153,14536,13921.000000,95.770000,LM_SB20-LM_WP20
KP0322_LM_WP20,KP0330_LM_WP20,16897,16109,14465,13853.000000,95.770000,LM_WP20
KP0254_LM_SQ20,KX0330_LM_WP20,18172,16374,16005,15328.000000,95.770000,LM_SQ20-LM_WP20
KP0192_AC_SQ12,KP0616_LM_SB20,17837,17317,16613,15910.500000,95.770000,AC_SQ12-LM_SB20
KP1101_LM_CA20,KP1123_LM_CA20,17778,17663,16900,16183.500000,95.760000,LM_CA20
KP0732_LM_SB20,KP1160_UN_CA20,18008,18054,17521,16778.000000,95.760000,LM_SB20-UN_CA20
KP0676_LM_SB20,KP1167_LM_CA20,16057,17482,14998,14361.500000,95.760000,LM_CA20-LM_SB20
KP0637_LM_SB20,KP1126_LM_CA20,15707,18029,15195,14551.000000,95.760000,LM_CA20-LM_SB20
KP0618_LM_SB20,KP1123_LM_CA20,18091,17663,17213,16484.000000,95.760000,LM_CA20-LM_SB20
