Sample,Pop,Groups,Sites
KP0046_AC_SB10,AC_SB10,318,20980.0
KP0050_AC_SB10,AC_SB10,63,14986.0
KP0055_AC_SB10,AC_SB10,48,21843.0
KP0057_AC_SB10,AC_SB10,84,21964.0
KP0058_AC_SB10,AC_SB10,42,22021.0
KP0060_AC_SB10,AC_SB10,291,14239.0
KP0061_AC_SB10,AC_SB10,90,21951.0
KP0074_AC_SB10,AC_SB10,91,22007.0
KP0072_AC_SB10,AC_SB10,57,21911.0
KP0078_AC_SB10,AC_SB10,41,21293.0
KP0081_AC_SB10,AC_SB10,40,21946.0
KP0089_AC_SB10,AC_SB10,300,19580.0
KP0095_AC_SB10,AC_SB10,289,19937.0
KP0100_AC_SB10,AC_SB10,92,21710.0
KP0101_AC_SB10,AC_SB10,85,21815.0
KP0102_AC_SB10,AC_SB10,62,21980.0
KP0104_AC_SB10,AC_SB10,83,21481.0
KP0109_LM_SB10,LM_SB10,299,18547.0
KP0112_AC_SB10,AC_SB10,319,22078.0
KP0116_AC_SB10,AC_SB10,292,21284.0
KP0127_AC_SB10,AC_SB10,81,21254.0
KP0120_AC_SB10,AC_SB10,56,21992.0
KP0121_AC_SB10,AC_SB10,77,20227.0
KP0122_AC_SB10,AC_SB10,58,18642.0
KP0123_AC_SB10,AC_SB10,310,21684.0
KP0125_AC_SB10,AC_SB10,305,20902.0
KP0129_AC_SB10,AC_SB10,294,15394.0
KP0131_HU_SB05,HU_SB05,238,19439.0
KP0171_AC_SQ12,AC_SQ12,50,22053.0
KP0153_AC_SQ12,AC_SQ12,78,21909.0
KP0158_AC_SQ12,AC_SQ12,73,21917.0
KP0162_AC_SQ12,AC_SQ12,51,21956.0
KP0187_AC_SQ12,AC_SQ12,51,21956.0
KP0168_AC_SQ12,AC_SQ12,76,21960.0
KP0167_AC_SQ12,AC_SQ12,79,22105.0
KP0172_AC_SQ12,AC_SQ12,36,19903.0
KP0176_AC_SQ12,AC_SQ12,35,22016.0
KP0181_AC_SQ12,AC_SQ12,313,21281.0
KP0189_AC_SQ12,AC_SQ12,311,21819.0
KP0190_AC_SQ12,AC_SQ12,67,21974.0
KP0202_AC_SQ12,AC_SQ12,72,21592.0
KP0197_AC_SQ12,AC_SQ12,66,22012.0
KP0209_AC_SQ12,AC_SQ12,45,21551.0
KP0214_AC_SQ20,AC_SQ20,47,22060.0
KP0218_AC_SQ20,AC_SQ20,31,21505.0
KP0220_AC_SQ20,AC_SQ20,55,22007.0
KP0222_AC_SQ20,AC_SQ20,38,21559.0
KP0225_AC_SQ20,AC_SQ20,71,21730.0
KP0229_AC_SQ20,AC_SQ20,52,21863.0
KP0235_AC_SQ20,AC_SQ20,27,15874.0
KP0236_AC_SQ20,AC_SQ20,322,20291.0
KP0237_AC_SQ20,AC_SQ20,88,21454.0
KP0241_AC_SQ20,AC_SQ20,28,21726.0
KP0242_AC_SQ20,AC_SQ20,54,21918.0
KP0243_AC_SQ20,AC_SQ20,34,21031.0
KP0247_AC_SQ20,AC_SQ20,3,21381.0
KP0251_AC_SQ20,AC_SQ20,39,21989.0
KP0255_AC_SQ20,AC_SQ20,1,21651.0
KP0257_AC_SQ20,AC_SQ20,70,20937.0
KP0261_AC_SQ20,AC_SQ20,69,21514.0
KP0259_AC_SQ20,AC_SQ20,2,21613.0
KP0269_AC_SQ20,AC_SQ20,74,22100.0
KP0272_AC_SQ20,AC_SQ20,53,22097.0
KP0279_AC_SQ20,AC_SQ20,89,21539.0
KP0284_AC_SQ20,AC_SQ20,75,21958.0
KP0289_AC_WP20,AC_WP20,235,20998.0
KP0291_AC_WP20,AC_WP20,283,20823.0
KP0292_AC_WP20,AC_WP20,240,19157.0
KP0294_AC_WP20,AC_WP20,155,21759.0
KP0296_AC_WP20,AC_WP20,200,21514.0
KP0301_AC_WP20,AC_WP20,171,21145.0
KP0304_AC_WP20,AC_WP20,180,21952.0
KP0305_AC_WP20,AC_WP20,244,21973.0
KP0311_AC_WP20,AC_WP20,22,21500.0
KP0314_AC_WP20,AC_WP20,158,22055.0
KP0317_AC_WP20,AC_WP20,156,19031.0
KP0323_AC_WP20,AC_WP20,159,21991.0
KP0326_AC_WP20,AC_WP20,208,20452.0
KP0329_AC_WP20,AC_WP20,211,18965.0
KP0332_AC_WP20,AC_WP20,113,22058.0
KP0335_AC_WP20,AC_WP20,185,21822.0
KP0340_AC_WP20,AC_WP20,290,16052.0
KP0346_AC_WP20,AC_WP20,225,19676.0
KP0347_AC_WP20,AC_WP20,19,21625.0
KP0354_AC_WP20,AC_WP20,164,22078.0
KP0355_AC_WP20,AC_WP20,165,17126.0
KP0360_AC_WP20,AC_WP20,201,22027.0
KP0365_AC_WP20,AC_WP20,117,21785.0
KP0368_AC_WP20,AC_WP20,278,21828.0
KP0369_AC_WP20,AC_WP20,8,21524.0
KP0372_AC_WP20,AC_WP20,186,22022.0
KP0374_AC_WP20,AC_WP20,130,21214.0
KP0379_AC_WP20,AC_WP20,5,15279.0
KP0383_AC_WP20,AC_WP20,141,22063.0
KP0481_AC_WP20,AC_WP20,124,21982.0
KP0395_AC_WP20,AC_WP20,4,21553.0
KP0396_AC_WP20,AC_WP20,4,21553.0
KP0399_LM_WP20,LM_WP20,20,21514.0
KP0405_AC_WP20,AC_WP20,284,22013.0
KP0406_NA_NANA,NA_NANA,118,21724.0
KP0407_AC_CA05,AC_CA05,107,16310.0
KP0408_AC_CA05,AC_CA05,306,21958.0
KP0409_AC_CA05,AC_CA05,253,19244.0
KP0424_AC_CA05,AC_CA05,279,22040.0
KP0431_HU_CA05,HU_CA05,320,22046.0
KP0441_AC_CA05,AC_CA05,266,21975.0
KP0450_AC_WP20,AC_WP20,217,20655.0
KP0452_AC_WP20,AC_WP20,18,21176.0
KP0454_AC_WP20,AC_WP20,273,22024.0
KP0457_AC_WP20,AC_WP20,203,22056.0
KP0462_AC_WP20,AC_WP20,127,21212.0
KP0463_AC_WP20,AC_WP20,6,14889.0
KP0464_AC_WP20,AC_WP20,197,21168.0
KP0468_AC_WP20,AC_WP20,181,21555.0
KP0470_AC_WP20,AC_WP20,125,17394.0
KP0471_AC_WP20,AC_WP20,182,22069.0
KP0477_AC_WP20,AC_WP20,173,21384.0
KP0479_AC_WP20,AC_WP20,226,15964.0
KP0484_AC_WP20,AC_WP20,194,20420.0
KP0485_AC_WP20,AC_WP20,212,22098.0
KP0486_AC_WP20,AC_WP20,13,20220.0
KP0487_AC_WP20,AC_WP20,161,22132.0
KP0489_AC_WP20,AC_WP20,204,21805.0
KP0490_AC_WP20,AC_WP20,187,20946.0
KP0491_AC_WP20,AC_WP20,160,22117.0
KP0494_AC_WP20,AC_WP20,176,21340.0
KP0505_AC_WP20,AC_WP20,280,14029.0
KP0508_AC_WP20,AC_WP20,177,21229.0
KP0512_AC_WP20,AC_WP20,184,21967.0
KP0516_AC_WP20,AC_WP20,129,22037.0
KP0521_AC_WP20,AC_WP20,175,21222.0
KP0523_AC_WP20,AC_WP20,142,22052.0
KP0532_AC_WP20,AC_WP20,162,21792.0
KP0530_AC_WP20,AC_WP20,179,21864.0
KP0533_AC_WP20,AC_WP20,183,21480.0
KP0535_AC_WP20,AC_WP20,112,21568.0
KP0536_AC_WP20,AC_WP20,241,20817.0
KP0537_AC_WP20,AC_WP20,163,22129.0
KP0546_AC_WP20,AC_WP20,178,21995.0
KP0545_AC_WP20,AC_WP20,202,21589.0
KP0554_AC_WP20,AC_WP20,209,21568.0
