Sample,Pop,Groups,Sites
KP0046_AC_SB10,SB10,308,20980.0
KP0050_AC_SB10,SB10,56,14986.0
KP0055_AC_SB10,SB10,41,21843.0
KP0057_AC_SB10,SB10,76,21964.0
KP0058_AC_SB10,SB10,35,22021.0
KP0060_AC_SB10,SB10,281,14239.0
KP0061_AC_SB10,SB10,82,21951.0
KP0074_AC_SB10,SB10,83,22007.0
KP0072_AC_SB10,SB10,50,21911.0
KP0081_AC_SB10,SB10,34,21946.0
KP0089_AC_SB10,SB10,290,19580.0
KP0095_AC_SB10,SB10,279,19937.0
KP0100_AC_SB10,SB10,84,21710.0
KP0101_AC_SB10,SB10,77,21815.0
KP0102_AC_SB10,SB10,55,21980.0
KP0104_AC_SB10,SB10,75,21481.0
KP0109_LM_SB10,SB10,289,18547.0
KP0112_AC_SB10,SB10,309,22078.0
KP0116_AC_SB10,SB10,282,21284.0
KP0127_AC_SB10,SB10,73,21254.0
KP0120_AC_SB10,SB10,49,21992.0
KP0121_AC_SB10,SB10,69,20227.0
KP0122_AC_SB10,SB10,51,18642.0
KP0123_AC_SB10,SB10,300,21684.0
KP0125_AC_SB10,SB10,295,20902.0
KP0129_AC_SB10,SB10,284,15394.0
KP0131_HU_SB05,SB05,228,19439.0
KP0171_AC_SQ12,SQ12,43,22053.0
KP0153_AC_SQ12,SQ12,70,21909.0
KP0158_AC_SQ12,SQ12,65,21917.0
KP0162_AC_SQ12,SQ12,44,21956.0
KP0187_AC_SQ12,SQ12,44,21956.0
KP0168_AC_SQ12,SQ12,68,21960.0
KP0167_AC_SQ12,SQ12,71,22105.0
KP0172_AC_SQ12,SQ12,30,19903.0
KP0176_AC_SQ12,SQ12,29,22016.0
KP0181_AC_SQ12,SQ12,303,21281.0
KP0189_AC_SQ12,SQ12,301,21819.0
KP0190_AC_SQ12,SQ12,60,21974.0
KP0202_AC_SQ12,SQ12,64,21592.0
KP0197_AC_SQ12,SQ12,59,22012.0
KP0209_AC_SQ12,SQ12,38,21551.0
KP0214_AC_SQ20,SQ20,40,22060.0
KP0218_AC_SQ20,SQ20,25,21505.0
KP0220_AC_SQ20,SQ20,48,22007.0
KP0222_AC_SQ20,SQ20,32,21559.0
KP0225_AC_SQ20,SQ20,63,21730.0
KP0229_AC_SQ20,SQ20,45,21863.0
KP0235_AC_SQ20,SQ20,21,15874.0
