Sample,Pop,Groups,Sites
KP0049_HU_SB10,HU_SB10,102,22212.0
KP0073_HU_SB10,HU_SB10,89,17862.0
KX0075_HU_SB10,HU_SB10,33,24567.0
KP0084_AC_SB10,AC_SB10,27,24212.0
KP0090_AC_SB10,AC_SB10,98,23495.0
KP0091_AC_SB10,AC_SB10,24,23158.0
KP0639_LM_SB20,LM_SB20,69,24890.0
KP0093_AC_SB10,AC_SB10,34,22855.0
KP0111_AC_SB10,AC_SB10,70,25133.0
KP0099_AC_SB10,AC_SB10,72,23376.0
KP0130_AC_SB05,AC_SB05,26,24254.0
KP0132_HU_SB05,HU_SB05,20,21949.0
KP0134_HU_SB05,HU_SB05,73,22562.0
KP0135_HU_SB05,HU_SB05,22,24561.0
KP0138_HU_SB05,HU_SB05,30,23448.0
KP0140_HU_SB05,HU_SB05,1,24561.0
KP0142_HU_SB05,HU_SB05,21,24720.0
KP0143_HU_SB05,HU_SB05,120,23735.0
KP0145_HU_SB05,HU_SB05,28,24601.0
KP0146_HU_SB05,HU_SB05,25,23469.0
KP0147_HU_SB05,HU_SB05,2,24654.0
KP0148_HU_SB05,HU_SB05,3,21746.0
KP0149_HU_SB05,HU_SB05,29,23933.0
KP0184_AC_SQ12,AC_SQ12,71,24790.0
KP0211_AC_SQ12,AC_SQ12,78,23348.0
KP0378_AC_WP20,AC_WP20,75,18393.0
KP0410_HU_CA05,HU_CA05,92,24128.0
KP0413_HU_CA05,HU_CA05,81,21321.0
KP0414_HU_CA05,HU_CA05,63,23034.0
KP0418_HU_CA05,HU_CA05,57,24922.0
KP0417_HU_CA05,HU_CA05,39,23945.0
KP0420_HU_CA05,HU_CA05,59,23950.0
KP0438_HU_CA05,HU_CA05,53,25218.0
KP0423_HU_CA05,HU_CA05,51,21895.0
KP0426_HU_CA05,HU_CA05,62,23707.0
KP0427_HU_CA05,HU_CA05,55,22781.0
KP0429_HU_CA05,HU_CA05,54,23818.0
KP0432_HU_CA05,HU_CA05,90,23767.0
KP0434_HU_CA05,HU_CA05,82,22266.0
KP0435_HU_CA05,HU_CA05,60,25033.0
KP0436_HU_CA05,HU_CA05,105,21607.0
