Sample,Pop,Groups,Sites
KP0086_LM_SB10,SB10,59,18215.0
KP0096_AC_SB10,SB10,65,17915.0
KP0108_AC_SB10,SB10,60,15868.0
KP0186_AC_SQ12,SQ12,44,17455.0
KP0192_AC_SQ12,SQ12,14,17713.0
KP0203_AC_SQ12,SQ12,48,17951.0
KP0207_LM_SQ12,SQ12,21,17786.0
KP0249_LM_SQ20,SQ20,25,18061.0
KP0252_LM_SQ20,SQ20,30,18043.0
KP0254_LM_SQ20,SQ20,68,18109.0
KP0282_LM_SQ20,SQ20,8,16790.0
KP0285_LM_SQ20,SQ20,69,15636.0
KP0290_LM_WP20,WP20,22,18077.0
KP0293_LM_WP20,WP20,3,18041.0
KP0308_LM_WP20,WP20,36,15842.0
KP0319_LM_WP20,WP20,61,17878.0
KP0322_LM_WP20,WP20,90,16123.0
KP0328_LM_WP20,WP20,92,17891.0
KX0330_LM_WP20,WP20,75,16374.0
KP0341_LM_WP20,WP20,7,17835.0
KP0348_LM_WP20,WP20,1,17929.0
KP0350_LM_WP20,WP20,40,18337.0
KP0375_LM_WP20,WP20,4,16256.0
KP0377_LM_WP20,WP20,91,17643.0
KP0380_LM_WP20,WP20,54,17905.0
KP0400_LM_WP20,WP20,94,17702.0
KP0459_LM_WP20,WP20,43,17499.0
KP0473_LM_WP20,WP20,77,17839.0
KP0482_LM_WP20,WP20,9,16117.0
KP0547_LM_WP20,WP20,82,17779.0
KP0548_LM_WP20,WP20,79,17931.0
KP0551_LM_WP20,WP20,16,18264.0
KP1124_AC_CA20,CA20,12,18222.0
KP0558_LM_WP20,WP20,51,17801.0
KP0570_LM_WP20,WP20,63,17904.0
KP0585_LM_WP20,WP20,20,17980.0
KP0588_LM_WP20,WP20,76,17483.0
KP0599_LM_SB20,SB20,31,18024.0
KP0605_AC_SB20,SB20,62,17555.0
KP0609_AC_SB20,SB20,15,17909.0
KP0613_LM_SB20,SB20,37,18173.0
KP0614_LM_SB20,SB20,35,17957.0
KP0616_LM_SB20,SB20,17,17317.0
KP0617_LM_SB20,SB20,10,17751.0
KP0618_LM_SB20,SB20,74,17971.0
KP0620_LM_SB20,SB20,45,17995.0
KP0629_LM_SB20,SB20,57,17903.0
KP0631_LM_SB20,SB20,97,16574.0
KP0634_LM_SB20,SB20,33,17411.0
KP0650_LM_SB20,SB20,18,17913.0
KP0657_LM_SB20,SB20,6,18285.0
KP0664_LM_SB20,SB20,83,17956.0
KP0666_LM_SB20,SB20,78,16153.0
KP0670_LM_SB20,SB20,96,17811.0
KP0671_AC_SB20,SB20,56,16654.0
KP0676_LM_SB20,SB20,71,15876.0
KP0677_LM_SB20,SB20,29,17986.0
KP0680_LM_SB20,SB20,32,16328.0
KP0682_LM_SB20,SB20,2,17158.0
KP0694_LM_SB20,SB20,26,16584.0
KP0706_LM_SB20,SB20,23,17755.0
KP0707_LM_SB20,SB20,55,18179.0
KP0716_LM_SB20,SB20,93,17693.0
KP0718_LM_SB20,SB20,24,18196.0
KP0723_NA_NANA,NANA,38,17873.0
KP0731_LM_SB20,SB20,86,17617.0
KP0732_LM_SB20,SB20,13,17968.0
KP0765_AC_WP10,WP10,46,16445.0
KP0795_LM_WP10,WP10,11,17838.0
KP0851_AC_WP10,WP10,85,18129.0
KP0870_LM_WP10,WP10,95,17404.0
KP0893_LM_WP10,WP10,49,17809.0
KP1043_LM_CA10,CA10,84,16882.0
KP1064_LM_CA20,CA20,67,18101.0
KP1061_LM_CA20,CA20,5,18236.0
KP1065_LM_CA20,CA20,88,17932.0
KP1093_LM_CA20,CA20,98,16674.0
KP1094_LM_CA20,CA20,72,15435.0
KP1095_HU_CA20,CA20,27,18121.0
KP1101_LM_CA20,CA20,66,17485.0
KP1103_LM_CA20,CA20,34,18178.0
KP1118_LM_CA20,CA20,39,16115.0
KP1119_LM_CA20,CA20,50,18256.0
KP1123_LM_CA20,CA20,87,17663.0
KP1126_LM_CA20,CA20,89,18029.0
KP1133_LM_CA20,CA20,47,18146.0
KP1144_LM_CA20,CA20,28,18024.0
KP1160_UN_CA20,CA20,19,18054.0
KP1164_LM_CA20,CA20,64,18197.0
KP1166_LM_CA20,CA20,58,18156.0
KP1167_LM_CA20,CA20,80,17482.0
KY0578_AC_WP20,WP20,52,16745.0
