Sample,Pop,Groups
KP0046_AC_SB10,AC_SB10,318
KP0050_AC_SB10,AC_SB10,63
KP0052_AC_SB10,AC_SB10,48
KP0053_AC_SB10,AC_SB10,48
KP0054_AC_SB10,AC_SB10,48
KP0055_AC_SB10,AC_SB10,48
KP0056_AC_SB10,AC_SB10,48
KP0057_AC_SB10,AC_SB10,84
KP0058_AC_SB10,AC_SB10,42
KP0059_AC_SB10,AC_SB10,42
KP0060_AC_SB10,AC_SB10,291
KP0061_AC_SB10,AC_SB10,90
KP0062_AC_SB10,AC_SB10,90
KP0063_AC_SB10,AC_SB10,91
KP0064_AC_SB10,AC_SB10,91
KP0065_AC_SB10,AC_SB10,91
KP0069_AC_SB10,AC_SB10,91
KP0070_AC_SB10,AC_SB10,57
KP0072_AC_SB10,AC_SB10,57
KP0074_AC_SB10,AC_SB10,91
KP0077_AC_SB10,AC_SB10,91
KP0078_AC_SB10,AC_SB10,41
KP0080_AC_SB10,AC_SB10,40
KP0081_AC_SB10,AC_SB10,40
KP0088_AC_SB10,AC_SB10,42
KP0089_AC_SB10,AC_SB10,300
KP0095_AC_SB10,AC_SB10,289
KP0100_AC_SB10,AC_SB10,92
KP0101_AC_SB10,AC_SB10,85
KP0102_AC_SB10,AC_SB10,62
KP0103_AC_SB10,AC_SB10,62
KP0104_AC_SB10,AC_SB10,83
KP0105_AC_SB10,AC_SB10,62
KP0109_LM_SB10,LM_SB10,299
KP0112_AC_SB10,AC_SB10,319
KP0115_AC_SB10,AC_SB10,92
KP0116_AC_SB10,AC_SB10,292
KP0117_AC_SB10,AC_SB10,81
KP0118_AC_SB10,AC_SB10,56
KP0119_AC_SB10,AC_SB10,56
KP0120_AC_SB10,AC_SB10,56
KP0121_AC_SB10,AC_SB10,77
KP0122_AC_SB10,AC_SB10,58
KP0123_AC_SB10,AC_SB10,310
KP0125_AC_SB10,AC_SB10,305
KP0127_AC_SB10,AC_SB10,81
KP0129_AC_SB10,AC_SB10,294
KP0131_HU_SB05,HU_SB05,238
KP0151_AC_SQ12,AC_SQ12,50
KP0152_AC_SQ12,AC_SQ12,50
KP0153_AC_SQ12,AC_SQ12,78
KP0154_AC_SQ12,AC_SQ12,73
KP0156_AC_SQ12,AC_SQ12,73
KP0157_AC_SQ12,AC_SQ12,73
KP0158_AC_SQ12,AC_SQ12,73
KP0160_AC_SQ12,AC_SQ12,51
KP0162_AC_SQ12,AC_SQ12,51
KP0166_AC_SQ12,AC_SQ12,76
KP0167_AC_SQ12,AC_SQ12,79
KP0168_AC_SQ12,AC_SQ12,76
KP0169_AC_SQ12,AC_SQ12,76
KP0171_AC_SQ12,AC_SQ12,50
KP0172_AC_SQ12,AC_SQ12,36
KP0173_AC_SQ12,AC_SQ12,35
KP0174_AC_SQ12,AC_SQ12,35
KP0175_AC_SQ12,AC_SQ12,35
KP0176_AC_SQ12,AC_SQ12,35
KP0177_AC_SQ12,AC_SQ12,35
KP0181_AC_SQ12,AC_SQ12,313
KP0182_AC_SQ12,AC_SQ12,35
KP0185_AC_SQ12,AC_SQ12,35
KP0187_AC_SQ12,AC_SQ12,51
KP0188_AC_SQ12,AC_SQ12,51
KP0189_AC_SQ12,AC_SQ12,311
KP0190_AC_SQ12,AC_SQ12,67
KP0193_AC_SQ12,AC_SQ12,72
KP0196_AC_SQ12,AC_SQ12,66
KP0197_AC_SQ12,AC_SQ12,66
KP0198_AC_SQ12,AC_SQ12,66
KP0199_AC_SQ12,AC_SQ12,66
KP0200_AC_SQ12,AC_SQ12,66
KP0201_AC_SQ12,AC_SQ12,66
KP0202_AC_SQ12,AC_SQ12,72
KP0204_AC_SQ12,AC_SQ12,72
KP0208_AC_SQ12,AC_SQ12,45
KP0209_AC_SQ12,AC_SQ12,45
KP0212_AC_SQ20,AC_SQ20,47
KP0213_AC_SQ20,AC_SQ20,47
KP0214_AC_SQ20,AC_SQ20,47
KP0216_AC_SQ20,AC_SQ20,47
KP0217_AC_SQ20,AC_SQ20,47
KP0218_AC_SQ20,AC_SQ20,31
KP0220_AC_SQ20,AC_SQ20,55
KP0221_AC_SQ20,AC_SQ20,55
KP0222_AC_SQ20,AC_SQ20,38
KP0225_AC_SQ20,AC_SQ20,71
KP0227_AC_SQ20,AC_SQ20,71
KP0229_AC_SQ20,AC_SQ20,52
KP0233_AC_SQ20,AC_SQ20,38
KP0235_AC_SQ20,AC_SQ20,27
KP0236_AC_SQ20,AC_SQ20,322
KP0237_AC_SQ20,AC_SQ20,88
KP0238_AC_SQ20,AC_SQ20,88
KP0240_AC_SQ20,AC_SQ20,88
KP0241_AC_SQ20,AC_SQ20,28
KP0242_AC_SQ20,AC_SQ20,54
KP0243_AC_SQ20,AC_SQ20,34
KP0244_LM_SQ20,LM_SQ20,83
KP0246_AC_SQ20,AC_SQ20,3
KP0247_AC_SQ20,AC_SQ20,3
KP0250_AC_SQ20,AC_SQ20,39
KP0251_AC_SQ20,AC_SQ20,39
KP0255_AC_SQ20,AC_SQ20,1
KP0256_AC_SQ20,AC_SQ20,1
KP0257_AC_SQ20,AC_SQ20,70
KP0258_AC_SQ20,AC_SQ20,69
KP0259_AC_SQ20,AC_SQ20,2
KP0260_AC_SQ20,AC_SQ20,69
KP0261_AC_SQ20,AC_SQ20,69
KP0262_AC_SQ20,AC_SQ20,69
KP0264_AC_SQ20,AC_SQ20,74
KP0268_AC_SQ20,AC_SQ20,74
KP0269_AC_SQ20,AC_SQ20,74
KP0271_AC_SQ20,AC_SQ20,74
KP0272_AC_SQ20,AC_SQ20,53
KP0273_AC_SQ20,AC_SQ20,53
KP0274_AC_SQ20,AC_SQ20,53
KP0275_AC_SQ20,AC_SQ20,53
KP0276_AC_SQ20,AC_SQ20,53
KP0277_AC_SQ20,AC_SQ20,53
KP0279_AC_SQ20,AC_SQ20,89
KP0280_AC_SQ20,AC_SQ20,89
KP0281_AC_SQ20,AC_SQ20,89
KP0283_AC_SQ20,AC_SQ20,75
KP0284_AC_SQ20,AC_SQ20,75
