Sample,Pop,Groups
KP0046_AC_SB10,SB10,308
KP0050_AC_SB10,SB10,56
KP0052_AC_SB10,SB10,41
KP0053_AC_SB10,SB10,41
KP0054_AC_SB10,SB10,41
KP0055_AC_SB10,SB10,41
KP0056_AC_SB10,SB10,41
KP0057_AC_SB10,SB10,76
KP0058_AC_SB10,SB10,35
KP0059_AC_SB10,SB10,35
KP0060_AC_SB10,SB10,281
KP0061_AC_SB10,SB10,82
KP0062_AC_SB10,SB10,82
KP0063_AC_SB10,SB10,83
KP0064_AC_SB10,SB10,83
KP0065_AC_SB10,SB10,83
KP0069_AC_SB10,SB10,83
KP0070_AC_SB10,SB10,50
KP0072_AC_SB10,SB10,50
KP0074_AC_SB10,SB10,83
KP0077_AC_SB10,SB10,83
KP0078_AC_SB10,SB10,34
KP0080_AC_SB10,SB10,34
KP0081_AC_SB10,SB10,34
KP0088_AC_SB10,SB10,35
KP0089_AC_SB10,SB10,290
KP0095_AC_SB10,SB10,279
KP0100_AC_SB10,SB10,84
KP0101_AC_SB10,SB10,77
KP0102_AC_SB10,SB10,55
KP0103_AC_SB10,SB10,55
KP0104_AC_SB10,SB10,75
KP0105_AC_SB10,SB10,55
KP0109_LM_SB10,SB10,289
KP0112_AC_SB10,SB10,309
KP0115_AC_SB10,SB10,84
KP0116_AC_SB10,SB10,282
KP0117_AC_SB10,SB10,73
KP0118_AC_SB10,SB10,49
KP0119_AC_SB10,SB10,49
KP0120_AC_SB10,SB10,49
KP0121_AC_SB10,SB10,69
KP0122_AC_SB10,SB10,51
KP0123_AC_SB10,SB10,300
KP0125_AC_SB10,SB10,295
KP0127_AC_SB10,SB10,73
KP0129_AC_SB10,SB10,284
KP0131_HU_SB05,SB05,228
KP0151_AC_SQ12,SQ12,43
KP0152_AC_SQ12,SQ12,43
KP0153_AC_SQ12,SQ12,70
KP0154_AC_SQ12,SQ12,65
KP0156_AC_SQ12,SQ12,65
KP0157_AC_SQ12,SQ12,65
KP0158_AC_SQ12,SQ12,65
KP0160_AC_SQ12,SQ12,44
KP0162_AC_SQ12,SQ12,44
KP0166_AC_SQ12,SQ12,68
KP0167_AC_SQ12,SQ12,71
KP0168_AC_SQ12,SQ12,68
KP0169_AC_SQ12,SQ12,68
KP0171_AC_SQ12,SQ12,43
KP0172_AC_SQ12,SQ12,30
KP0173_AC_SQ12,SQ12,29
KP0174_AC_SQ12,SQ12,29
KP0175_AC_SQ12,SQ12,29
KP0176_AC_SQ12,SQ12,29
KP0177_AC_SQ12,SQ12,29
KP0181_AC_SQ12,SQ12,303
KP0182_AC_SQ12,SQ12,29
KP0185_AC_SQ12,SQ12,29
KP0187_AC_SQ12,SQ12,44
KP0188_AC_SQ12,SQ12,44
KP0189_AC_SQ12,SQ12,301
KP0190_AC_SQ12,SQ12,60
KP0193_AC_SQ12,SQ12,64
KP0196_AC_SQ12,SQ12,59
KP0197_AC_SQ12,SQ12,59
KP0198_AC_SQ12,SQ12,59
KP0199_AC_SQ12,SQ12,59
KP0200_AC_SQ12,SQ12,59
KP0201_AC_SQ12,SQ12,59
KP0202_AC_SQ12,SQ12,64
KP0204_AC_SQ12,SQ12,64
KP0208_AC_SQ12,SQ12,38
KP0209_AC_SQ12,SQ12,38
KP0212_AC_SQ20,SQ20,40
KP0213_AC_SQ20,SQ20,40
KP0214_AC_SQ20,SQ20,40
KP0216_AC_SQ20,SQ20,40
KP0217_AC_SQ20,SQ20,40
KP0218_AC_SQ20,SQ20,25
KP0220_AC_SQ20,SQ20,48
KP0221_AC_SQ20,SQ20,48
KP0222_AC_SQ20,SQ20,32
KP0225_AC_SQ20,SQ20,63
KP0227_AC_SQ20,SQ20,63
KP0229_AC_SQ20,SQ20,45
KP0233_AC_SQ20,SQ20,32
KP0235_AC_SQ20,SQ20,21
KP0236_AC_SQ20,SQ20,312
KP0237_AC_SQ20,SQ20,80
KP0238_AC_SQ20,SQ20,80
KP0240_AC_SQ20,SQ20,80
KP0241_AC_SQ20,SQ20,22
KP0242_AC_SQ20,SQ20,47
KP0243_AC_SQ20,SQ20,28
KP0244_LM_SQ20,SQ20,75
KP0246_AC_SQ20,SQ20,3
KP0247_AC_SQ20,SQ20,3
KP0250_AC_SQ20,SQ20,33
KP0251_AC_SQ20,SQ20,33
KP0255_AC_SQ20,SQ20,1
KP0256_AC_SQ20,SQ20,1
KP0257_AC_SQ20,SQ20,62
KP0258_AC_SQ20,SQ20,62
KP0259_AC_SQ20,SQ20,2
KP0260_AC_SQ20,SQ20,62
KP0261_AC_SQ20,SQ20,62
KP0262_AC_SQ20,SQ20,62
KP0264_AC_SQ20,SQ20,66
KP0268_AC_SQ20,SQ20,66
KP0269_AC_SQ20,SQ20,66
KP0271_AC_SQ20,SQ20,66
KP0272_AC_SQ20,SQ20,46
KP0273_AC_SQ20,SQ20,46
KP0274_AC_SQ20,SQ20,46
KP0275_AC_SQ20,SQ20,46
