Sample,Pop,Groups
KP0046_AC_SB10,SB10,291
KP0050_AC_SB10,SB10,87
KP0055_AC_SB10,SB10,329
KP0057_AC_SB10,SB10,194
KP0058_AC_SB10,SB10,328
KP0060_AC_SB10,SB10,186
KP0061_AC_SB10,SB10,191
KP0072_AC_SB10,SB10,89
KP0074_AC_SB10,SB10,295
KP0078_AC_SB10,SB10,40
KP0081_AC_SB10,SB10,41
KP0089_AC_SB10,SB10,297
KP0095_AC_SB10,SB10,244
KP0100_AC_SB10,SB10,280
KP0101_AC_SB10,SB10,212
KP0102_AC_SB10,SB10,284
KP0104_AC_SB10,SB10,248
KP0109_LM_SB10,SB10,130
KP0112_AC_SB10,SB10,306
KP0116_AC_SB10,SB10,216
KP0120_AC_SB10,SB10,314
KP0121_AC_SB10,SB10,262
KP0122_AC_SB10,SB10,88
KP0123_AC_SB10,SB10,293
KP0125_AC_SB10,SB10,277
KP0127_AC_SB10,SB10,198
KP0129_AC_SB10,SB10,60
KP0131_HU_SB05,SB05,104
KP0153_AC_SQ12,SQ12,251
KP0158_AC_SQ12,SQ12,258
KP0162_AC_SQ12,SQ12,44
KP0167_AC_SQ12,SQ12,252
KP0168_AC_SQ12,SQ12,270
KP0171_AC_SQ12,SQ12,45
KP0172_AC_SQ12,SQ12,35
KP0176_AC_SQ12,SQ12,36
KP0181_AC_SQ12,SQ12,298
KP0187_AC_SQ12,SQ12,44
KP0189_AC_SQ12,SQ12,296
KP0190_AC_SQ12,SQ12,62
KP0197_AC_SQ12,SQ12,175
KP0202_AC_SQ12,SQ12,240
KP0209_AC_SQ12,SQ12,320
KP0214_AC_SQ20,SQ20,278
KP0218_AC_SQ20,SQ20,31
KP0220_AC_SQ20,SQ20,325
KP0222_AC_SQ20,SQ20,330
KP0225_AC_SQ20,SQ20,58
KP0229_AC_SQ20,SQ20,46
KP0235_AC_SQ20,SQ20,27
KP0236_AC_SQ20,SQ20,321
KP0237_AC_SQ20,SQ20,307
KP0241_AC_SQ20,SQ20,24
KP0242_AC_SQ20,SQ20,273
KP0243_AC_SQ20,SQ20,1
KP0247_AC_SQ20,SQ20,2
KP0251_AC_SQ20,SQ20,315
KP0255_AC_SQ20,SQ20,5
KP0257_AC_SQ20,SQ20,42
KP0259_AC_SQ20,SQ20,6
KP0261_AC_SQ20,SQ20,43
KP0269_AC_SQ20,SQ20,225
KP0272_AC_SQ20,SQ20,288
KP0279_AC_SQ20,SQ20,63
KP0284_AC_SQ20,SQ20,289
KP0289_AC_WP20,WP20,226
KP0291_AC_WP20,WP20,310
KP0292_AC_WP20,WP20,231
KP0294_AC_WP20,WP20,77
KP0296_AC_WP20,WP20,167
KP0301_AC_WP20,WP20,182
KP0304_AC_WP20,WP20,115
KP0305_AC_WP20,WP20,279
KP0311_AC_WP20,WP20,19
KP0314_AC_WP20,WP20,105
KP0317_AC_WP20,WP20,78
KP0323_AC_WP20,WP20,95
KP0326_AC_WP20,WP20,100
KP0329_AC_WP20,WP20,96
KP0332_AC_WP20,WP20,274
KP0335_AC_WP20,WP20,117
KP0340_AC_WP20,WP20,51
KP0346_AC_WP20,WP20,180
