Sample,Pop,Groups
KP0049_HU_SB10,SB10,96
KP0073_HU_SB10,SB10,83
KP0075_HU_SB10,SB10,32
KP0084_AC_SB10,SB10,26
KP0090_AC_SB10,SB10,92
KP0091_AC_SB10,SB10,23
KP0092_AC_SB10,SB10,63
KP0093_AC_SB10,SB10,33
KP0098_AC_SB10,SB10,64
KP0099_AC_SB10,SB10,66
KP0110_AC_SB10,SB10,64
KP0111_AC_SB10,SB10,64
KP0130_AC_SB05,SB05,25
KP0132_HU_SB05,SB05,19
KP0134_HU_SB05,SB05,67
KP0135_HU_SB05,SB05,21
KP0137_HU_SB05,SB05,29
KP0138_HU_SB05,SB05,29
KP0139_HU_SB05,SB05,1
KP0140_HU_SB05,SB05,1
KP0141_HU_SB05,SB05,1
KP0142_HU_SB05,SB05,20
KP0143_HU_SB05,SB05,114
KP0145_HU_SB05,SB05,27
KP0146_HU_SB05,SB05,24
KP0147_HU_SB05,SB05,2
KP0148_HU_SB05,SB05,2
KP0149_HU_SB05,SB05,28
KP0159_AC_SQ12,SQ12,65
KP0183_AC_SQ12,SQ12,65
KP0184_AC_SQ12,SQ12,65
KP0211_AC_SQ12,SQ12,72
KP0378_AC_WP20,WP20,69
KP0410_HU_CA05,CA05,86
KP0413_HU_CA05,CA05,75
KP0414_HU_CA05,CA05,59
KP0416_HU_CA05,CA05,55
KP0417_HU_CA05,CA05,38
KP0418_HU_CA05,CA05,55
KP0420_HU_CA05,CA05,55
KP0421_HU_CA05,CA05,51
KP0423_HU_CA05,CA05,49
KP0425_HU_CA05,CA05,51
KP0426_HU_CA05,CA05,58
KP0427_HU_CA05,CA05,53
KP0428_HU_CA05,CA05,53
KP0429_HU_CA05,CA05,52
KP0432_HU_CA05,CA05,84
KP0434_HU_CA05,CA05,76
KP0435_HU_CA05,CA05,56
KP0436_HU_CA05,CA05,99
KP0437_HU_CA05,CA05,100
KP0438_HU_CA05,CA05,51
KP0439_HU_CA05,CA05,50
KP0442_HU_CA05,CA05,38
KP0474_AC_WP20,WP20,39
KP0540_AC_WP20,WP20,80
KP0552_AC_WP20,WP20,61
KP0582_AC_WP20,WP20,82
KP0639_LM_SB20,SB20,63
KP0739_HU_WP10,WP10,68
KP0740_HU_WP10,WP10,39
KP0744_HU_WP10,WP10,108
KP0764_HU_WP10,WP10,41
KP0768_HU_WP10,WP10,105
KP0770_AC_WP10,WP10,107
KP0774_AC_WP10,WP10,12
KP0775_AC_WP10,WP10,17
KP0783_HU_WP10,WP10,3
KP0785_AC_WP10,WP10,91
KP0786_HU_WP10,WP10,97
KP0789_HU_WP10,WP10,39
KP0798_HU_WP10,WP10,35
KP0803_HU_WP10,WP10,79
KP0805_HU_WP10,WP10,85
KP0814_HU_WP10,WP10,35
KP0818_HU_WP10,WP10,11
KP0826_AC_WP10,WP10,111
KP0827_AC_WP10,WP10,30
KP0829_AC_WP10,WP10,40
KP0831_HU_WP10,WP10,81
KP0838_AC_WP10,WP10,46
KP0839_HU_WP10,WP10,90
KP0841_AC_WP10,WP10,94
KP0845_AC_WP10,WP10,70
KP0847_HU_WP10,WP10,48
KP0850_AC_WP10,WP10,31
KP0853_HU_WP10,WP10,93
KP0859_HU_WP10,WP10,44
KP0875_AC_WP10,WP10,87
KP0876_HU_WP10,WP10,36
KP0877_HU_WP10,WP10,37
KP0878_AC_WP10,WP10,37
KP0886_AC_WP10,WP10,7
KP0888_AC_WP10,WP10,101
KP0899_LM_WP10,WP10,95
KP0901_HU_WP10,WP10,112
KP0903_HU_WP10,WP10,102
KP0906_AC_WP10,WP10,8
KP0920_HU_WP10,WP10,42
KP0922_AC_WP10,WP10,43
KP0935_AC_WP10,WP10,71
KP0941_HU_WP10,WP10,47
KP0948_AC_WP10,WP10,88
KP0951_HU_WP10,WP10,14
KP0954_HU_WP05,WP05,107
KP0956_HU_WP05,WP05,110
KP0957_HU_WP05,WP05,109
KP0958_HU_WP05,WP05,106
KP0959_HU_WP05,WP05,5
KP0960_HU_WP05,WP05,4
KP0961_HU_WP05,WP05,103
KP0963_HU_WP05,WP05,45
KP0964_HU_WP05,WP05,104
KP0968_HU_WP05,WP05,78
KP0970_HU_WP05,WP05,73
KP0971_HU_WP05,WP05,98
KP0972_HU_WP05,WP05,15
KP0973_HU_WP05,WP05,16
KP0979_HU_WP05,WP05,9
KP0980_HU_WP05,WP05,22
KP0984_HU_WP05,WP05,115
KP0985_AC_WP05,WP05,10
KP0986_HU_WP05,WP05,18
KP0987_HU_WP05,WP05,13
KP0989_HU_WP05,WP05,6
KP1003_HU_CA10,CA10,55
KP1005_HU_CA10,CA10,55
KP1033_HU_CA10,CA10,57
KP1034_HU_CA10,CA10,54
KP1036_UN_CA10,CA10,54
KP1037_HU_CA10,CA10,89
KP1039_HU_CA10,CA10,61
KP1041_HU_CA10,CA10,113
KP1074_AC_CA20,CA20,61
KP1084_AC_CA20,CA20,34
KP1086_HU_CA20,CA20,34
KP1116_AC_CA20,CA20,62
KP1153_UN_CA20,CA20,60
KP1159_UN_CA20,CA20,74
KP1162_AC_CA20,CA20,77
KX0075_HU_SB10,SB10,32
