Sample,Pop,Groups
KP0086_LM_SB10,SB10,59
KP0096_AC_SB10,SB10,65
KP0108_AC_SB10,SB10,60
KP0186_AC_SQ12,SQ12,44
KP0192_AC_SQ12,SQ12,14
KP0203_AC_SQ12,SQ12,48
KP0207_LM_SQ12,SQ12,21
KP0249_LM_SQ20,SQ20,25
KP0252_LM_SQ20,SQ20,30
KP0253_LM_SQ20,SQ20,68
KP0254_LM_SQ20,SQ20,68
KP0282_LM_SQ20,SQ20,8
KP0285_LM_SQ20,SQ20,69
KP0290_LM_WP20,WP20,22
KP0293_LM_WP20,WP20,3
KP0308_LM_WP20,WP20,36
KP0318_LM_WP20,WP20,3
KP0319_LM_WP20,WP20,61
KP0322_LM_WP20,WP20,90
KP0328_LM_WP20,WP20,92
KP0330_LM_WP20,WP20,75
KP0341_LM_WP20,WP20,7
KP0342_LM_WP20,WP20,7
KP0343_LM_WP20,WP20,7
KP0345_LM_WP20,WP20,7
KP0348_LM_WP20,WP20,1
KP0350_LM_WP20,WP20,40
KP0375_LM_WP20,WP20,4
KP0377_LM_WP20,WP20,91
KP0380_LM_WP20,WP20,54
KP0400_LM_WP20,WP20,94
KP0459_LM_WP20,WP20,43
KP0473_LM_WP20,WP20,77
KP0482_LM_WP20,WP20,9
KP0547_LM_WP20,WP20,82
KP0548_LM_WP20,WP20,79
KP0551_LM_WP20,WP20,16
KP0557_AC_WP20,WP20,12
KP0558_LM_WP20,WP20,51
KP0570_LM_WP20,WP20,63
KP0585_LM_WP20,WP20,20
KP0588_LM_WP20,WP20,76
KP0599_LM_SB20,SB20,31
KP0605_AC_SB20,SB20,62
KP0609_AC_SB20,SB20,15
KP0613_LM_SB20,SB20,37
KP0614_LM_SB20,SB20,35
KP0616_LM_SB20,SB20,17
KP0617_LM_SB20,SB20,10
KP0618_LM_SB20,SB20,74
KP0620_LM_SB20,SB20,45
KP0629_LM_SB20,SB20,57
KP0631_LM_SB20,SB20,97
KP0634_LM_SB20,SB20,33
KP0637_LM_SB20,SB20,65
KP0650_LM_SB20,SB20,18
KP0657_LM_SB20,SB20,6
KP0659_LM_SB20,SB20,6
KP0664_LM_SB20,SB20,83
KP0666_LM_SB20,SB20,78
KP0670_LM_SB20,SB20,96
KP0671_AC_SB20,SB20,56
KP0676_LM_SB20,SB20,71
KP0677_LM_SB20,SB20,29
KP0680_LM_SB20,SB20,32
KP0682_LM_SB20,SB20,2
KP0694_LM_SB20,SB20,26
KP0706_LM_SB20,SB20,23
KP0707_LM_SB20,SB20,55
KP0716_LM_SB20,SB20,93
KP0718_LM_SB20,SB20,24
KP0723_NA_NANA,NANA,38
KP0731_LM_SB20,SB20,86
KP0732_LM_SB20,SB20,13
KP0765_AC_WP10,WP10,46
KP0795_LM_WP10,WP10,11
KP0851_AC_WP10,WP10,85
KP0870_LM_WP10,WP10,95
KP0893_LM_WP10,WP10,49
KP1043_LM_CA10,CA10,84
KP1058_LM_CA20,CA20,67
KP1059_LM_CA20,CA20,5
KP1061_LM_CA20,CA20,5
KP1064_LM_CA20,CA20,67
KP1065_LM_CA20,CA20,88
KP1093_LM_CA20,CA20,98
KP1094_LM_CA20,CA20,72
KP1095_HU_CA20,CA20,27
KP1101_LM_CA20,CA20,66
KP1103_LM_CA20,CA20,34
KP1118_LM_CA20,CA20,39
KP1119_LM_CA20,CA20,50
KP1123_LM_CA20,CA20,87
KP1124_AC_CA20,CA20,12
KP1126_LM_CA20,CA20,89
KP1133_LM_CA20,CA20,47
KP1144_LM_CA20,CA20,28
KP1160_UN_CA20,CA20,19
KP1164_LM_CA20,CA20,64
KP1166_LM_CA20,CA20,58
KP1167_LM_CA20,CA20,80
KX0330_LM_WP20,WP20,75
KX0657_LM_SB20,SB20,6
KY0578_AC_WP20,WP20,52
NR4671_L1_CS50,CS50,70
NR5050_L2_CS15,CS15,42
NR5053_L2_CS15,CS15,53
NR5242_L1_CK50,CK50,73
NR5533_L2_CR15,CR15,41
NR5534_L1_CR15,CR15,81
