Individuals,Clusters,Assignment,pop
KP0046_AC_SB10,Clust1,0.590601,SB10
KP0050_AC_SB10,Clust1,0.757322,SB10
KP0052_AC_SB10,Clust1,0.99997,SB10
KP0053_AC_SB10,Clust1,0.99997,SB10
KP0054_AC_SB10,Clust1,0.99997,SB10
KP0055_AC_SB10,Clust1,0.99997,SB10
KP0056_AC_SB10,Clust1,0.99997,SB10
KP0057_AC_SB10,Clust1,0.641777,SB10
KP0058_AC_SB10,Clust1,0.833515,SB10
KP0059_AC_SB10,Clust1,0.833155,SB10
KP0060_AC_SB10,Clust1,0.614172,SB10
KP0061_AC_SB10,Clust1,0.913347,SB10
KP0062_AC_SB10,Clust1,0.916379,SB10
KP0063_AC_SB10,Clust1,0.536548,SB10
KP0064_AC_SB10,Clust1,0.512851,SB10
KP0065_AC_SB10,Clust1,0.510462,SB10
KP0069_AC_SB10,Clust1,0.528504,SB10
KP0070_AC_SB10,Clust1,0.714939,SB10
KP0072_AC_SB10,Clust1,0.698203,SB10
KP0074_AC_SB10,Clust1,0.518411,SB10
KP0077_AC_SB10,Clust1,0.528167,SB10
KP0078_AC_SB10,Clust1,0.619143,SB10
KP0080_AC_SB10,Clust1,0.620923,SB10
KP0081_AC_SB10,Clust1,0.644258,SB10
KP0088_AC_SB10,Clust1,0.831269,SB10
KP0089_AC_SB10,Clust1,0.802856,SB10
KP0095_AC_SB10,Clust1,0.671369,SB10
KP0100_AC_SB10,Clust1,0.614293,SB10
KP0101_AC_SB10,Clust1,0.620958,SB10
KP0102_AC_SB10,Clust1,0.99997,SB10
KP0103_AC_SB10,Clust1,0.99997,SB10
KP0104_AC_SB10,Clust1,0.763531,SB10
KP0105_AC_SB10,Clust1,0.99997,SB10
KP0109_LM_SB10,Clust1,0.577597,SB10
KP0112_AC_SB10,Clust1,0.851703,SB10
KP0115_AC_SB10,Clust1,0.614053,SB10
KP0116_AC_SB10,Clust1,0.99997,SB10
KP0117_AC_SB10,Clust1,0.99997,SB10
KP0118_AC_SB10,Clust1,0.722684,SB10
KP0119_AC_SB10,Clust1,0.675058,SB10
KP0120_AC_SB10,Clust1,0.667648,SB10
KP0121_AC_SB10,Clust1,0.63704,SB10
KP0122_AC_SB10,Clust1,0.99997,SB10
KP0123_AC_SB10,Clust1,0.561909,SB10
KP0125_AC_SB10,Clust1,0.983476,SB10
KP0127_AC_SB10,Clust1,0.99997,SB10
KP0129_AC_SB10,Clust1,0.545003,SB10
KP0131_HU_SB05,Clust1,0.134675,SB05
KP0151_AC_SQ12,Clust1,1e-05,SQ12
KP0152_AC_SQ12,Clust1,1e-05,SQ12
KP0153_AC_SQ12,Clust1,0.54205,SQ12
KP0154_AC_SQ12,Clust1,0.747025,SQ12
KP0156_AC_SQ12,Clust1,0.759411,SQ12
KP0157_AC_SQ12,Clust1,0.748253,SQ12
KP0158_AC_SQ12,Clust1,0.74926,SQ12
KP0160_AC_SQ12,Clust1,1e-05,SQ12
KP0162_AC_SQ12,Clust1,1e-05,SQ12
KP0166_AC_SQ12,Clust1,0.439219,SQ12
KP0167_AC_SQ12,Clust1,0.605022,SQ12
KP0168_AC_SQ12,Clust1,0.470651,SQ12
KP0169_AC_SQ12,Clust1,0.466703,SQ12
KP0171_AC_SQ12,Clust1,1e-05,SQ12
KP0172_AC_SQ12,Clust1,1e-05,SQ12
KP0173_AC_SQ12,Clust1,1e-05,SQ12
KP0174_AC_SQ12,Clust1,1e-05,SQ12
KP0175_AC_SQ12,Clust1,1e-05,SQ12
KP0176_AC_SQ12,Clust1,1e-05,SQ12
KP0177_AC_SQ12,Clust1,1e-05,SQ12
KP0181_AC_SQ12,Clust1,0.351791,SQ12
KP0182_AC_SQ12,Clust1,1e-05,SQ12
KP0185_AC_SQ12,Clust1,1e-05,SQ12
KP0187_AC_SQ12,Clust1,1e-05,SQ12
KP0188_AC_SQ12,Clust1,1e-05,SQ12
KP0189_AC_SQ12,Clust1,0.891629,SQ12
KP0190_AC_SQ12,Clust1,0.564232,SQ12
KP0193_AC_SQ12,Clust1,0.439496,SQ12
KP0196_AC_SQ12,Clust1,0.99997,SQ12
KP0197_AC_SQ12,Clust1,0.99997,SQ12
KP0198_AC_SQ12,Clust1,0.99997,SQ12
KP0199_AC_SQ12,Clust1,0.99997,SQ12
KP0200_AC_SQ12,Clust1,0.99997,SQ12
KP0201_AC_SQ12,Clust1,0.99997,SQ12
KP0202_AC_SQ12,Clust1,0.401464,SQ12
KP0204_AC_SQ12,Clust1,0.41099,SQ12
KP0208_AC_SQ12,Clust1,0.742577,SQ12
KP0209_AC_SQ12,Clust1,0.740975,SQ12
KP0212_AC_SQ20,Clust1,0.337742,SQ20
KP0213_AC_SQ20,Clust1,0.310047,SQ20
KP0214_AC_SQ20,Clust1,0.336396,SQ20
KP0216_AC_SQ20,Clust1,0.347762,SQ20
KP0217_AC_SQ20,Clust1,0.335993,SQ20
KP0218_AC_SQ20,Clust1,1e-05,SQ20
KP0220_AC_SQ20,Clust1,0.914837,SQ20
KP0221_AC_SQ20,Clust1,0.920367,SQ20
KP0222_AC_SQ20,Clust1,0.828939,SQ20
KP0225_AC_SQ20,Clust1,0.320337,SQ20
KP0227_AC_SQ20,Clust1,0.352005,SQ20
KP0229_AC_SQ20,Clust1,0.601419,SQ20
KP0233_AC_SQ20,Clust1,0.822349,SQ20
KP0235_AC_SQ20,Clust1,1e-05,SQ20
KP0236_AC_SQ20,Clust1,0.573688,SQ20
KP0237_AC_SQ20,Clust1,0.158326,SQ20
KP0238_AC_SQ20,Clust1,0.102464,SQ20
KP0240_AC_SQ20,Clust1,0.145657,SQ20
KP0241_AC_SQ20,Clust1,0.023319,SQ20
KP0242_AC_SQ20,Clust1,0.752307,SQ20
KP0243_AC_SQ20,Clust1,1e-05,SQ20
KP0244_LM_SQ20,Clust1,0.81396,SQ20
KP0246_AC_SQ20,Clust1,1e-05,SQ20
KP0247_AC_SQ20,Clust1,1e-05,SQ20
KP0250_AC_SQ20,Clust1,0.99997,SQ20
KP0251_AC_SQ20,Clust1,0.983725,SQ20
KP0255_AC_SQ20,Clust1,1e-05,SQ20
KP0256_AC_SQ20,Clust1,1e-05,SQ20
KP0257_AC_SQ20,Clust1,1e-05,SQ20
KP0258_AC_SQ20,Clust1,1e-05,SQ20
KP0259_AC_SQ20,Clust1,1e-05,SQ20
KP0260_AC_SQ20,Clust1,1e-05,SQ20
KP0261_AC_SQ20,Clust1,1e-05,SQ20
KP0262_AC_SQ20,Clust1,1e-05,SQ20
KP0264_AC_SQ20,Clust1,1e-05,SQ20
KP0268_AC_SQ20,Clust1,1e-05,SQ20
KP0269_AC_SQ20,Clust1,1e-05,SQ20
KP0271_AC_SQ20,Clust1,1e-05,SQ20
KP0272_AC_SQ20,Clust1,0.99997,SQ20
KP0273_AC_SQ20,Clust1,0.99997,SQ20
KP0274_AC_SQ20,Clust1,0.99997,SQ20
KP0275_AC_SQ20,Clust1,0.99997,SQ20
KP0276_AC_SQ20,Clust1,0.99997,SQ20
KP0277_AC_SQ20,Clust1,0.99997,SQ20
KP0279_AC_SQ20,Clust1,0.39395,SQ20
KP0280_AC_SQ20,Clust1,0.352351,SQ20
KP0281_AC_SQ20,Clust1,0.390027,SQ20
KP0283_AC_SQ20,Clust1,0.673353,SQ20
KP0284_AC_SQ20,Clust1,0.644949,SQ20
KP0289_AC_WP20,Clust1,0.023213,WP20
KP0291_AC_WP20,Clust1,0.089348,WP20
KP0292_AC_WP20,Clust1,0.03569,WP20
KP0294_AC_WP20,Clust1,0.12506,WP20
KP0296_AC_WP20,Clust1,1e-05,WP20
KP0299_AC_WP20,Clust1,1e-05,WP20
KP0300_AC_WP20,Clust1,1e-05,WP20
KP0301_AC_WP20,Clust1,1e-05,WP20
KP0303_AC_WP20,Clust1,1e-05,WP20
KP0304_AC_WP20,Clust1,1e-05,WP20
KP0305_AC_WP20,Clust1,1e-05,WP20
KP0311_AC_WP20,Clust1,1e-05,WP20
KP0314_AC_WP20,Clust1,1e-05,WP20
KP0317_AC_WP20,Clust1,1e-05,WP20
KP0323_AC_WP20,Clust1,0.142874,WP20
KP0324_AC_WP20,Clust1,0.16189,WP20
KP0325_AC_WP20,Clust1,0.14074,WP20
KP0326_AC_WP20,Clust1,1e-05,WP20
KP0327_AC_WP20,Clust1,0.154652,WP20
KP0329_AC_WP20,Clust1,1e-05,WP20
KP0331_AC_WP20,Clust1,1e-05,WP20
KP0332_AC_WP20,Clust1,1e-05,WP20
KP0334_AC_WP20,Clust1,1e-05,WP20
KP0335_AC_WP20,Clust1,1e-05,WP20
KP0336_AC_WP20,Clust1,1e-05,WP20
KP0337_AC_WP20,Clust1,1e-05,WP20
