Individuals,Clusters,Assignment,pop
KP0046_AC_SB10,Clust1,1e-05,SB10
KP0050_AC_SB10,Clust1,1e-05,SB10
KP0055_AC_SB10,Clust1,0.025568,SB10
KP0057_AC_SB10,Clust1,1e-05,SB10
KP0058_AC_SB10,Clust1,1e-05,SB10
KP0060_AC_SB10,Clust1,1e-05,SB10
KP0061_AC_SB10,Clust1,1e-05,SB10
KP0072_AC_SB10,Clust1,1e-05,SB10
KP0074_AC_SB10,Clust1,1e-05,SB10
KP0078_AC_SB10,Clust1,1e-05,SB10
KP0081_AC_SB10,Clust1,1e-05,SB10
KP0089_AC_SB10,Clust1,1e-05,SB10
KP0095_AC_SB10,Clust1,1e-05,SB10
KP0100_AC_SB10,Clust1,1e-05,SB10
KP0101_AC_SB10,Clust1,1e-05,SB10
KP0102_AC_SB10,Clust1,1e-05,SB10
KP0104_AC_SB10,Clust1,0.015632,SB10
KP0109_LM_SB10,Clust1,1e-05,SB10
KP0112_AC_SB10,Clust1,1e-05,SB10
KP0116_AC_SB10,Clust1,1e-05,SB10
KP0120_AC_SB10,Clust1,1e-05,SB10
KP0121_AC_SB10,Clust1,0.006968,SB10
KP0122_AC_SB10,Clust1,1e-05,SB10
KP0123_AC_SB10,Clust1,1e-05,SB10
KP0125_AC_SB10,Clust1,1e-05,SB10
KP0127_AC_SB10,Clust1,1e-05,SB10
KP0129_AC_SB10,Clust1,1e-05,SB10
KP0131_HU_SB05,Clust1,1e-05,SB05
KP0153_AC_SQ12,Clust1,1e-05,SQ12
KP0158_AC_SQ12,Clust1,1e-05,SQ12
KP0162_AC_SQ12,Clust1,1e-05,SQ12
KP0167_AC_SQ12,Clust1,1e-05,SQ12
KP0168_AC_SQ12,Clust1,1e-05,SQ12
KP0171_AC_SQ12,Clust1,1e-05,SQ12
KP0172_AC_SQ12,Clust1,1e-05,SQ12
KP0176_AC_SQ12,Clust1,1e-05,SQ12
KP0181_AC_SQ12,Clust1,1e-05,SQ12
KP0187_AC_SQ12,Clust1,1e-05,SQ12
KP0189_AC_SQ12,Clust1,1e-05,SQ12
KP0190_AC_SQ12,Clust1,1e-05,SQ12
KP0197_AC_SQ12,Clust1,1e-05,SQ12
KP0202_AC_SQ12,Clust1,0.014629,SQ12
KP0209_AC_SQ12,Clust1,1e-05,SQ12
KP0214_AC_SQ20,Clust1,1e-05,SQ20
