Individual,Species,Population,Loc,Site,Depth,PC1,PC2,PC3,PC4,PC5,PC6,Clusters,Taxa,taxaQ.Clust1,taxaQ.Clust2,taxaQ.Clust3,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0046_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  2.17060439,-1.8639560,-1.500844e-01,-0.0014928812, 3.345708e-02, 6.382196e-01,Clust1,Clust1,0.999975,0.000010,0.000015,0.999970,0.000010,0.000010,0.000010
KP0049_HU_SB10,AH,HU_SB10,SB,SB10,10-12,  0.32434801, 7.0910734, 4.471833e-02, 1.9242166014, 1.151447e-01,-1.535341e-01,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0050_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  2.20806899,-1.7996528,-2.002327e-01,-0.0750992181, 5.945169e-02, 8.473041e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0055_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.53720917,-2.4521791,-5.350914e-01,-0.0022968228,-4.629151e-02, 1.915933e-01,Clust1,Clust1,0.996319,0.000010,0.003671,0.996309,0.000010,0.003671,0.000010
KP0057_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.49907842,-2.5109288,-4.428256e-01,-0.0069552645,-5.380977e-02, 7.880218e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0058_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.46164920,-2.3890075,-5.608742e-01,-0.0397871883, 3.578794e-02, 7.464867e-01,Clust1,Clust1,0.999979,0.000010,0.000011,0.999968,0.000010,0.000012,0.000010
KP0060_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  2.14797865,-1.8347753,-1.966463e-01, 0.0097383109, 3.257180e-02, 4.053827e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0061_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.49565316,-2.5122002,-4.986306e-01, 0.0107483254,-4.342502e-02, 1.036575e+00,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0072_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.50291235,-2.4804518,-3.484841e-01, 0.0096525525, 4.608693e-02, 4.187090e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0073_HU_SB10,AH,HU_SB10,SB,SB10,10-12,  0.01184080, 6.8526947, 1.391617e-01, 0.2739271397, 7.779347e-02,-2.480384e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0074_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.48080239,-2.4909225,-6.299605e-01,-0.0025191950, 1.128665e-02, 1.391264e+00,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0078_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.14139225,-1.7265107,-2.899890e-01,-0.0186409581, 2.109880e-02,-1.207768e-02,Clust1,Clust1,0.946149,0.000010,0.053841,0.946143,0.000010,0.053837,0.000010
