Individuals,Clusters,Assignment,pop
KP0046_AC_SB10,Clust1,0.946753,AA_SB10
KP0049_HU_SB10,Clust1,1e-05,AH_SB10
KP0050_AC_SB10,Clust1,0.992169,AA_SB10
KP0055_AC_SB10,Clust1,0.445603,AA_SB10
KP0057_AC_SB10,Clust1,0.944158,AA_SB10
KP0058_AC_SB10,Clust1,0.723747,AA_SB10
KP0060_AC_SB10,Clust1,0.72787,AA_SB10
KP0061_AC_SB10,Clust1,0.99995,AA_SB10
KP0072_AC_SB10,Clust1,0.61692,AA_SB10
KP0073_HU_SB10,Clust1,1e-05,AH_SB10
KP0074_AC_SB10,Clust1,0.99995,AA_SB10
KP0078_AC_SB10,Clust1,0.523906,AA_SB10
KP0081_AC_SB10,Clust1,0.487584,AA_SB10
KP0084_AC_SB10,Clust1,1e-05,AA_SB10
KP0086_LM_SB10,Clust1,1e-05,AL_SB10
KP0089_AC_SB10,Clust1,0.941566,AA_SB10
KP0090_AC_SB10,Clust1,1e-05,AA_SB10
KP0091_AC_SB10,Clust1,1e-05,AA_SB10
KP0093_AC_SB10,Clust1,1e-05,AA_SB10
KP0095_AC_SB10,Clust1,0.716404,AA_SB10
KP0096_AC_SB10,Clust1,1e-05,AL_SB10
KP0099_AC_SB10,Clust1,1e-05,AA_SB10
KP0100_AC_SB10,Clust1,0.922651,AA_SB10
KP0101_AC_SB10,Clust1,0.891973,AA_SB10
KP0102_AC_SB10,Clust1,0.978447,AA_SB10
KP0104_AC_SB10,Clust1,0.99995,AA_SB10
KP0108_AC_SB10,Clust1,1e-05,AL_SB10
KP0109_LM_SB10,Clust1,0.823157,AA_SB10
KP0111_AC_SB10,Clust1,1e-05,AA_SB10
KP0112_AC_SB10,Clust1,0.99995,AA_SB10
KP0116_AC_SB10,Clust1,0.98334,AA_SB10
KP0120_AC_SB10,Clust1,0.814235,AA_SB10
KP0121_AC_SB10,Clust1,0.933914,AA_SB10
KP0122_AC_SB10,Clust1,0.743356,AA_SB10
KP0123_AC_SB10,Clust1,0.877371,AA_SB10
KP0125_AC_SB10,Clust1,0.808016,AA_SB10
KP0127_AC_SB10,Clust1,0.914297,AA_SB10
KP0129_AC_SB10,Clust1,0.689827,AA_SB10
KP0130_AC_SB05,Clust1,1e-05,AA_SB05
KP0131_HU_SB05,Clust1,1e-05,AH_SB05
KP0132_HU_SB05,Clust1,1e-05,AH_SB05
KP0134_HU_SB05,Clust1,1e-05,AH_SB05
KP0135_HU_SB05,Clust1,1e-05,AH_SB05
KP0138_HU_SB05,Clust1,1e-05,AH_SB05
KP0140_HU_SB05,Clust1,1e-05,AH_SB05
KP0142_HU_SB05,Clust1,1e-05,AH_SB05
KP0143_HU_SB05,Clust1,1e-05,AH_SB05
KP0145_HU_SB05,Clust1,1e-05,AH_SB05
KP0146_HU_SB05,Clust1,1e-05,AH_SB05
KP0147_HU_SB05,Clust1,1e-05,AH_SB05
KP0148_HU_SB05,Clust1,1e-05,AH_SB05
KP0149_HU_SB05,Clust1,1e-05,AH_SB05
KP0153_AC_SQ12,Clust1,0.762004,AA_SQ12
KP0158_AC_SQ12,Clust1,0.790536,AA_SQ12
KP0162_AC_SQ12,Clust1,0.752125,AA_SQ12
KP0167_AC_SQ12,Clust1,0.78613,AA_SQ12
KP0168_AC_SQ12,Clust1,0.810603,AA_SQ12
KP0171_AC_SQ12,Clust1,0.99995,AA_SQ12
KP0172_AC_SQ12,Clust1,0.695379,AA_SQ12
KP0176_AC_SQ12,Clust1,0.811776,AA_SQ12
KP0181_AC_SQ12,Clust1,0.647895,AA_SQ12
KP0184_AC_SQ12,Clust1,1e-05,AA_SQ12
KP0186_AC_SQ12,Clust1,1e-05,AL_SQ12
KP0187_AC_SQ12,Clust1,0.745165,AA_SQ12
KP0189_AC_SQ12,Clust1,0.677299,AA_SQ12
KP0190_AC_SQ12,Clust1,0.875205,AA_SQ12
KP0192_AC_SQ12,Clust1,1e-05,AL_SQ12
KP0197_AC_SQ12,Clust1,0.726998,AA_SQ12
KP0202_AC_SQ12,Clust1,0.863508,AA_SQ12
KP0203_AC_SQ12,Clust1,1e-05,AL_SQ12
KP0207_LM_SQ12,Clust1,1.8e-05,AL_SQ12
