Individuals,Clusters,Assignment,pop
KP0049_HU_SB10,Clust1,0.690443,SB10
KP0073_HU_SB10,Clust1,0.424252,SB10
KP0075_HU_SB10,Clust1,0.214173,SB10
KP0084_AC_SB10,Clust1,1e-05,SB10
KP0090_AC_SB10,Clust1,0.471749,SB10
KP0091_AC_SB10,Clust1,1e-05,SB10
KP0092_AC_SB10,Clust1,0.350953,SB10
KP0093_AC_SB10,Clust1,0.308464,SB10
KP0098_AC_SB10,Clust1,1e-05,SB10
KP0099_AC_SB10,Clust1,0.16682,SB10
KP0110_AC_SB10,Clust1,1e-05,SB10
KP0111_AC_SB10,Clust1,1e-05,SB10
KP0130_AC_SB05,Clust1,1e-05,SB05
KP0132_HU_SB05,Clust1,1e-05,SB05
KP0134_HU_SB05,Clust1,0.351262,SB05
KP0135_HU_SB05,Clust1,1e-05,SB05
KP0137_HU_SB05,Clust1,1e-05,SB05
KP0138_HU_SB05,Clust1,1e-05,SB05
KP0139_HU_SB05,Clust1,1e-05,SB05
KP0140_HU_SB05,Clust1,1e-05,SB05
KP0141_HU_SB05,Clust1,1e-05,SB05
KP0142_HU_SB05,Clust1,1e-05,SB05
KP0143_HU_SB05,Clust1,1e-05,SB05
KP0145_HU_SB05,Clust1,1e-05,SB05
KP0146_HU_SB05,Clust1,1e-05,SB05
KP0147_HU_SB05,Clust1,1e-05,SB05
KP0148_HU_SB05,Clust1,1e-05,SB05
KP0149_HU_SB05,Clust1,1e-05,SB05
KP0159_AC_SQ12,Clust1,1e-05,SQ12
KP0183_AC_SQ12,Clust1,1e-05,SQ12
KP0184_AC_SQ12,Clust1,1e-05,SQ12
KP0211_AC_SQ12,Clust1,0.430972,SQ12
KP0378_AC_WP20,Clust1,0.973374,WP20
KP0410_HU_CA05,Clust1,0.816203,CA05
KP0413_HU_CA05,Clust1,0.207969,CA05
KP0414_HU_CA05,Clust1,0.333116,CA05
KP0416_HU_CA05,Clust1,1e-05,CA05
KP0417_HU_CA05,Clust1,0.624722,CA05
KP0418_HU_CA05,Clust1,0.062336,CA05
KP0420_HU_CA05,Clust1,1e-05,CA05
KP0421_HU_CA05,Clust1,1e-05,CA05
