Individuals,Clusters,Assignment,pop
KP0086_LM_SB10,Clust1,0.089316,SB10
KP0096_AC_SB10,Clust1,1e-05,SB10
KP0108_AC_SB10,Clust1,1e-05,SB10
KP0186_AC_SQ12,Clust1,0.202256,SQ12
KP0192_AC_SQ12,Clust1,0.201895,SQ12
KP0203_AC_SQ12,Clust1,0.091665,SQ12
KP0207_LM_SQ12,Clust1,1e-05,SQ12
KP0249_LM_SQ20,Clust1,0.14617,SQ20
KP0252_LM_SQ20,Clust1,1e-05,SQ20
KP0253_LM_SQ20,Clust1,1e-05,SQ20
KP0254_LM_SQ20,Clust1,1e-05,SQ20
KP0282_LM_SQ20,Clust1,0.089542,SQ20
KP0285_LM_SQ20,Clust1,1e-05,SQ20
KP0290_LM_WP20,Clust1,0.019606,WP20
KP0293_LM_WP20,Clust1,0.99996,WP20
KP0308_LM_WP20,Clust1,0.120058,WP20
KP0318_LM_WP20,Clust1,0.99996,WP20
KP0319_LM_WP20,Clust1,1e-05,WP20
KP0322_LM_WP20,Clust1,1e-05,WP20
KP0328_LM_WP20,Clust1,1e-05,WP20
KP0330_LM_WP20,Clust1,1e-05,WP20
KP0341_LM_WP20,Clust1,1e-05,WP20
KP0342_LM_WP20,Clust1,1e-05,WP20
KP0343_LM_WP20,Clust1,1e-05,WP20
KP0345_LM_WP20,Clust1,1e-05,WP20
KP0348_LM_WP20,Clust1,1e-05,WP20
KP0350_LM_WP20,Clust1,0.130691,WP20
KP0375_LM_WP20,Clust1,0.14141,WP20
KP0377_LM_WP20,Clust1,1e-05,WP20
KP0380_LM_WP20,Clust1,0.008492,WP20
KP0400_LM_WP20,Clust1,1e-05,WP20
KP0459_LM_WP20,Clust1,0.31006,WP20
KP0473_LM_WP20,Clust1,1e-05,WP20
KP0482_LM_WP20,Clust1,0.157981,WP20
KP0529_LM_WP20,Clust1,1e-05,WP20
KP0547_LM_WP20,Clust1,1e-05,WP20
KP0548_LM_WP20,Clust1,1e-05,WP20
KP0551_LM_WP20,Clust1,1e-05,WP20
KP0557_AC_WP20,Clust1,1e-05,WP20
KP0558_LM_WP20,Clust1,1e-05,WP20
KP0570_LM_WP20,Clust1,0.093954,WP20
KP0585_LM_WP20,Clust1,1e-05,WP20
KP0588_LM_WP20,Clust1,0.055215,WP20
KP0599_LM_SB20,Clust1,1e-05,SB20
KP0605_AC_SB20,Clust1,0.116519,SB20
KP0609_AC_SB20,Clust1,0.290731,SB20
KP0613_LM_SB20,Clust1,0.210466,SB20
KP0614_LM_SB20,Clust1,0.055688,SB20
KP0616_LM_SB20,Clust1,0.183292,SB20
KP0617_LM_SB20,Clust1,1e-05,SB20
KP0618_LM_SB20,Clust1,1e-05,SB20
KP0620_LM_SB20,Clust1,1e-05,SB20
KP0629_LM_SB20,Clust1,1e-05,SB20
KP0631_LM_SB20,Clust1,0.200371,SB20
KP0634_LM_SB20,Clust1,1e-05,SB20
KP0637_LM_SB20,Clust1,1e-05,SB20
KP0650_LM_SB20,Clust1,1e-05,SB20
KP0657_LM_SB20,Clust1,0.99996,SB20
KP0659_LM_SB20,Clust1,0.99996,SB20
KP0664_LM_SB20,Clust1,1e-05,SB20
KP0666_LM_SB20,Clust1,0.020993,SB20
KP0670_LM_SB20,Clust1,0.061863,SB20
KP0671_AC_SB20,Clust1,0.149657,SB20
KP0676_LM_SB20,Clust1,1e-05,SB20
KP0677_LM_SB20,Clust1,0.158918,SB20
KP0680_LM_SB20,Clust1,1e-05,SB20
KP0682_LM_SB20,Clust1,0.647844,SB20
KP0694_LM_SB20,Clust1,0.068767,SB20
KP0706_LM_SB20,Clust1,0.090524,SB20
KP0707_LM_SB20,Clust1,0.224059,SB20
KP0716_LM_SB20,Clust1,1e-05,SB20
KP0718_LM_SB20,Clust1,1e-05,SB20
KP0723_NA_NANA,Clust1,0.273158,SB20
KP0731_LM_SB20,Clust1,1e-05,SB20
KP0732_LM_SB20,Clust1,0.045554,SB20
KP0765_AC_WP10,Clust1,0.197159,WP10
KP0795_LM_WP10,Clust1,0.178081,WP10
KP0851_AC_WP10,Clust1,1e-05,WP10
KP0870_LM_WP10,Clust1,0.000758,WP10
KP0893_LM_WP10,Clust1,1e-05,WP10
KP1043_LM_CA10,Clust1,1e-05,CA10
KP1058_LM_CA20,Clust1,1e-05,CA20
KP1059_LM_CA20,Clust1,1e-05,CA20
KP1061_LM_CA20,Clust1,1e-05,CA20
KP1064_LM_CA20,Clust1,1e-05,CA20
KP1065_LM_CA20,Clust1,1e-05,CA20
KP1093_LM_CA20,Clust1,1e-05,CA20
KP1094_LM_CA20,Clust1,1e-05,CA20
KP1095_HU_CA20,Clust1,1e-05,CA20
KP1101_LM_CA20,Clust1,1e-05,CA20
KP1103_LM_CA20,Clust1,1e-05,CA20
KP1118_LM_CA20,Clust1,0.060792,CA20
KP1119_LM_CA20,Clust1,0.166845,CA20
KP1123_LM_CA20,Clust1,1e-05,CA20
KP1124_AC_CA20,Clust1,1e-05,CA20
KP1126_LM_CA20,Clust1,2e-05,CA20
KP1133_LM_CA20,Clust1,0.044759,CA20
KP1144_LM_CA20,Clust1,1e-05,CA20
KP1160_UN_CA20,Clust1,1e-05,CA20
KP1164_LM_CA20,Clust1,0.050767,CA20
KP1166_LM_CA20,Clust1,0.009135,CA20
KP1167_LM_CA20,Clust1,1.7e-05,CA20
KX0330_LM_WP20,Clust1,1e-05,WP20
KX0657_LM_SB20,Clust1,0.99996,SB20
KY0578_AC_WP20,Clust1,0.120103,WP20
NR4671_L1_CS50,Clust1,0.096963,NA
NR5050_L2_CS15,Clust1,0.107286,NA
