Individuals,Clusters,Assignment,pop
KP0086_LM_SB10,Clust1,0.99997,SB10
KP0096_AC_SB10,Clust1,1e-05,SB10
KP0108_AC_SB10,Clust1,1e-05,SB10
KP0186_AC_SQ12,Clust1,0.99997,SQ12
KP0192_AC_SQ12,Clust1,1e-05,SQ12
KP0203_AC_SQ12,Clust1,0.518033,SQ12
KP0207_LM_SQ12,Clust1,1e-05,SQ12
KP0249_LM_SQ20,Clust1,0.675744,SQ20
KP0252_LM_SQ20,Clust1,0.062486,SQ20
KP0254_LM_SQ20,Clust1,1e-05,SQ20
KP0282_LM_SQ20,Clust1,0.99997,SQ20
KP0285_LM_SQ20,Clust1,1e-05,SQ20
KP0290_LM_WP20,Clust1,0.331953,WP20
KP0293_LM_WP20,Clust1,0.27736,WP20
KP0308_LM_WP20,Clust1,1e-05,WP20
KP0319_LM_WP20,Clust1,0.99997,WP20
KP0322_LM_WP20,Clust1,1e-05,WP20
KP0328_LM_WP20,Clust1,1e-05,WP20
KP0341_LM_WP20,Clust1,1e-05,WP20
KP0348_LM_WP20,Clust1,0.469521,WP20
KP0350_LM_WP20,Clust1,0.99997,WP20
KP0375_LM_WP20,Clust1,1e-05,WP20
KP0377_LM_WP20,Clust1,1e-05,WP20
KP0380_LM_WP20,Clust1,1e-05,WP20
KP0400_LM_WP20,Clust1,1e-05,WP20
KP0459_LM_WP20,Clust1,0.99997,WP20
KP0473_LM_WP20,Clust1,1e-05,WP20
KP0482_LM_WP20,Clust1,1e-05,WP20
KP0547_LM_WP20,Clust1,1e-05,WP20
KP0548_LM_WP20,Clust1,1e-05,WP20
KP0551_LM_WP20,Clust1,1e-05,WP20
KP0558_LM_WP20,Clust1,0.99997,WP20
KP0570_LM_WP20,Clust1,1e-05,WP20
KP0585_LM_WP20,Clust1,1e-05,WP20
KP0588_LM_WP20,Clust1,1e-05,WP20
KP0599_LM_SB20,Clust1,1e-05,SB20
KP0605_AC_SB20,Clust1,1e-05,SB20
KP0609_AC_SB20,Clust1,0.883957,SB20
KP0613_LM_SB20,Clust1,0.601914,SB20
KP0614_LM_SB20,Clust1,1e-05,SB20
KP0616_LM_SB20,Clust1,0.99997,SB20
KP0617_LM_SB20,Clust1,0.415341,SB20
KP0618_LM_SB20,Clust1,1e-05,SB20
KP0620_LM_SB20,Clust1,1e-05,SB20
KP0629_LM_SB20,Clust1,0.99997,SB20
KP0631_LM_SB20,Clust1,1e-05,SB20
KP0634_LM_SB20,Clust1,0.363127,SB20
KP0650_LM_SB20,Clust1,1e-05,SB20
KP0657_LM_SB20,Clust1,0.99997,SB20
KP0664_LM_SB20,Clust1,1e-05,SB20
KP0666_LM_SB20,Clust1,1e-05,SB20
KP0670_LM_SB20,Clust1,1e-05,SB20
KP0671_AC_SB20,Clust1,0.487714,SB20
KP0676_LM_SB20,Clust1,1e-05,SB20
KP0677_LM_SB20,Clust1,1e-05,SB20
KP0680_LM_SB20,Clust1,0.99997,SB20
KP0682_LM_SB20,Clust1,0.963198,SB20
KP0694_LM_SB20,Clust1,0.622054,SB20
KP0706_LM_SB20,Clust1,0.55406,SB20
KP0707_LM_SB20,Clust1,0.345164,SB20
KP0716_LM_SB20,Clust1,1e-05,SB20
KP0718_LM_SB20,Clust1,0.743444,SB20
KP0723_NA_NANA,Clust1,0.99997,SB20
KP0731_LM_SB20,Clust1,1e-05,SB20
KP0732_LM_SB20,Clust1,0.754422,SB20
KP0765_AC_WP10,Clust1,1e-05,WP10
KP0795_LM_WP10,Clust1,0.751802,WP10
KP0851_AC_WP10,Clust1,1e-05,WP10
KP0870_LM_WP10,Clust1,0.063185,WP10
KP0893_LM_WP10,Clust1,0.373469,WP10
KP1043_LM_CA10,Clust1,1e-05,CA10
KP1061_LM_CA20,Clust1,1e-05,CA20
KP1064_LM_CA20,Clust1,1e-05,CA20
KP1065_LM_CA20,Clust1,1e-05,CA20
KP1093_LM_CA20,Clust1,1e-05,CA20
KP1094_LM_CA20,Clust1,1e-05,CA20
KP1095_HU_CA20,Clust1,1e-05,CA20
KP1101_LM_CA20,Clust1,1e-05,CA20
KP1103_LM_CA20,Clust1,1e-05,CA20
KP1118_LM_CA20,Clust1,1e-05,CA20
KP1119_LM_CA20,Clust1,1e-05,CA20
KP1123_LM_CA20,Clust1,1e-05,CA20
KP1124_AC_CA20,Clust1,0.99997,CA20
KP1126_LM_CA20,Clust1,1e-05,CA20
KP1133_LM_CA20,Clust1,1e-05,CA20
KP1144_LM_CA20,Clust1,1e-05,CA20
KP1160_UN_CA20,Clust1,1e-05,CA20
KP1164_LM_CA20,Clust1,0.99997,CA20
KP1166_LM_CA20,Clust1,1e-05,CA20
KP1167_LM_CA20,Clust1,1e-05,CA20
KX0330_LM_WP20,Clust1,1e-05,WP20
KY0578_AC_WP20,Clust1,1e-05,WP20
KP0086_LM_SB10,Clust2,1e-05,SB10
KP0096_AC_SB10,Clust2,0.99997,SB10
KP0108_AC_SB10,Clust2,1e-05,SB10
KP0186_AC_SQ12,Clust2,1e-05,SQ12
KP0192_AC_SQ12,Clust2,1e-05,SQ12
KP0203_AC_SQ12,Clust2,1e-05,SQ12
KP0207_LM_SQ12,Clust2,1e-05,SQ12
KP0249_LM_SQ20,Clust2,1e-05,SQ20
KP0252_LM_SQ20,Clust2,1e-05,SQ20
KP0254_LM_SQ20,Clust2,0.99997,SQ20
KP0282_LM_SQ20,Clust2,1e-05,SQ20
KP0285_LM_SQ20,Clust2,0.99997,SQ20
KP0290_LM_WP20,Clust2,1e-05,WP20
KP0293_LM_WP20,Clust2,1e-05,WP20
KP0308_LM_WP20,Clust2,1e-05,WP20
KP0319_LM_WP20,Clust2,1e-05,WP20
KP0322_LM_WP20,Clust2,0.99997,WP20
KP0328_LM_WP20,Clust2,0.99997,WP20
KP0341_LM_WP20,Clust2,1e-05,WP20
KP0348_LM_WP20,Clust2,1e-05,WP20
KP0350_LM_WP20,Clust2,1e-05,WP20
KP0375_LM_WP20,Clust2,1e-05,WP20
KP0377_LM_WP20,Clust2,0.924645,WP20
KP0380_LM_WP20,Clust2,1e-05,WP20
KP0400_LM_WP20,Clust2,0.99997,WP20
KP0459_LM_WP20,Clust2,1e-05,WP20
KP0473_LM_WP20,Clust2,0.99997,WP20
KP0482_LM_WP20,Clust2,1e-05,WP20
KP0547_LM_WP20,Clust2,0.99997,WP20
KP0548_LM_WP20,Clust2,0.99997,WP20
KP0551_LM_WP20,Clust2,1e-05,WP20
KP0558_LM_WP20,Clust2,1e-05,WP20
KP0570_LM_WP20,Clust2,1e-05,WP20
KP0585_LM_WP20,Clust2,1e-05,WP20
KP0588_LM_WP20,Clust2,0.99997,WP20
KP0599_LM_SB20,Clust2,1e-05,SB20
KP0605_AC_SB20,Clust2,1e-05,SB20
KP0609_AC_SB20,Clust2,1e-05,SB20
KP0613_LM_SB20,Clust2,1e-05,SB20
KP0614_LM_SB20,Clust2,1e-05,SB20
KP0616_LM_SB20,Clust2,1e-05,SB20
KP0617_LM_SB20,Clust2,1e-05,SB20
KP0618_LM_SB20,Clust2,0.943725,SB20
KP0620_LM_SB20,Clust2,1e-05,SB20
KP0629_LM_SB20,Clust2,1e-05,SB20
KP0631_LM_SB20,Clust2,1e-05,SB20
KP0634_LM_SB20,Clust2,1e-05,SB20
KP0650_LM_SB20,Clust2,1e-05,SB20
KP0657_LM_SB20,Clust2,1e-05,SB20
KP0664_LM_SB20,Clust2,0.99997,SB20
KP0666_LM_SB20,Clust2,0.99997,SB20
KP0670_LM_SB20,Clust2,0.526639,SB20
KP0671_AC_SB20,Clust2,0.023038,SB20
KP0676_LM_SB20,Clust2,0.99997,SB20
KP0677_LM_SB20,Clust2,1e-05,SB20
KP0680_LM_SB20,Clust2,1e-05,SB20
KP0682_LM_SB20,Clust2,0.036782,SB20
KP0694_LM_SB20,Clust2,1e-05,SB20
KP0706_LM_SB20,Clust2,1e-05,SB20
KP0707_LM_SB20,Clust2,1e-05,SB20
KP0716_LM_SB20,Clust2,0.99997,SB20
KP0718_LM_SB20,Clust2,1e-05,SB20
KP0723_NA_NANA,Clust2,1e-05,SB20
KP0731_LM_SB20,Clust2,0.99997,SB20
KP0732_LM_SB20,Clust2,1e-05,SB20
KP0765_AC_WP10,Clust2,1e-05,WP10
KP0795_LM_WP10,Clust2,1e-05,WP10
KP0851_AC_WP10,Clust2,0.99997,WP10
KP0870_LM_WP10,Clust2,0.936795,WP10
KP0893_LM_WP10,Clust2,1e-05,WP10
KP1043_LM_CA10,Clust2,0.95972,CA10
KP1061_LM_CA20,Clust2,1e-05,CA20
KP1064_LM_CA20,Clust2,0.99997,CA20
KP1065_LM_CA20,Clust2,0.99997,CA20
KP1093_LM_CA20,Clust2,0.99997,CA20
KP1094_LM_CA20,Clust2,0.99997,CA20
