****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 335x1606
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.014	Loglikelihood: -212887	(delta): 634638
2 (EM) 	Elapsed: 0.014	Loglikelihood: -204771	(delta): 8116.72
3 (EM) 	Elapsed: 0.015	Loglikelihood: -203180	(delta): 1591.06
4 (EM) 	Elapsed: 0.014	Loglikelihood: -202451	(delta): 728.536
5 (EM) 	Elapsed: 0.015	Loglikelihood: -202096	(delta): 355.453
Initial loglikelihood: -202096
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.042	Loglikelihood: -195534	(delta): 6562.07
2 (QN/Block) 	Elapsed: 0.037	Loglikelihood: -188297	(delta): 7236.29
3 (QN/Block) 	Elapsed: 0.041	Loglikelihood: -186029	(delta): 2268.12
4 (QN/Block) 	Elapsed: 0.044	Loglikelihood: -185193	(delta): 835.92
5 (QN/Block) 	Elapsed: 0.045	Loglikelihood: -184582	(delta): 610.813
6 (QN/Block) 	Elapsed: 0.046	Loglikelihood: -184420	(delta): 162.185
7 (QN/Block) 	Elapsed: 0.043	Loglikelihood: -184412	(delta): 7.83156
8 (QN/Block) 	Elapsed: 0.044	Loglikelihood: -184409	(delta): 3.01232
9 (QN/Block) 	Elapsed: 0.047	Loglikelihood: -184409	(delta): 0.646927
10 (QN/Block) 	Elapsed: 0.038	Loglikelihood: -184409	(delta): 0.0375202
11 (QN/Block) 	Elapsed: 0.041	Loglikelihood: -184409	(delta): 0.00372784
12 (QN/Block) 	Elapsed: 0.043	Loglikelihood: -184409	(delta): 8.02069e-05
13 (QN/Block) 	Elapsed: 0.044	Loglikelihood: -184409	(delta): 1.33549e-06
14 (QN/Block) 	Elapsed: 0.043	Loglikelihood: -184409	(delta): 7.98027e-08
15 (QN/Block) 	Elapsed: 0.043	Loglikelihood: -184409	(delta): 1.80444e-09
16 (QN/Block) 	Elapsed: 0.045	Loglikelihood: -184409	(delta): 5.82077e-11
17 (QN/Block) 	Elapsed: 0.046	Loglikelihood: -184409	(delta): 0
18 (QN/Block) 	Elapsed: 0.047	Loglikelihood: -184409	(delta): -5.82077e-11
19 (QN/Block) 	Elapsed: 0.042	Loglikelihood: -184409	(delta): 2.91038e-11
20 (QN/Block) 	Elapsed: 0.047	Loglikelihood: -184409	(delta): 0
21 (QN/Block) 	Elapsed: 0.043	Loglikelihood: -184409	(delta): 0
22 (QN/Block) 	Elapsed: 0.05	Loglikelihood: -184409	(delta): 2.91038e-11
23 (QN/Block) 	Elapsed: 0.05	Loglikelihood: -184409	(delta): 0
24 (QN/Block) 	Elapsed: 0.048	Loglikelihood: -184409	(delta): -2.91038e-11
25 (QN/Block) 	Elapsed: 0.048	Loglikelihood: -184409	(delta): -5.82077e-11
26 (QN/Block) 	Elapsed: 0.048	Loglikelihood: -184409	(delta): 5.82077e-11
27 (QN/Block) 	Elapsed: 0.045	Loglikelihood: -184409	(delta): -2.91038e-11
28 (QN/Block) 	Elapsed: 0.046	Loglikelihood: -184409	(delta): 2.91038e-11
29 (QN/Block) 	Elapsed: 0.048	Loglikelihood: -184409	(delta): 0
30 (QN/Block) 	Elapsed: 0.043	Loglikelihood: -184409	(delta): -5.82077e-11
31 (QN/Block) 	Elapsed: 0.041	Loglikelihood: -184409	(delta): 2.91038e-11
32 (QN/Block) 	Elapsed: 0.048	Loglikelihood: -184409	(delta): 2.91038e-11
33 (QN/Block) 	Elapsed: 0.051	Loglikelihood: -184409	(delta): 0
34 (QN/Block) 	Elapsed: 0.045	Loglikelihood: -184409	(delta): -2.91038e-11
35 (QN/Block) 	Elapsed: 0.047	Loglikelihood: -184409	(delta): 2.91038e-11
36 (QN/Block) 	Elapsed: 0.048	Loglikelihood: -184409	(delta): -2.91038e-11
37 (QN/Block) 	Elapsed: 0.049	Loglikelihood: -184409	(delta): 2.91038e-11
38 (QN/Block) 	Elapsed: 0.044	Loglikelihood: -184409	(delta): 0
39 (QN/Block) 	Elapsed: 0.049	Loglikelihood: -184409	(delta): -2.91038e-11
40 (QN/Block) 	Elapsed: 0.049	Loglikelihood: -184409	(delta): 0
41 (QN/Block) 	Elapsed: 0.048	Loglikelihood: -184409	(delta): 2.91038e-11
42 (QN/Block) 	Elapsed: 0.055	Loglikelihood: -184409	(delta): -2.91038e-11
43 (QN/Block) 	Elapsed: 0.047	Loglikelihood: -184409	(delta): 2.91038e-11
44 (QN/Block) 	Elapsed: 0.047	Loglikelihood: -184409	(delta): -5.82077e-11
45 (QN/Block) 	Elapsed: 0.048	Loglikelihood: -184409	(delta): 0
46 (QN/Block) 	Elapsed: 0.054	Loglikelihood: -184409	(delta): 2.91038e-11
47 (QN/Block) 	Elapsed: 0.051	Loglikelihood: -184409	(delta): 2.91038e-11
48 (QN/Block) 	Elapsed: 0.05	Loglikelihood: -184409	(delta): 0
49 (QN/Block) 	Elapsed: 0.047	Loglikelihood: -184409	(delta): 0
50 (QN/Block) 	Elapsed: 0.048	Loglikelihood: -184409	(delta): -2.91038e-11
