****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 557x751
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.016	Loglikelihood: -241527	(delta): 356939
2 (EM) 	Elapsed: 0.015	Loglikelihood: -231539	(delta): 9988.33
3 (EM) 	Elapsed: 0.015	Loglikelihood: -228803	(delta): 2736.29
4 (EM) 	Elapsed: 0.015	Loglikelihood: -226741	(delta): 2062.15
5 (EM) 	Elapsed: 0.018	Loglikelihood: -224124	(delta): 2616.78
Initial loglikelihood: -224124
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.044	Loglikelihood: -76746.9	(delta): 147377
2 (QN/Block) 	Elapsed: 0.059	Loglikelihood: -54915.6	(delta): 21831.3
3 (QN/Block) 	Elapsed: 0.057	Loglikelihood: -53066.2	(delta): 1849.41
4 (QN/Block) 	Elapsed: 0.062	Loglikelihood: -51814.6	(delta): 1251.62
5 (QN/Block) 	Elapsed: 0.063	Loglikelihood: -51292.1	(delta): 522.444
6 (QN/Block) 	Elapsed: 0.07	Loglikelihood: -51104.2	(delta): 187.963
7 (QN/Block) 	Elapsed: 0.056	Loglikelihood: -51082	(delta): 22.1651
8 (QN/Block) 	Elapsed: 0.063	Loglikelihood: -51080.8	(delta): 1.21312
9 (QN/Block) 	Elapsed: 0.058	Loglikelihood: -51080.8	(delta): 0.00298464
10 (QN/Block) 	Elapsed: 0.059	Loglikelihood: -51080.8	(delta): 0.00855243
11 (QN/Block) 	Elapsed: 0.064	Loglikelihood: -51080.8	(delta): 0.00357703
12 (QN/Block) 	Elapsed: 0.058	Loglikelihood: -51080.8	(delta): 8.64384e-09
13 (QN/Block) 	Elapsed: 0.06	Loglikelihood: -51080.8	(delta): -1.45519e-11
14 (QN/Block) 	Elapsed: 0.057	Loglikelihood: -51080.8	(delta): -6.54836e-11
15 (QN/Block) 	Elapsed: 0.063	Loglikelihood: -51080.8	(delta): -7.27596e-12
16 (QN/Block) 	Elapsed: 0.057	Loglikelihood: -51080.8	(delta): -3.63798e-11
17 (QN/Block) 	Elapsed: 0.054	Loglikelihood: -51080.8	(delta): -3.63798e-11
18 (QN/Block) 	Elapsed: 0.057	Loglikelihood: -51080.8	(delta): 0
19 (QN/Block) 	Elapsed: 0.059	Loglikelihood: -51080.8	(delta): 0
20 (QN/Block) 	Elapsed: 0.057	Loglikelihood: -51080.8	(delta): -5.09317e-11
21 (QN/Block) 	Elapsed: 0.056	Loglikelihood: -51080.8	(delta): -6.54836e-11
22 (QN/Block) 	Elapsed: 0.057	Loglikelihood: -51080.8	(delta): -5.82077e-11
23 (QN/Block) 	Elapsed: 0.058	Loglikelihood: -51080.8	(delta): 7.27596e-12
24 (QN/Block) 	Elapsed: 0.06	Loglikelihood: -51080.8	(delta): -5.82077e-11
25 (QN/Block) 	Elapsed: 0.055	Loglikelihood: -51080.8	(delta): -8.00355e-11
26 (QN/Block) 	Elapsed: 0.06	Loglikelihood: -51080.8	(delta): -5.82077e-11
27 (QN/Block) 	Elapsed: 0.059	Loglikelihood: -51080.8	(delta): 0
28 (QN/Block) 	Elapsed: 0.057	Loglikelihood: -51080.8	(delta): -2.61934e-10
29 (QN/Block) 	Elapsed: 0.058	Loglikelihood: -51080.8	(delta): 7.27596e-12
30 (QN/Block) 	Elapsed: 0.053	Loglikelihood: -51080.8	(delta): -4.36557e-11
