****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 121x1282
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.004	Loglikelihood: -104703	(delta): 150300
2 (EM) 	Elapsed: 0.004	Loglikelihood: -100012	(delta): 4691.47
3 (EM) 	Elapsed: 0.004	Loglikelihood: -97989.1	(delta): 2022.64
4 (EM) 	Elapsed: 0.004	Loglikelihood: -96087.8	(delta): 1901.32
5 (EM) 	Elapsed: 0.004	Loglikelihood: -94053.2	(delta): 2034.6
Initial loglikelihood: -94053.2
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -75237.6	(delta): 18815.7
2 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -73553.6	(delta): 1683.94
3 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72872.8	(delta): 680.835
4 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72508.3	(delta): 364.481
5 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72294.4	(delta): 213.868
6 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275.2	(delta): 19.2799
7 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0.109912
8 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0.00110234
9 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -72275	(delta): 1.64495e-07
10 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 1.45519e-11
11 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
12 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
13 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
14 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): -2.91038e-11
15 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 1.45519e-11
16 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
17 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
18 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
19 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
20 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
21 (QN/Block) 	Elapsed: 0.017	Loglikelihood: -72275	(delta): 0
22 (QN/Block) 	Elapsed: 0.017	Loglikelihood: -72275	(delta): 0
23 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
24 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 1.45519e-11
25 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): -1.45519e-11
26 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
27 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
28 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
29 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 1.45519e-11
30 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): -1.45519e-11
31 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 1.45519e-11
32 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): -2.91038e-11
33 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 2.91038e-11
34 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
35 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): -1.45519e-11
36 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
37 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
38 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
39 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
40 (QN/Block) 	Elapsed: 0.017	Loglikelihood: -72275	(delta): 0
41 (QN/Block) 	Elapsed: 0.018	Loglikelihood: -72275	(delta): 0
42 (QN/Block) 	Elapsed: 0.016	Loglikelihood: -72275	(delta): 0
43 (QN/Block) 	Elapsed: 0.016	Loglikelihood: -72275	(delta): 0
44 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
45 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 1.45519e-11
46 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): -1.45519e-11
47 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
48 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
49 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -72275	(delta): 1.45519e-11
50 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): -1.45519e-11
51 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
52 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
53 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
54 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
55 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
56 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
57 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
58 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
59 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -72275	(delta): 1.45519e-11
60 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): -1.45519e-11
61 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
62 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
63 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 1.45519e-11
64 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): -1.45519e-11
65 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
66 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 1.45519e-11
67 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): -1.45519e-11
68 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
69 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
70 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
71 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
72 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
73 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
74 (QN/Block) 	Elapsed: 0.015	Loglikelihood: -72275	(delta): 0
75 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
76 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
77 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
78 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -72275	(delta): 0
79 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
80 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
81 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
82 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
83 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
84 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -72275	(delta): 0
85 (QN/Block) 	Elapsed: 0.014	Loglikelihood: -72275	(delta): 0
