****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 98x940
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.003	Loglikelihood: -48113.2	(delta): 104657
2 (EM) 	Elapsed: 0.002	Loglikelihood: -46293.2	(delta): 1819.99
3 (EM) 	Elapsed: 0.002	Loglikelihood: -45886.4	(delta): 406.785
4 (EM) 	Elapsed: 0.002	Loglikelihood: -45696.4	(delta): 190.009
5 (EM) 	Elapsed: 0.002	Loglikelihood: -45598.8	(delta): 97.5333
Initial loglikelihood: -45598.8
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -42679.3	(delta): 2919.54
2 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -41654.1	(delta): 1025.19
3 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -41054.9	(delta): 599.173
4 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -40643.8	(delta): 411.095
5 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -40516.4	(delta): 127.474
6 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40466.2	(delta): 50.1885
7 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -40456.9	(delta): 9.24596
8 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40456.6	(delta): 0.307897
9 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40456.6	(delta): 0.0189739
10 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40456.6	(delta): 0.00314419
11 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40456.6	(delta): 0.00114527
12 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40456.6	(delta): 0.000847866
13 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40456.6	(delta): 0.000392376
14 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40456.6	(delta): 0.000245656
15 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40456.6	(delta): 6.16794e-05
16 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40456.6	(delta): 1.21013e-05
17 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40456.6	(delta): 3.90894e-07
18 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40456.6	(delta): 4.01706e-08
19 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40456.6	(delta): 1.56579e-08
20 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40456.6	(delta): 4.79486e-09
21 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -40456.6	(delta): 2.32831e-10
22 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40456.6	(delta): 7.27596e-12
23 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40456.6	(delta): 7.27596e-12
24 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -40456.6	(delta): -7.27596e-12
25 (QN/Block) 	Elapsed: 0.013	Loglikelihood: -40456.6	(delta): 0
26 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -40456.6	(delta): -7.27596e-12
27 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -40456.6	(delta): 0
28 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): 7.27596e-12
29 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -40456.6	(delta): 0
30 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): 0
31 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -40456.6	(delta): 0
32 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): -7.27596e-12
33 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -40456.6	(delta): 7.27596e-12
34 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -40456.6	(delta): 0
35 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): 0
36 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -40456.6	(delta): 0
37 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): -7.27596e-12
38 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): 7.27596e-12
39 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): -7.27596e-12
40 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -40456.6	(delta): 0
41 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): 0
42 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -40456.6	(delta): 7.27596e-12
43 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -40456.6	(delta): -7.27596e-12
44 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -40456.6	(delta): 1.45519e-11
45 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -40456.6	(delta): -7.27596e-12
46 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): 0
47 (QN/Block) 	Elapsed: 0.012	Loglikelihood: -40456.6	(delta): 0
48 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): 0
49 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): 0
50 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): 0
51 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): 0
52 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -40456.6	(delta): 0
53 (QN/Block) 	Elapsed: 0.01	Loglikelihood: -40456.6	(delta): 0
