****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 92x945
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.002	Loglikelihood: -44621	(delta): 96573.1
2 (EM) 	Elapsed: 0.002	Loglikelihood: -42858.8	(delta): 1762.26
3 (EM) 	Elapsed: 0.002	Loglikelihood: -42468.3	(delta): 390.433
4 (EM) 	Elapsed: 0.002	Loglikelihood: -42283.8	(delta): 184.539
5 (EM) 	Elapsed: 0.002	Loglikelihood: -42190.1	(delta): 93.7369
Initial loglikelihood: -42190.1
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -39577.2	(delta): 2612.88
2 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -38465.1	(delta): 1112.09
3 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -38155.3	(delta): 309.807
4 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -37967.1	(delta): 188.223
5 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -37886.3	(delta): 80.7173
6 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -37866.6	(delta): 19.6984
7 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -37864.7	(delta): 1.97383
8 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -37864.6	(delta): 0.0467661
9 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -37864.6	(delta): 0.0241171
10 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -37864.6	(delta): 0.0198959
11 (QN/Block) 	Elapsed: 0.011	Loglikelihood: -37864.6	(delta): 0.000195948
12 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -37864.6	(delta): 0.000122617
13 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -37864.6	(delta): 1.08621e-05
