****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 98x940
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.001	Loglikelihood: -47440	(delta): 105035
2 (EM) 	Elapsed: 0.002	Loglikelihood: -45781.1	(delta): 1658.86
3 (EM) 	Elapsed: 0.002	Loglikelihood: -45373.6	(delta): 407.527
4 (EM) 	Elapsed: 0.002	Loglikelihood: -45186.5	(delta): 187.075
5 (EM) 	Elapsed: 0.002	Loglikelihood: -45095	(delta): 91.4659
Initial loglikelihood: -45095
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -42431.9	(delta): 2663.18
2 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -41259.4	(delta): 1172.47
3 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -40795.4	(delta): 463.96
4 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -40613.4	(delta): 182.017
5 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40512.5	(delta): 100.958
6 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40496.7	(delta): 15.7556
7 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -40495	(delta): 1.73708
8 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 0.0555693
9 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 0.00436051
10 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 0.000525926
11 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -40494.9	(delta): 3.48897e-05
12 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 3.19116e-07
13 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -40494.9	(delta): 5.94591e-08
14 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 2.03727e-10
15 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 2.18279e-11
16 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40494.9	(delta): 7.27596e-12
17 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -40494.9	(delta): 0
18 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 0
19 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40494.9	(delta): 0
20 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): -7.27596e-12
21 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 0
22 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40494.9	(delta): 0
23 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40494.9	(delta): 7.27596e-12
24 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -40494.9	(delta): -7.27596e-12
25 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 7.27596e-12
26 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): -7.27596e-12
27 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 7.27596e-12
28 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 0
29 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 0
30 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40494.9	(delta): 0
31 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -40494.9	(delta): 7.27596e-12
32 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): -7.27596e-12
33 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 0
34 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40494.9	(delta): 0
