****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 512x668
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.012	Loglikelihood: -140938	(delta): 388545
2 (EM) 	Elapsed: 0.012	Loglikelihood: -133806	(delta): 7132.05
3 (EM) 	Elapsed: 0.012	Loglikelihood: -132601	(delta): 1205.23
4 (EM) 	Elapsed: 0.012	Loglikelihood: -131932	(delta): 669.131
5 (EM) 	Elapsed: 0.012	Loglikelihood: -131514	(delta): 418.007
Initial loglikelihood: -131514
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.026	Loglikelihood: -126880	(delta): 4633.18
2 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -123036	(delta): 3844.71
3 (QN/Block) 	Elapsed: 0.034	Loglikelihood: -120023	(delta): 3013.04
4 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -117966	(delta): 2056.99
5 (QN/Block) 	Elapsed: 0.032	Loglikelihood: -117023	(delta): 942.304
6 (QN/Block) 	Elapsed: 0.03	Loglikelihood: -116664	(delta): 359.823
7 (QN/Block) 	Elapsed: 0.03	Loglikelihood: -116628	(delta): 35.8509
8 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -116618	(delta): 10.1377
9 (QN/Block) 	Elapsed: 0.03	Loglikelihood: -116615	(delta): 2.28903
10 (QN/Block) 	Elapsed: 0.03	Loglikelihood: -116615	(delta): 0.119013
11 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -116615	(delta): 0.0378857
12 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -116615	(delta): 0.00521141
13 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -116615	(delta): 0.000383362
14 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -116615	(delta): 2.56353e-05
15 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -116615	(delta): 3.58696e-06
16 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -116615	(delta): 3.30241e-07
17 (QN/Block) 	Elapsed: 0.031	Loglikelihood: -116615	(delta): 2.7343e-08
18 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -116615	(delta): 9.16771e-10
19 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -116615	(delta): -1.45519e-11
20 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -116615	(delta): 1.45519e-11
21 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -116615	(delta): 1.45519e-11
22 (QN/Block) 	Elapsed: 0.027	Loglikelihood: -116615	(delta): -2.91038e-11
23 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -116615	(delta): 0
24 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -116615	(delta): 1.45519e-11
25 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -116615	(delta): -1.45519e-11
26 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -116615	(delta): 1.45519e-11
27 (QN/Block) 	Elapsed: 0.029	Loglikelihood: -116615	(delta): 0
28 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -116615	(delta): -1.45519e-11
29 (QN/Block) 	Elapsed: 0.028	Loglikelihood: -116615	(delta): 0
30 (QN/Block) 	Elapsed: 0.025	Loglikelihood: -116615	(delta): 1.45519e-11
