****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 142x576
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.001	Loglikelihood: -58196.5	(delta): 81945.5
2 (EM) 	Elapsed: 0.002	Loglikelihood: -56124.2	(delta): 2072.29
3 (EM) 	Elapsed: 0.001	Loglikelihood: -55407.4	(delta): 716.851
4 (EM) 	Elapsed: 0.001	Loglikelihood: -54876.2	(delta): 531.13
5 (EM) 	Elapsed: 0.001	Loglikelihood: -54333.4	(delta): 542.799
Initial loglikelihood: -54333.4
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.005	Loglikelihood: -41624.2	(delta): 12709.2
2 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -40603.2	(delta): 1020.97
3 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -40306.8	(delta): 296.405
4 (QN/Block) 	Elapsed: 0.005	Loglikelihood: -40162.1	(delta): 144.685
5 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40099.3	(delta): 62.8148
6 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40086.8	(delta): 12.5094
7 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40086.7	(delta): 0.0979245
8 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -40086.7	(delta): 0.00751678
9 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -40086.7	(delta): 0.00284664
10 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -40086.7	(delta): 0.00107511
