****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 8 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 100 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 111x551
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.002	Loglikelihood: -22467.3	(delta): 73255.1
2 (EM) 	Elapsed: 0.002	Loglikelihood: -21243	(delta): 1224.36
3 (EM) 	Elapsed: 0.002	Loglikelihood: -20989.9	(delta): 253.114
4 (EM) 	Elapsed: 0.002	Loglikelihood: -20847.9	(delta): 142.001
5 (EM) 	Elapsed: 0.002	Loglikelihood: -20760.2	(delta): 87.6238
Initial loglikelihood: -20760.2
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.005	Loglikelihood: -19379.2	(delta): 1381
2 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -18640.7	(delta): 738.541
3 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -18248.6	(delta): 392.058
4 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -17798.1	(delta): 450.485
5 (QN/Block) 	Elapsed: 0.005	Loglikelihood: -17481.6	(delta): 316.568
6 (QN/Block) 	Elapsed: 0.005	Loglikelihood: -17426.2	(delta): 55.3708
7 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -17421	(delta): 5.19119
8 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -17420.8	(delta): 0.222181
9 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -17420.8	(delta): 0.000933419
10 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -17420.8	(delta): 1.76875e-06
11 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -17420.8	(delta): 5.31072e-08
12 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -17420.8	(delta): 3.63798e-12
13 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -17420.8	(delta): -3.63798e-12
14 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -17420.8	(delta): 0
15 (QN/Block) 	Elapsed: 0.009	Loglikelihood: -17420.8	(delta): 0
16 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -17420.8	(delta): 0
17 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -17420.8	(delta): 3.63798e-12
18 (QN/Block) 	Elapsed: 0.006	Loglikelihood: -17420.8	(delta): 0
19 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -17420.8	(delta): -3.63798e-12
20 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -17420.8	(delta): 3.63798e-12
21 (QN/Block) 	Elapsed: 0.008	Loglikelihood: -17420.8	(delta): -3.63798e-12
22 (QN/Block) 	Elapsed: 0.007	Loglikelihood: -17420.8	(delta): 0
