Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4,taxaQ.Clust1,taxaQ.Clust2,taxaQ.Clust3
KP0049_HU_SB10,SB10,SB,10-12,-3.2726085, 0.1132529, 1.255224254, 0.276846391,Clust1,Clust1,0.740760,0.000010,0.162650,0.096580,0.814097,0.000010,0.185893
KP0073_HU_SB10,SB10,SB,10-12,-2.5163329, 0.4383267, 0.330030090, 2.435539153,Clust4,NA,0.310972,0.000010,0.247246,0.441772,0.735996,0.000010,0.263994
KP0084_AC_SB10,SB10,SB,10-12,10.2021214,-1.4710966,-0.087053676, 0.028429778,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980,0.000010
KP0090_AC_SB10,SB10,SB,10-12,-3.2252003, 0.9934131, 0.287496025, 1.952433591,Clust1,NA,0.425978,0.000010,0.280885,0.293127,0.707428,0.000010,0.292562
KP0091_AC_SB10,SB10,SB,10-12, 9.9498644,-1.4662524,-0.066996445,-0.118011711,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980,0.000010
KP0093_AC_SB10,SB10,SB,10-12,-3.8915177,-0.6868616,-0.373694330, 1.748115178,Clust4,Clust1,0.321380,0.000010,0.139713,0.538897,0.855619,0.000010,0.144371
KP0099_AC_SB10,SB10,SB,10-12,-4.2425765,-2.5277242,-1.700046420, 2.430685986,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970,0.999980,0.000010,0.000010
KP0111_AC_SB10,SB10,SB,10-12,-5.0174055,-2.4182386,-1.690487416, 2.695030661,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970,0.999980,0.000010,0.000010
KP0130_AC_SB05,SB05,SB,5,10.0380358,-0.8356251,-0.003866666, 0.235833183,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980,0.000010
KP0132_HU_SB05,SB05,SB,5, 9.4260152,-1.2912399, 0.140992962, 0.326288658,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980,0.000010
KP0134_HU_SB05,SB05,SB,5,-4.5568933,-1.7485676, 0.299711801, 3.750783996,Clust4,Clust1,0.466893,0.000010,0.000010,0.533087,0.999980,0.000010,0.000010
KP0135_HU_SB05,SB05,SB,5,10.1912751,-1.7739261, 0.202210461, 0.387502313,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980,0.000010
KP0138_HU_SB05,SB05,SB,5, 0.7245508, 6.9260458, 0.079153319, 2.160183332,Clust3,Clust3,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980
KP0140_HU_SB05,SB05,SB,5,10.6862489,-1.9115163,-0.102448313, 0.233894857,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980,0.000010
KP0142_HU_SB05,SB05,SB,5, 9.9947264,-1.4327967, 0.127310485, 0.082266656,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980,0.000010
KP0143_HU_SB05,SB05,SB,5, 0.5696321, 6.1202135,-1.546223293, 0.844256788,Clust3,Clust3,0.000010,0.000010,0.909628,0.090352,0.054960,0.000010,0.945030
KP0145_HU_SB05,SB05,SB,5, 9.8285280,-1.6229161, 0.018851148,-0.308586942,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000016,0.999974,0.000010
KP0146_HU_SB05,SB05,SB,5,10.1230755,-1.5637215, 0.528853532, 0.539730052,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980,0.000010
KP0147_HU_SB05,SB05,SB,5,10.5830783,-1.6879446, 0.091064012,-0.578681034,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980,0.000010
KP0148_HU_SB05,SB05,SB,5, 9.1427414,-1.3598201,-0.010435560,-0.666431009,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980,0.000010
KP0149_HU_SB05,SB05,SB,5, 9.9060665,-1.6310586, 0.248093239, 0.028270760,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980,0.000010
KP0184_AC_SQ12,SQ12,SQ,10-12,-5.4756243,-2.4647482,-1.064866272, 2.494183657,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970,0.999980,0.000010,0.000010
KP0211_AC_SQ12,SQ12,SQ,10-12,-4.5173360,-1.4573723,-0.222234838, 3.383802148,Clust4,Clust1,0.258084,0.000010,0.000010,0.741896,0.999980,0.000010,0.000010
KP0378_AC_WP20,WP20,WP,20,-3.4659198,-1.4038028, 1.518549018,-0.329158192,Clust1,Clust1,0.932304,0.000010,0.000010,0.067676,0.999980,0.000010,0.000010
KP0410_HU_CA05,CA05,CA,5,-4.0009187,-1.2704804, 2.098443996, 0.556585046,Clust1,Clust1,0.920428,0.000010,0.079552,0.000010,0.905841,0.000010,0.094149
KP0413_HU_CA05,CA05,CA,5,-3.2214158,-0.5973423,-2.462591949,-0.334202578,Clust4,Clust1,0.053127,0.000010,0.162681,0.784181,0.846888,0.000010,0.153102
KP0414_HU_CA05,CA05,CA,5,-4.1221023,-1.4622731,-1.483438692,-0.094890411,Clust4,Clust1,0.246488,0.000010,0.050818,0.702683,0.951723,0.000010,0.048267
KP0417_HU_CA05,CA05,CA,5,-4.6646505,-1.6988294,-0.547825555, 0.534992722,Clust4,Clust1,0.196585,0.000010,0.000010,0.803395,0.999980,0.000010,0.000010
KP0418_HU_CA05,CA05,CA,5,-4.1945152,-1.2254122,-4.109538117,-1.762270434,Clust4,Clust1,0.000010,0.000010,0.082591,0.917389,0.918651,0.000010,0.081339
KP0420_HU_CA05,CA05,CA,5,-4.3906288,-2.1386095,-6.558804509,-2.590881289,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970,0.999980,0.000010,0.000010
KP0423_HU_CA05,CA05,CA,5,-3.6193827,-1.1428295,-1.968925050,-0.579192788,Clust4,Clust1,0.168446,0.000010,0.083695,0.747849,0.911003,0.000010,0.088987
KP0426_HU_CA05,CA05,CA,5,-3.2772575, 0.4844554,-4.901791294,-2.306269974,Clust4,NA,0.000010,0.000010,0.252918,0.747062,0.733530,0.000010,0.266460
KP0427_HU_CA05,CA05,CA,5,-4.2443887,-2.0062174,-3.326039021,-1.015148946,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970,0.999980,0.000010,0.000010
KP0429_HU_CA05,CA05,CA,5,-5.1109226,-2.1188108,-2.512635914, 0.478260105,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970,0.999980,0.000010,0.000010
KP0432_HU_CA05,CA05,CA,5,-2.8265801,-0.0341691,-1.103622294, 0.168182586,Clust4,NA,0.292373,0.000010,0.216360,0.491257,0.780069,0.000010,0.219921
KP0434_HU_CA05,CA05,CA,5,-4.3144485,-1.1954023, 0.169623589, 1.235839567,Clust1,Clust1,0.497020,0.000010,0.006456,0.496515,0.973232,0.000010,0.026758
KP0435_HU_CA05,CA05,CA,5,-4.8734854,-2.4038853,-3.143102209,-1.846097875,Clust4,Clust1,0.086000,0.000010,0.000010,0.913980,0.999980,0.000010,0.000010
KP0436_HU_CA05,CA05,CA,5, 0.4298561, 6.9171626,-0.316767238,-0.652474429,Clust3,Clust3,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980
KP0437_HU_CA05,CA05,CA,5, 1.0576467, 7.0709996,-0.307189561, 0.095135482,Clust3,Clust3,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010,0.999980
KP0438_HU_CA05,CA05,CA,5,-4.9369859,-2.7298860,-0.956534051, 1.590996568,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970,0.999980,0.000010,0.000010
KP0439_HU_CA05,CA05,CA,5,-4.5648766,-1.7192146,-3.911704531,-1.766144487,Clust4,Clust1,0.000010,0.000010,0.000010,0.999970,0.990601,0.000010,0.009389
KP0474_AC_WP20,WP20,WP,20,-4.6012648,-1.6583621, 2.807620095,-3.006653898,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999980,0.000010,0.000010
KP0540_AC_WP20,WP20,WP,20,-4.3757647,-1.3859269, 1.227786160,-0.516653153,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.984659,0.000010,0.015331
