	KP0049_HU_SB10	KP0073_HU_SB10	KP0084_AC_SB10	KP0090_AC_SB10	KP0091_AC_SB10	KP0093_AC_SB10	KP0099_AC_SB10	KP0111_AC_SB10	KP0130_AC_SB05	KP0132_HU_SB05	KP0134_HU_SB05	KP0135_HU_SB05	KP0138_HU_SB05	KP0140_HU_SB05	KP0142_HU_SB05	KP0143_HU_SB05	KP0145_HU_SB05	KP0146_HU_SB05	KP0147_HU_SB05	KP0148_HU_SB05	KP0149_HU_SB05	KP0184_AC_SQ12	KP0211_AC_SQ12	KP0378_AC_WP20	KP0410_HU_CA05	KP0413_HU_CA05	KP0414_HU_CA05	KP0417_HU_CA05	KP0418_HU_CA05	KP0420_HU_CA05	KP0423_HU_CA05	KP0426_HU_CA05	KP0427_HU_CA05	KP0429_HU_CA05	KP0432_HU_CA05	KP0434_HU_CA05	KP0435_HU_CA05	KP0436_HU_CA05	KP0437_HU_CA05	KP0438_HU_CA05	KP0439_HU_CA05	KP0474_AC_WP20	KP0540_AC_WP20	KP0552_AC_WP20	KP0582_AC_WP20	KP0639_LM_SB20	KP0739_HU_WP10	KP0744_HU_WP10	KP0764_HU_WP10	KP0768_HU_WP10	KP0774_AC_WP10	KP0775_AC_WP10	KP0783_HU_WP10	KP0785_AC_WP10	KP0786_HU_WP10	KP0789_HU_WP10	KP0803_HU_WP10	KP0805_HU_WP10	KP0814_HU_WP10	KP0818_HU_WP10	KP0826_AC_WP10	KP0827_AC_WP10	KP0829_AC_WP10	KP0831_HU_WP10	KP0838_AC_WP10	KP0839_HU_WP10	KP0841_AC_WP10	KP0845_AC_WP10	KP0847_HU_WP10	KP0850_AC_WP10	KP0853_HU_WP10	KP0859_HU_WP10	KP0875_AC_WP10	KP0876_HU_WP10	KP0877_HU_WP10	KP0886_AC_WP10	KP0888_AC_WP10	KP0899_LM_WP10	KP0901_HU_WP10	KP0903_HU_WP10	KP0906_AC_WP10	KP0920_HU_WP10	KP0922_AC_WP10	KP0935_AC_WP10	KP0941_HU_WP10	KP0948_AC_WP10	KP0951_HU_WP10	KP0954_HU_WP05	KP0956_HU_WP05	KP0957_HU_WP05	KP0958_HU_WP05	KP0959_HU_WP05	KP0960_HU_WP05	KP0961_HU_WP05	KP0963_HU_WP05	KP0964_HU_WP05	KP0968_HU_WP05	KP0970_HU_WP05	KP0971_HU_WP05	KP0972_HU_WP05	KP0973_HU_WP05	KP0979_HU_WP05	KP0980_HU_WP05	KP0984_HU_WP05	KP0985_AC_WP05	KP0986_HU_WP05	KP0987_HU_WP05	KP0989_HU_WP05	KP1005_HU_CA10	KP1033_HU_CA10	KP1036_UN_CA10	KP1037_HU_CA10	KP1039_HU_CA10	KP1041_HU_CA10	KP1074_AC_CA20	KP1084_AC_CA20	KP1116_AC_CA20	KP1153_UN_CA20	KP1159_UN_CA20	KP1162_AC_CA20	KX0075_HU_SB10
KP0049_HU_SB10	0	0.168	0.3187	0.1173	0.3186	0.135	0.1405	0.1356	0.3056	0.3057	0.1288	0.3185	0.2294	0.3262	0.3031	0.2208	0.3208	0.3126	0.3153	0.2938	0.3138	0.1387	0.1416	0.1443	0.1383	0.1462	0.1525	0.1405	0.1531	0.1562	0.148	0.1716	0.148	0.1362	0.1617	0.1319	0.1455	0.2204	0.2325	0.1448	0.161	0.123	0.1447	0.1376	0.1441	0.1521	0.139	0.2159	0.1131	0.2201	0.3212	0.3192	0.3174	0.1693	0.1973	0.1442	0.1526	0.1454	0.1368	0.318	0.2047	0.1485	0.1161	0.1405	0.1254	0.1665	0.1464	0.1389	0.1369	0.163	0.1753	0.1086	0.1267	0.1412	0.131	0.3202	0.2226	0.1768	0.2145	0.215	0.3069	0.14	0.1293	0.1623	0.1294	0.1369	0.3231	0.2181	0.2024	0.2153	0.2377	0.3144	0.33	0.1975	0.1506	0.216	0.1469	0.151	0.177	0.3317	0.3285	0.3154	0.3105	0.2001	0.3231	0.3154	0.3237	0.325	0.1517	0.1602	0.1455	0.1678	0.1406	0.1639	0.1389	0.1464	0.1317	0.1445	0.1385	0.1448	0.1614
KP0073_HU_SB10	0.168	0	0.3149	0.1651	0.3114	0.1507	0.1297	0.1283	0.3089	0.2994	0.0993	0.3076	0.2249	0.3139	0.3093	0.2039	0.3202	0.3129	0.3179	0.3144	0.3123	0.1299	0.1343	0.142	0.1472	0.1556	0.1604	0.1616	0.1624	0.1591	0.1541	0.1757	0.1501	0.1494	0.1661	0.146	0.1618	0.2135	0.2046	0.1619	0.162	0.1429	0.1493	0.1292	0.1717	0.1219	0.1639	0.2187	0.1395	0.2226	0.3131	0.3177	0.3102	0.185	0.19	0.1373	0.1487	0.1534	0.1593	0.3175	0.2022	0.1579	0.1384	0.1509	0.1351	0.1735	0.1808	0.1571	0.1497	0.1589	0.1802	0.1542	0.1585	0.1613	0.1486	0.3152	0.2265	0.1734	0.2188	0.2097	0.2994	0.1405	0.1329	0.1633	0.1596	0.1491	0.3184	0.2309	0.2056	0.2148	0.229	0.3126	0.3281	0.2049	0.1587	0.2255	0.1478	0.1552	0.1924	0.334	0.3149	0.3145	0.3037	0.2225	0.3222	0.3114	0.319	0.3283	0.1562	0.1617	0.1593	0.1676	0.1467	0.1797	0.1402	0.1644	0.1527	0.1491	0.1415	0.1662	0.1539
KP0084_AC_SB10	0.3187	0.3149	0	0.3158	0.1336	0.3178	0.3108	0.3132	0.1425	0.1219	0.3248	0.1297	0.302	0.1342	0.1248	0.2894	0.1332	0.1285	0.1434	0.1384	0.1305	0.3258	0.328	0.3145	0.3114	0.3126	0.3112	0.3227	0.3123	0.3055	0.3101	0.3076	0.3182	0.3197	0.3007	0.323	0.3166	0.3067	0.2831	0.3084	0.3296	0.3018	0.3068	0.3203	0.3171	0.3146	0.3196	0.2991	0.3142	0.2916	0.1346	0.1405	0.131	0.3183	0.3071	0.3251	0.3053	0.3327	0.3196	0.1366	0.2955	0.3039	0.316	0.3202	0.3243	0.3036	0.3246	0.3155	0.3186	0.3017	0.3126	0.3132	0.3134	0.3132	0.3261	0.1432	0.289	0.3094	0.2899	0.3121	0.137	0.3109	0.3088	0.3134	0.3148	0.3236	0.1349	0.3105	0.3078	0.2921	0.2964	0.1367	0.1425	0.2806	0.3072	0.3066	0.3094	0.3146	0.3088	0.1398	0.1425	0.1317	0.123	0.3017	0.1406	0.1254	0.1399	0.1281	0.32	0.3175	0.3154	0.3088	0.3245	0.3003	0.3226	0.3265	0.3303	0.3035	0.3123	0.33	0.3192
KP0090_AC_SB10	0.1173	0.1651	0.3158	0	0.3275	0.1202	0.1518	0.137	0.3087	0.3035	0.1289	0.3051	0.2193	0.3202	0.3044	0.2105	0.3194	0.3172	0.3167	0.3035	0.3201	0.1352	0.145	0.1564	0.1573	0.1315	0.1292	0.1624	0.1488	0.1622	0.1396	0.1642	0.1589	0.1478	0.1378	0.1365	0.1568	0.2154	0.2151	0.1563	0.1678	0.1472	0.1557	0.1508	0.1421	0.1425	0.1566	0.2166	0.1327	0.221	0.3169	0.3202	0.3068	0.1326	0.1583	0.1542	0.1239	0.1517	0.1597	0.3148	0.184	0.1553	0.1393	0.1586	0.142	0.1658	0.1595	0.1341	0.1495	0.1638	0.1305	0.1395	0.1344	0.1522	0.1465	0.3156	0.2053	0.1297	0.2063	0.1903	0.3059	0.1623	0.1481	0.1267	0.1619	0.1485	0.3174	0.226	0.1674	0.2172	0.2208	0.3126	0.3208	0.1981	0.1426	0.2244	0.144	0.137	0.142	0.3289	0.3312	0.3085	0.3121	0.2075	0.3145	0.3127	0.3173	0.3271	0.156	0.1426	0.1606	0.1304	0.1431	0.1585	0.1489	0.1617	0.1566	0.1379	0.1568	0.1476	0.1562
KP0091_AC_SB10	0.3186	0.3114	0.1336	0.3275	0	0.3272	0.3095	0.3159	0.1424	0.1203	0.3359	0.1346	0.3052	0.1427	0.1304	0.2941	0.1487	0.126	0.1409	0.136	0.1496	0.332	0.3261	0.3252	0.31	0.3139	0.325	0.3333	0.3217	0.3137	0.3242	0.3211	0.3195	0.3285	0.3035	0.3268	0.3179	0.2951	0.2864	0.3187	0.3403	0.3195	0.3134	0.3232	0.3155	0.3226	0.3307	0.3069	0.3121	0.2951	0.1338	0.1414	0.1357	0.3174	0.3196	0.316	0.3188	0.3399	0.327	0.1216	0.3029	0.3114	0.3307	0.3138	0.3242	0.3203	0.3323	0.312	0.3258	0.3105	0.3278	0.3104	0.3149	0.3251	0.3288	0.1389	0.3027	0.3151	0.2999	0.3113	0.1297	0.3134	0.3198	0.3203	0.3191	0.3273	0.1318	0.3104	0.3112	0.3028	0.3053	0.135	0.1371	0.292	0.3221	0.3073	0.3037	0.32	0.3135	0.1324	0.145	0.1357	0.1542	0.3237	0.1271	0.1227	0.1397	0.1324	0.3237	0.3256	0.3107	0.3203	0.3307	0.3116	0.3332	0.331	0.3393	0.3112	0.3214	0.3352	0.3276
KP0093_AC_SB10	0.135	0.1507	0.3178	0.1202	0.3272	0	0.1315	0.1172	0.3124	0.3096	0.1204	0.3109	0.2353	0.3187	0.3004	0.2259	0.3189	0.3145	0.3174	0.3038	0.3196	0.1147	0.1333	0.1399	0.1418	0.1215	0.1166	0.1425	0.1348	0.1379	0.1079	0.1593	0.1335	0.1249	0.1177	0.1081	0.1337	0.2224	0.2275	0.1306	0.1395	0.1347	0.1397	0.1226	0.1314	0.1234	0.1385	0.2292	0.1209	0.2422	0.3158	0.3182	0.3068	0.134	0.1732	0.148	0.1146	0.1322	0.1388	0.3173	0.2205	0.1383	0.1234	0.133	0.1391	0.1655	0.1529	0.1014	0.1307	0.147	0.1332	0.1267	0.1223	0.139	0.1361	0.3173	0.2274	0.1449	0.223	0.2084	0.3079	0.1412	0.1323	0.1285	0.1472	0.1406	0.3191	0.2367	0.185	0.227	0.2471	0.308	0.3192	0.2181	0.123	0.236	0.1388	0.1347	0.1562	0.3262	0.3262	0.3135	0.3108	0.2066	0.3228	0.3122	0.3151	0.3216	0.1279	0.119	0.1332	0.1224	0.1187	0.1759	0.1281	0.1447	0.1195	0.133	0.1496	0.1434	0.0988
KP0099_AC_SB10	0.1405	0.1297	0.3108	0.1518	0.3095	0.1315	0	0.0816	0.3	0.293	0.0951	0.2972	0.2411	0.3031	0.2954	0.2276	0.3042	0.3043	0.3031	0.2991	0.3051	0.0976	0.0954	0.1128	0.1236	0.1229	0.1132	0.1162	0.1163	0.0978	0.125	0.1439	0.1124	0.0836	0.1298	0.1152	0.0996	0.2437	0.2295	0.1048	0.1181	0.1196	0.1081	0.0875	0.1476	0.0961	0.1251	0.246	0.1198	0.2493	0.3078	0.3097	0.3003	0.1673	0.1972	0.138	0.1417	0.1294	0.1135	0.3176	0.2299	0.1439	0.1256	0.1162	0.1242	0.1553	0.1362	0.1176	0.1267	0.1485	0.1753	0.1054	0.1193	0.1219	0.1195	0.3029	0.2434	0.1775	0.236	0.2411	0.3027	0.1219	0.1052	0.144	0.1338	0.1165	0.3096	0.2538	0.2171	0.2542	0.2567	0.3027	0.3173	0.2312	0.1335	0.2522	0.1283	0.1192	0.1887	0.3145	0.3226	0.3027	0.3009	0.2271	0.3093	0.2936	0.303	0.3114	0.1062	0.1216	0.0968	0.1383	0.1015	0.1513	0.098	0.1338	0.0998	0.1038	0.1215	0.113	0.1487
KP0111_AC_SB10	0.1356	0.1283	0.3132	0.137	0.3159	0.1172	0.0816	0	0.3042	0.2987	0.0929	0.3114	0.2504	0.316	0.3087	0.2226	0.3186	0.3131	0.3164	0.3132	0.3105	0.0711	0.0925	0.1262	0.1269	0.1231	0.1156	0.1225	0.113	0.0963	0.1282	0.1402	0.1093	0.0984	0.1329	0.0945	0.099	0.23	0.2306	0.0968	0.1253	0.1068	0.1245	0.0862	0.1459	0.0878	0.126	0.2434	0.106	0.2416	0.3184	0.3163	0.3107	0.1556	0.2024	0.1298	0.1306	0.1303	0.1207	0.3199	0.2368	0.1425	0.0995	0.1174	0.1129	0.1637	0.1223	0.1228	0.119	0.1501	0.1623	0.1113	0.11	0.1336	0.1251	0.3164	0.2367	0.1669	0.2316	0.2335	0.3015	0.1089	0.1194	0.1313	0.1278	0.1212	0.3177	0.2492	0.2136	0.2431	0.2428	0.3117	0.3247	0.2182	0.1299	0.2428	0.1235	0.1271	0.1929	0.3279	0.3307	0.3105	0.3065	0.2263	0.3199	0.3058	0.3082	0.3197	0.1002	0.1125	0.0937	0.1446	0.0967	0.1624	0.0943	0.1294	0.1024	0.1081	0.1235	0.1206	0.1297
KP0130_AC_SB05	0.3056	0.3089	0.1425	0.3087	0.1424	0.3124	0.3	0.3042	0	0.1268	0.3258	0.1351	0.2864	0.1402	0.1388	0.2762	0.1531	0.1278	0.1243	0.1315	0.136	0.3172	0.3143	0.3111	0.3046	0.306	0.3121	0.3174	0.3036	0.3079	0.3123	0.3	0.3067	0.3177	0.294	0.3084	0.3112	0.2894	0.2706	0.3061	0.3169	0.3062	0.3036	0.3111	0.3092	0.3104	0.3147	0.2838	0.3055	0.2669	0.1282	0.1439	0.1378	0.3093	0.2981	0.3169	0.3007	0.3168	0.3099	0.1361	0.2792	0.2998	0.3215	0.3155	0.318	0.2986	0.3182	0.3111	0.3063	0.3005	0.3057	0.3114	0.3093	0.3075	0.3129	0.1354	0.2801	0.2992	0.2719	0.301	0.1248	0.3005	0.3075	0.31	0.3089	0.3164	0.1399	0.2933	0.2974	0.2882	0.284	0.1333	0.1332	0.2729	0.3063	0.2903	0.3001	0.3032	0.3003	0.1246	0.142	0.126	0.1483	0.2981	0.1341	0.123	0.1349	0.1435	0.3193	0.3151	0.3086	0.3002	0.3149	0.2953	0.3159	0.3177	0.3305	0.3007	0.306	0.3201	0.3142
KP0132_HU_SB05	0.3057	0.2994	0.1219	0.3035	0.1203	0.3096	0.293	0.2987	0.1268	0	0.3041	0.1214	0.2783	0.1248	0.1197	0.2777	0.1385	0.1237	0.1184	0.1159	0.1249	0.3095	0.3129	0.3093	0.2928	0.3085	0.3062	0.3145	0.2982	0.3041	0.3012	0.2958	0.3029	0.3116	0.2887	0.31	0.3108	0.2843	0.2699	0.3007	0.3148	0.2915	0.2986	0.3074	0.2966	0.3002	0.3116	0.2823	0.2961	0.2663	0.1135	0.1199	0.1094	0.3107	0.2962	0.3038	0.2932	0.3259	0.3046	0.1114	0.2751	0.2967	0.3148	0.3179	0.3064	0.2923	0.3155	0.3034	0.3023	0.2938	0.3029	0.3003	0.2957	0.3107	0.302	0.1109	0.2859	0.2976	0.2861	0.3018	0.1168	0.2995	0.3032	0.3037	0.2998	0.3008	0.1148	0.2858	0.291	0.2783	0.283	0.1111	0.1207	0.2715	0.2924	0.2892	0.296	0.3041	0.3021	0.1108	0.1371	0.1105	0.1233	0.2986	0.1134	0.1122	0.1198	0.1077	0.3108	0.3081	0.3002	0.298	0.3099	0.2809	0.3112	0.312	0.3208	0.2879	0.3028	0.3152	0.3093
