Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4,Clusters,Taxa,Q.Clust1,Q.Clust2,taxaQ.Clust1,taxaQ.Clust2
KP0086_LM_SB10,SB10,SB,10-12, 1.5269429,-1.945407533, 0.874727848,-0.155599001,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0096_AC_SB10,SB10,SB,10-12,-3.2174378, 0.297187377,-1.463834885,-0.416012134,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0108_AC_SB10,SB10,SB,10-12, 1.2911327, 0.735310740, 0.261566819,-0.953412976,Clust2,Clust2,0.119148,0.880852,0.119148,0.880852
KP0186_AC_SQ12,SQ12,SQ,10-12, 2.0376075,-0.570050152, 0.465191188,-0.570781763,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0192_AC_SQ12,SQ12,SQ,10-12, 1.9390327, 0.482761913,-0.547642693, 1.400817031,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0203_AC_SQ12,SQ12,SQ,10-12, 2.1409576, 0.605055120,-0.662090259, 0.808447780,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0207_LM_SQ12,SQ12,SQ,10-12, 1.5749022,-0.686350944, 0.438978319,-1.700875489,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0249_LM_SQ20,SQ20,SQ,20, 1.7895310,-0.297697491, 1.454430816, 1.504449653,Clust2,Clust2,0.081440,0.918560,0.081440,0.918560
KP0252_LM_SQ20,SQ20,SQ,20, 2.0406911, 1.122796844, 0.165467727, 0.871620192,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0254_LM_SQ20,SQ20,SQ,20,-3.5239708, 0.487419940, 1.518112974,-1.034834728,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0282_LM_SQ20,SQ20,SQ,20, 1.7741594,-0.393644864,-1.096539000,-0.022967600,Clust2,Clust2,0.027313,0.972687,0.027313,0.972687
KP0285_LM_SQ20,SQ20,SQ,20,-3.1219880,-0.623347679, 0.955660876,-0.284363514,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0290_LM_WP20,WP20,WP,20, 2.0702386, 1.030449452, 1.230489485, 0.122916387,Clust2,Clust2,0.054634,0.945366,0.054634,0.945366
KP0293_LM_WP20,WP20,WP,20, 1.6884564,-0.378745875, 0.250865949, 0.324374163,Clust2,Clust2,0.092763,0.907237,0.092763,0.907237
KP0308_LM_WP20,WP20,WP,20, 1.6492027, 0.204693290,-1.126286612, 0.359921575,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0319_LM_WP20,WP20,WP,20, 1.5616985,-0.012385374, 0.894023575,-1.407162001,Clust2,Clust2,0.041689,0.958311,0.041689,0.958311
KP0322_LM_WP20,WP20,WP,20,-3.1123816,-0.077712694, 0.846530179, 0.011490573,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0328_LM_WP20,WP20,WP,20,-3.0699487,-0.419910648,-0.879205325, 0.324192051,Clust1,Clust1,0.941540,0.058460,0.941540,0.058460
KP0341_LM_WP20,WP20,WP,20, 1.7310067,-0.009532717,-0.901659074, 0.008430543,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0348_LM_WP20,WP20,WP,20, 1.3496024, 1.282469161,-0.160959912, 0.315630407,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0350_LM_WP20,WP20,WP,20, 1.5305515, 1.209293534, 0.744090899, 1.198253814,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0375_LM_WP20,WP20,WP,20, 1.6573366,-0.865853558, 0.879429749,-0.221338235,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0377_LM_WP20,WP20,WP,20,-3.4516083, 0.068162105,-0.393968067, 1.327248869,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0380_LM_WP20,WP20,WP,20, 2.1913404, 0.319089944, 0.257333886, 1.099609258,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0400_LM_WP20,WP20,WP,20,-3.2380682,-1.186185740, 0.542327097,-0.142099682,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0459_LM_WP20,WP20,WP,20, 1.4447513,-0.501606894,-0.274909538, 0.399626391,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0473_LM_WP20,WP20,WP,20,-3.6288090,-0.787868282, 0.111851736,-0.516689614,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
