Individual,Site,Loc,Depth,PC1,PC2,Clusters,Taxa,Q.Clust1,Q.Clust2,taxaQ.Clust1,taxaQ.Clust2
KP0086_LM_SB10,SB10,SB,10-12, 1.570117,-0.204922066,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0096_AC_SB10,SB10,SB,10-12,-3.052978, 0.635959756,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0108_AC_SB10,SB10,SB,10-12, 1.316061, 1.633381345,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0186_AC_SQ12,SQ12,SQ,10-12, 1.816408, 0.910533024,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0192_AC_SQ12,SQ12,SQ,10-12, 1.580212,-0.300644912,Clust2,Clust2,0.030543,0.969457,0.030543,0.969457
KP0203_AC_SQ12,SQ12,SQ,10-12, 1.712814,-0.615448044,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0207_LM_SQ12,SQ12,SQ,10-12, 1.294359, 0.285794675,Clust2,Clust2,0.007925,0.992075,0.007925,0.992075
KP0249_LM_SQ20,SQ20,SQ,20, 1.565515,-0.013479301,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0252_LM_SQ20,SQ20,SQ,20, 1.725491, 0.798692869,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0254_LM_SQ20,SQ20,SQ,20,-3.197290, 0.913487831,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0282_LM_SQ20,SQ20,SQ,20, 1.510458,-0.146535819,Clust2,Clust2,0.005359,0.994641,0.005359,0.994641
KP0285_LM_SQ20,SQ20,SQ,20,-3.274642, 0.454795161,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0290_LM_WP20,WP20,WP,20, 2.244221, 1.036946065,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0293_LM_WP20,WP20,WP,20, 1.449792,-0.806150653,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0308_LM_WP20,WP20,WP,20, 1.854834,-0.146987658,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0319_LM_WP20,WP20,WP,20, 1.926825,-1.574444089,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0322_LM_WP20,WP20,WP,20,-3.101985,-0.590898860,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
