	KP0086_LM_SB10	KP0096_AC_SB10	KP0108_AC_SB10	KP0186_AC_SQ12	KP0192_AC_SQ12	KP0203_AC_SQ12	KP0207_LM_SQ12	KP0249_LM_SQ20	KP0252_LM_SQ20	KP0254_LM_SQ20	KP0282_LM_SQ20	KP0285_LM_SQ20	KP0290_LM_WP20	KP0293_LM_WP20	KP0308_LM_WP20	KP0319_LM_WP20	KP0322_LM_WP20	KP0328_LM_WP20	KP0341_LM_WP20	KP0348_LM_WP20	KP0350_LM_WP20	KP0375_LM_WP20	KP0377_LM_WP20	KP0380_LM_WP20	KP0400_LM_WP20	KP0459_LM_WP20	KP0473_LM_WP20	KP0482_LM_WP20	KP0547_LM_WP20	KP0548_LM_WP20	KP0551_LM_WP20	KP0558_LM_WP20	KP0570_LM_WP20	KP0585_LM_WP20	KP0588_LM_WP20	KP0599_LM_SB20	KP0605_AC_SB20	KP0609_AC_SB20	KP0613_LM_SB20	KP0614_LM_SB20	KP0616_LM_SB20	KP0617_LM_SB20	KP0618_LM_SB20	KP0620_LM_SB20	KP0629_LM_SB20	KP0631_LM_SB20	KP0634_LM_SB20	KP0650_LM_SB20	KP0657_LM_SB20	KP0664_LM_SB20	KP0666_LM_SB20	KP0670_LM_SB20	KP0671_AC_SB20	KP0676_LM_SB20	KP0677_LM_SB20	KP0680_LM_SB20	KP0682_LM_SB20	KP0694_LM_SB20	KP0706_LM_SB20	KP0707_LM_SB20	KP0716_LM_SB20	KP0718_LM_SB20	KP0723_NA_NANA	KP0731_LM_SB20	KP0732_LM_SB20	KP0765_AC_WP10	KP0795_LM_WP10	KP0851_AC_WP10	KP0870_LM_WP10	KP0893_LM_WP10	KP1043_LM_CA10	KP1061_LM_CA20	KP1064_LM_CA20	KP1065_LM_CA20	KP1093_LM_CA20	KP1094_LM_CA20	KP1095_HU_CA20	KP1101_LM_CA20	KP1103_LM_CA20	KP1118_LM_CA20	KP1119_LM_CA20	KP1123_LM_CA20	KP1124_AC_CA20	KP1126_LM_CA20	KP1133_LM_CA20	KP1144_LM_CA20	KP1160_UN_CA20	KP1164_LM_CA20	KP1166_LM_CA20	KP1167_LM_CA20	KX0330_LM_WP20	KY0578_AC_WP20
KP0086_LM_SB10	0	0.1388	0.1138	0.1172	0.1059	0.111	0.1033	0.1127	0.115	0.1353	0.0981	0.1516	0.1165	0.1057	0.1194	0.1096	0.1476	0.1443	0.1077	0.127	0.1116	0.1029	0.1358	0.1188	0.1331	0.1115	0.136	0.114	0.1432	0.1473	0.1107	0.1226	0.1156	0.1159	0.1496	0.1232	0.1211	0.1093	0.1111	0.1131	0.1089	0.1085	0.1362	0.1189	0.102	0.1526	0.1102	0.1098	0.1183	0.1534	0.1602	0.1244	0.1096	0.1548	0.1193	0.1085	0.1148	0.1113	0.1124	0.1177	0.1453	0.1089	0.1105	0.1481	0.108	0.1035	0.1087	0.1396	0.1428	0.1136	0.1407	0.1209	0.1506	0.1405	0.1686	0.1375	0.1072	0.1521	0.117	0.112	0.1231	0.1534	0.1159	0.1499	0.1129	0.1081	0.1204	0.1215	0.1084	0.1467	0.1457	0.1117
KP0096_AC_SB10	0.1388	0	0.1356	0.1426	0.1382	0.1374	0.1318	0.1404	0.1474	0.1105	0.1331	0.1097	0.1442	0.1322	0.1449	0.1458	0.1127	0.1099	0.1319	0.1415	0.1425	0.1312	0.1078	0.1507	0.1093	0.1286	0.1073	0.1377	0.0966	0.1099	0.135	0.1492	0.1474	0.1291	0.1108	0.1427	0.141	0.1425	0.1372	0.1422	0.1429	0.1339	0.1032	0.1389	0.1422	0.1841	0.1457	0.1359	0.1452	0.1084	0.1178	0.1206	0.1434	0.116	0.147	0.1423	0.1332	0.1373	0.1377	0.1403	0.106	0.1402	0.1404	0.1103	0.1382	0.1233	0.1393	0.1033	0.1049	0.1339	0.1048	0.1479	0.1026	0.1013	0.1262	0.1024	0.1351	0.1053	0.1429	0.1429	0.1463	0.1095	0.1424	0.1006	0.1379	0.1382	0.1344	0.1374	0.1341	0.1086	0.1058	0.1385
KP0108_AC_SB10	0.1138	0.1356	0	0.1046	0.1105	0.1075	0.1143	0.1079	0.1051	0.1314	0.1116	0.1371	0.1049	0.102	0.1029	0.1193	0.1458	0.134	0.1038	0.121	0.1199	0.1033	0.1324	0.1173	0.1307	0.1116	0.1345	0.1011	0.1489	0.1402	0.1043	0.1178	0.1245	0.0945	0.1463	0.1163	0.1027	0.1084	0.1068	0.1043	0.1091	0.0915	0.136	0.1158	0.1185	0.1458	0.1114	0.1118	0.1205	0.1509	0.1543	0.121	0.1153	0.1471	0.1015	0.1044	0.1024	0.1108	0.1125	0.1115	0.1429	0.1087	0.1082	0.1537	0.1075	0.0942	0.1094	0.1385	0.1415	0.1128	0.1339	0.1151	0.1351	0.1327	0.1721	0.1303	0.097	0.1564	0.1044	0.1063	0.1174	0.1438	0.1135	0.1395	0.1048	0.1051	0.0988	0.1144	0.1117	0.1391	0.1402	0.0896
KP0186_AC_SQ12	0.1172	0.1426	0.1046	0	0.1174	0.1161	0.1121	0.1123	0.114	0.1514	0.1083	0.16	0.106	0.1155	0.118	0.1112	0.1536	0.1438	0.1085	0.1265	0.1102	0.1145	0.1413	0.1215	0.1391	0.1114	0.151	0.1111	0.1531	0.154	0.1062	0.1132	0.1277	0.1096	0.1514	0.1201	0.1192	0.1065	0.1102	0.1228	0.1168	0.1058	0.1453	0.1135	0.1191	0.1528	0.1071	0.1193	0.125	0.1528	0.1576	0.1257	0.1161	0.1506	0.1131	0.0979	0.1127	0.1122	0.1188	0.118	0.1603	0.1048	0.1179	0.1596	0.1135	0.1093	0.1162	0.1454	0.1462	0.1038	0.1472	0.1187	0.1588	0.1477	0.1796	0.1409	0.1068	0.1622	0.1122	0.1173	0.129	0.1585	0.103	0.1459	0.1203	0.1172	0.1143	0.1135	0.117	0.145	0.1554	0.1064
KP0192_AC_SQ12	0.1059	0.1382	0.1105	0.1174	0	0.1167	0.1112	0.1051	0.1124	0.1417	0.1	0.1482	0.102	0.1069	0.107	0.1169	0.1447	0.139	0.1094	0.1208	0.1143	0.1072	0.1319	0.1185	0.1411	0.1071	0.1438	0.0981	0.1469	0.1462	0.0991	0.1208	0.1146	0.1112	0.1464	0.1155	0.1112	0.1091	0.1103	0.1041	0.091	0.097	0.1435	0.1218	0.1209	0.1561	0.107	0.1106	0.1061	0.1491	0.1553	0.1202	0.1034	0.1481	0.1096	0.1121	0.104	0.1146	0.1107	0.1084	0.1474	0.1081	0.1082	0.1503	0.1044	0.0973	0.1143	0.1433	0.141	0.1067	0.1395	0.1063	0.1429	0.1384	0.1671	0.1469	0.1102	0.1481	0.1128	0.1004	0.1172	0.1487	0.1205	0.1467	0.1193	0.1043	0.1119	0.1166	0.1063	0.1429	0.1407	0.1016
KP0203_AC_SQ12	0.111	0.1374	0.1075	0.1161	0.1167	0	0.1156	0.111	0.1159	0.1417	0.104	0.1563	0.1066	0.0951	0.0996	0.1095	0.1441	0.1446	0.1053	0.1134	0.105	0.1083	0.1411	0.1174	0.1339	0.1092	0.1447	0.109	0.1416	0.1508	0.1068	0.1163	0.115	0.1125	0.1491	0.115	0.1157	0.1082	0.1056	0.1098	0.1127	0.1084	0.143	0.123	0.1205	0.1577	0.1241	0.1088	0.1186	0.1481	0.1576	0.1271	0.1012	0.1464	0.1127	0.1041	0.1052	0.1076	0.1109	0.1151	0.1377	0.0996	0.1172	0.1432	0.0957	0.1045	0.1036	0.1499	0.1496	0.1099	0.1453	0.118	0.157	0.1411	0.1655	0.1409	0.1025	0.1514	0.1044	0.1035	0.1144	0.1554	0.1077	0.1464	0.1028	0.101	0.1064	0.1169	0.1094	0.145	0.143	0.1099
KP0207_LM_SQ12	0.1033	0.1318	0.1143	0.1121	0.1112	0.1156	0	0.1223	0.1175	0.1347	0.1182	0.1425	0.1051	0.1064	0.1105	0.1149	0.1429	0.1418	0.113	0.1182	0.1161	0.1046	0.1329	0.1174	0.135	0.1089	0.1436	0.1067	0.1479	0.1441	0.1017	0.1259	0.1196	0.1158	0.1505	0.1182	0.1203	0.1137	0.109	0.1031	0.1035	0.1076	0.1459	0.109	0.1096	0.1546	0.1035	0.1181	0.1198	0.154	0.1602	0.1221	0.117	0.146	0.1113	0.1061	0.1179	0.1152	0.1155	0.1097	0.1441	0.1076	0.1178	0.1502	0.1078	0.1033	0.1123	0.1466	0.137	0.116	0.1358	0.1161	0.1462	0.1401	0.1675	0.1276	0.1011	0.1507	0.12	0.106	0.1222	0.1528	0.1145	0.1433	0.1167	0.1182	0.1223	0.1225	0.1178	0.1498	0.1464	0.1122
KP0249_LM_SQ20	0.1127	0.1404	0.1079	0.1123	0.1051	0.111	0.1223	0	0.1181	0.1409	0.1033	0.1422	0.1089	0.1088	0.1077	0.1091	0.1477	0.1397	0.1089	0.1097	0.1219	0.1024	0.14	0.113	0.1375	0.11	0.1425	0.1088	0.1428	0.1497	0.1082	0.116	0.1258	0.1089	0.1489	0.118	0.1281	0.1107	0.115	0.114	0.1071	0.1024	0.1386	0.1189	0.1251	0.1534	0.1156	0.1184	0.1175	0.1482	0.1573	0.1321	0.1191	0.1504	0.1132	0.1114	0.1039	0.1137	0.115	0.1229	0.1502	0.1095	0.1172	0.1572	0.1133	0.1022	0.1115	0.1566	0.14	0.1196	0.144	0.1221	0.1495	0.1452	0.1729	0.1403	0.1092	0.1502	0.1188	0.1161	0.1227	0.1514	0.1148	0.1454	0.1173	0.1146	0.1071	0.1236	0.1077	0.1414	0.1507	0.1192
KP0252_LM_SQ20	0.115	0.1474	0.1051	0.114	0.1124	0.1159	0.1175	0.1181	0	0.1423	0.1031	0.1501	0.106	0.1093	0.1208	0.1222	0.1453	0.1504	0.1063	0.1178	0.1116	0.1089	0.1446	0.1204	0.1403	0.1156	0.1498	0.1219	0.1473	0.1428	0.1049	0.1212	0.1268	0.1046	0.1469	0.1186	0.1177	0.1023	0.1178	0.1029	0.1102	0.1052	0.1488	0.1204	0.1237	0.157	0.1117	0.1143	0.1148	0.1545	0.1475	0.129	0.1116	0.1566	0.1059	0.113	0.1066	0.1142	0.1092	0.1126	0.1516	0.1007	0.1066	0.1602	0.1061	0.1044	0.1053	0.1479	0.1507	0.1128	0.1391	0.1182	0.1454	0.1468	0.1761	0.1367	0.1053	0.161	0.1114	0.1066	0.1176	0.1532	0.115	0.1497	0.1147	0.113	0.1057	0.1196	0.1162	0.1442	0.145	0.1154
KP0254_LM_SQ20	0.1353	0.1105	0.1314	0.1514	0.1417	0.1417	0.1347	0.1409	0.1423	0	0.1408	0.1069	0.1462	0.1343	0.1431	0.1456	0.1141	0.1093	0.1357	0.1506	0.1499	0.1291	0.1146	0.149	0.1032	0.135	0.1037	0.1403	0.1074	0.1106	0.1361	0.153	0.1494	0.1286	0.1033	0.1497	0.1355	0.1438	0.1396	0.1382	0.1386	0.1298	0.1011	0.1473	0.1455	0.1813	0.1526	0.139	0.1484	0.1031	0.1158	0.1202	0.1409	0.1024	0.141	0.1446	0.14	0.1429	0.1463	0.1491	0.0996	0.1458	0.1453	0.1116	0.1317	0.1373	0.1413	0.1151	0.1144	0.1467	0.1108	0.1432	0.1114	0.094	0.1295	0.0974	0.1376	0.1212	0.1453	0.1446	0.1539	0.0957	0.1513	0.1097	0.1434	0.1293	0.1331	0.1392	0.1375	0.1128	0.1064	0.1402
KP0282_LM_SQ20	0.0981	0.1331	0.1116	0.1083	0.1	0.104	0.1182	0.1033	0.1031	0.1408	0	0.1515	0.1083	0.1059	0.1155	0.1094	0.1383	0.1386	0.1035	0.1165	0.1178	0.1102	0.1308	0.1184	0.129	0.1016	0.1386	0.1031	0.1413	0.1406	0.1042	0.1116	0.1146	0.0975	0.1539	0.1054	0.1074	0.1031	0.111	0.1135	0.0969	0.0987	0.1346	0.1147	0.1142	0.1487	0.1082	0.1041	0.1176	0.1474	0.1449	0.1229	0.1161	0.1531	0.1136	0.1014	0.0999	0.1037	0.099	0.1103	0.1373	0.0962	0.11	0.1507	0.1085	0.1055	0.1005	0.1472	0.1361	0.1096	0.1336	0.111	0.1443	0.1389	0.1654	0.1387	0.101	0.1488	0.1078	0.1111	0.1162	0.1425	0.1118	0.1449	0.1104	0.1057	0.1108	0.1138	0.106	0.1398	0.1416	0.1033
KP0285_LM_SQ20	0.1516	0.1097	0.1371	0.16	0.1482	0.1563	0.1425	0.1422	0.1501	0.1069	0.1515	0	0.1562	0.145	0.1433	0.1583	0.1081	0.0995	0.1374	0.1592	0.1576	0.14	0.1041	0.1569	0.1048	0.1481	0.1048	0.1631	0.1138	0.1109	0.1453	0.1575	0.1542	0.1429	0.1104	0.1569	0.1488	0.1526	0.1322	0.147	0.1322	0.143	0.1167	0.1515	0.1624	0.1876	0.155	0.1444	0.1611	0.1081	0.1209	0.1279	0.1518	0.0984	0.1523	0.1545	0.1423	0.1509	0.1466	0.1521	0.1105	0.1448	0.1411	0.1082	0.1445	0.1364	0.1497	0.1137	0.1247	0.1503	0.1073	0.1547	0.1049	0.0983	0.1328	0.1022	0.1566	0.1133	0.1503	0.1496	0.1603	0.0978	0.1601	0.1122	0.1513	0.1413	0.1497	0.1469	0.1528	0.1139	0.1028	0.1566
