,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0086_LM_SB10,KP0086_LM_SB10,SB10,SB,10-12,1.52694291246615,-1.94540753321677,0.874727847979938,-0.155599001075864
KP0096_AC_SB10,KP0096_AC_SB10,SB10,SB,10-12,-3.21743779428568,0.297187377090601,-1.46383488516205,-0.41601213427637
KP0108_AC_SB10,KP0108_AC_SB10,SB10,SB,10-12,1.29113274350632,0.73531074045215,0.261566818757228,-0.953412975710047
KP0186_AC_SQ12,KP0186_AC_SQ12,SQ12,SQ,10-12,2.03760748952696,-0.570050152116759,0.465191187507663,-0.570781763154572
KP0192_AC_SQ12,KP0192_AC_SQ12,SQ12,SQ,10-12,1.9390326903663,0.482761913491643,-0.547642693132695,1.40081703137036
KP0203_AC_SQ12,KP0203_AC_SQ12,SQ12,SQ,10-12,2.14095761781141,0.605055120367924,-0.662090259426812,0.808447779592744
KP0207_LM_SQ12,KP0207_LM_SQ12,SQ12,SQ,10-12,1.5749021672656,-0.686350944066962,0.43897831913755,-1.70087548886374
KP0249_LM_SQ20,KP0249_LM_SQ20,SQ20,SQ,20,1.78953101409778,-0.297697490875512,1.45443081600052,1.50444965330603
KP0252_LM_SQ20,KP0252_LM_SQ20,SQ20,SQ,20,2.040691148682,1.12279684427578,0.165467727299238,0.871620192480478
KP0254_LM_SQ20,KP0254_LM_SQ20,SQ20,SQ,20,-3.52397077658422,0.487419939541456,1.51811297381431,-1.03483472835619
KP0282_LM_SQ20,KP0282_LM_SQ20,SQ20,SQ,20,1.77415938773559,-0.393644863916813,-1.0965389995455,-0.0229676004292437
KP0285_LM_SQ20,KP0285_LM_SQ20,SQ20,SQ,20,-3.12198798315284,-0.623347678996823,0.955660875567938,-0.284363513997318
KP0290_LM_WP20,KP0290_LM_WP20,WP20,WP,20,2.07023856753193,1.03044945209259,1.23048948466891,0.122916387106737
KP0293_LM_WP20,KP0293_LM_WP20,WP20,WP,20,1.68845637799088,-0.37874587516435,0.250865949341535,0.324374163088129
KP0308_LM_WP20,KP0308_LM_WP20,WP20,WP,20,1.64920274281088,0.204693290469632,-1.12628661231806,0.359921575052383
KP0319_LM_WP20,KP0319_LM_WP20,WP20,WP,20,1.56169851878559,-0.0123853736174436,0.894023575178056,-1.40716200065914
KP0322_LM_WP20,KP0322_LM_WP20,WP20,WP,20,-3.11238155985868,-0.0777126939918167,0.846530178735526,0.0114905733428868
KP0328_LM_WP20,KP0328_LM_WP20,WP20,WP,20,-3.06994868195139,-0.419910648433325,-0.879205324954393,0.324192050984887
KP0341_LM_WP20,KP0341_LM_WP20,WP20,WP,20,1.73100666142258,-0.00953271673219566,-0.901659074253027,0.00843054302429778
KP0348_LM_WP20,KP0348_LM_WP20,WP20,WP,20,1.34960240229901,1.28246916120031,-0.160959911576553,0.315630406935712
KP0350_LM_WP20,KP0350_LM_WP20,WP20,WP,20,1.53055148325824,1.20929353367433,0.74409089883176,1.19825381401388
KP0375_LM_WP20,KP0375_LM_WP20,WP20,WP,20,1.6573365871391,-0.865853557973209,0.879429749313045,-0.221338235268094
KP0377_LM_WP20,KP0377_LM_WP20,WP20,WP,20,-3.45160834884771,0.0681621048111228,-0.393968067005177,1.32724886918915
KP0380_LM_WP20,KP0380_LM_WP20,WP20,WP,20,2.19134035739435,0.319089944015796,0.257333886088895,1.09960925848966
KP0400_LM_WP20,KP0400_LM_WP20,WP20,WP,20,-3.23806819016687,-1.18618573971399,0.54232709654326,-0.142099682375302
KP0459_LM_WP20,KP0459_LM_WP20,WP20,WP,20,1.44475125923156,-0.501606893777874,-0.274909537956241,0.399626390894821
KP0473_LM_WP20,KP0473_LM_WP20,WP20,WP,20,-3.62880902003428,-0.787868282145239,0.11185173606289,-0.516689614326329
KP0482_LM_WP20,KP0482_LM_WP20,WP20,WP,20,1.76167139702504,-0.65629540666044,-0.296023617005883,0.125135213413988
KP0547_LM_WP20,KP0547_LM_WP20,WP20,WP,20,-3.40650299539115,-0.233171153630879,-0.951684874153212,0.316305748898146
KP0548_LM_WP20,KP0548_LM_WP20,WP20,WP,20,-3.4172575239794,1.53284387595092,-0.229834057536125,0.347151705886306
KP0551_LM_WP20,KP0551_LM_WP20,WP20,WP,20,1.90446945152708,0.375637170086354,1.28475700521355,0.193335518894704
KP0558_LM_WP20,KP0558_LM_WP20,WP20,WP,20,1.62328207576295,-1.40560526291212,0.265234350466618,0.314687053582468
KP0570_LM_WP20,KP0570_LM_WP20,WP20,WP,20,1.76923222000116,-1.85073442147687,0.0542639420003601,-1.91769548289733
