,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0046_AC_SB10,KP0046_AC_SB10,SB10,SB,10-12,-0.89563348960443,-1.43871376073871,-1.49342270639319,-0.450761382381139
KP0050_AC_SB10,KP0050_AC_SB10,SB10,SB,10-12,-1.58586613086234,-2.22554411967075,-0.0747516750967138,-0.537308396942197
KP0052_AC_SB10,KP0052_AC_SB10,SB10,SB,10-12,-1.62025733845237,-2.58080037662206,0.584344096913892,0.300593016321083
KP0053_AC_SB10,KP0053_AC_SB10,SB10,SB,10-12,-1.76479880754737,-2.78356507314053,0.702067944979621,0.373801448985862
KP0054_AC_SB10,KP0054_AC_SB10,SB10,SB,10-12,-1.51859922673181,-2.45904367441522,0.796507272049674,0.446098305307937
KP0055_AC_SB10,KP0055_AC_SB10,SB10,SB,10-12,-1.96722485937191,-2.70288302620743,0.748827165779546,0.34816840818986
KP0056_AC_SB10,KP0056_AC_SB10,SB10,SB,10-12,-1.97690946957057,-2.70568492609476,0.79423979555599,0.391449844427105
KP0057_AC_SB10,KP0057_AC_SB10,SB10,SB,10-12,-1.53405776840754,-2.44014248097303,-1.14939726887775,-0.947886324036761
KP0058_AC_SB10,KP0058_AC_SB10,SB10,SB,10-12,-2.02233128206541,-1.81077898831684,-0.12066793593496,0.471815835379791
KP0059_AC_SB10,KP0059_AC_SB10,SB10,SB,10-12,-1.94915168047881,-1.78601026840829,-0.143466231811139,0.482438126880567
KP0060_AC_SB10,KP0060_AC_SB10,SB10,SB,10-12,-1.03753721229555,-1.84980923057843,-0.728727990526104,0.0993137641594039
KP0061_AC_SB10,KP0061_AC_SB10,SB10,SB,10-12,-1.76774053531564,-3.39241556336242,-1.16576315380208,-1.65285430291763
KP0062_AC_SB10,KP0062_AC_SB10,SB10,SB,10-12,-1.93055880588379,-3.27701743751146,-1.13889743777446,-1.59022374379154
KP0063_AC_SB10,KP0063_AC_SB10,SB10,SB,10-12,-2.42549228063301,-3.41232352293508,-1.86603933411322,-6.03634343131704
KP0064_AC_SB10,KP0064_AC_SB10,SB10,SB,10-12,-2.36096984671752,-3.51954627099104,-1.75160538494675,-5.93778426507683
KP0065_AC_SB10,KP0065_AC_SB10,SB10,SB,10-12,-2.41495057461711,-3.55271505892639,-2.00301576332794,-5.9253297904769
KP0069_AC_SB10,KP0069_AC_SB10,SB10,SB,10-12,-1.83515341393055,-3.13088202895149,-1.25484200704282,-4.83863768211865
KP0070_AC_SB10,KP0070_AC_SB10,SB10,SB,10-12,-1.51440716233203,-2.92223908992723,0.378574074416416,-0.0720171438678797
KP0072_AC_SB10,KP0072_AC_SB10,SB10,SB,10-12,-1.70299172538313,-3.02097048532111,0.655113317295222,0.746944570974192
KP0074_AC_SB10,KP0074_AC_SB10,SB10,SB,10-12,-2.35462446370308,-3.50803602556164,-1.86615955168847,-6.050621337491
KP0077_AC_SB10,KP0077_AC_SB10,SB10,SB,10-12,-2.37796477003715,-3.54489095398389,-1.86490490674946,-6.00807220528333
KP0078_AC_SB10,KP0078_AC_SB10,SB10,SB,10-12,-1.60676360837725,-2.66826405533865,0.0167125050386686,1.82526837185681
KP0080_AC_SB10,KP0080_AC_SB10,SB10,SB,10-12,-1.74594871831712,-2.74399570554655,-0.821020986839836,1.7022513769894
KP0081_AC_SB10,KP0081_AC_SB10,SB10,SB,10-12,-1.80429568482352,-2.94921851254651,-0.882113418631832,1.84406091516347
KP0088_AC_SB10,KP0088_AC_SB10,SB10,SB,10-12,-1.93807284444297,-1.82577875468814,-0.126322626813162,0.462617965062383
KP0089_AC_SB10,KP0089_AC_SB10,SB10,SB,10-12,-0.824614866603045,-2.49701779048204,-0.327167969275996,0.447951083282663
KP0095_AC_SB10,KP0095_AC_SB10,SB10,SB,10-12,-1.8425369569351,-2.73976361847393,-0.413002579374859,-0.634646170224419
KP0100_AC_SB10,KP0100_AC_SB10,SB10,SB,10-12,-1.59382802755503,-2.32174511271649,-1.0616138196655,1.40316337575635
KP0101_AC_SB10,KP0101_AC_SB10,SB10,SB,10-12,-1.23011737402614,-2.51178260322908,-0.228075133884787,0.209003516427518
KP0102_AC_SB10,KP0102_AC_SB10,SB10,SB,10-12,-1.90253835513829,-2.5351531283101,0.149817790595387,-0.0586037622778345
KP0103_AC_SB10,KP0103_AC_SB10,SB10,SB,10-12,-1.87706007109472,-2.48868516332792,0.102923841578834,-0.0620844472758995
