,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0046_AC_SB10,KP0046_AC_SB10,SB10,SB,10-12,0.455281948613172,-0.483004011058062,-0.611142427041814,0.721336689316775
KP0050_AC_SB10,KP0050_AC_SB10,SB10,SB,10-12,0.886168661445174,-1.60480419781903,-0.635703626874511,-0.38260990559684
KP0055_AC_SB10,KP0055_AC_SB10,SB10,SB,10-12,0.487231144380165,-0.804753900752528,-1.56328140316099,-0.660847557193104
KP0057_AC_SB10,KP0057_AC_SB10,SB10,SB,10-12,0.499732698156738,-1.98813347667123,-1.16787267832634,-1.03205522849732
KP0058_AC_SB10,KP0058_AC_SB10,SB10,SB,10-12,0.674337238728033,-1.74669379144966,-0.296957951307256,-0.026330376292405
KP0060_AC_SB10,KP0060_AC_SB10,SB10,SB,10-12,0.476685926163456,-1.43792022341379,-0.349792882906353,-0.554173271456948
KP0061_AC_SB10,KP0061_AC_SB10,SB10,SB,10-12,0.938447664630941,-1.85227749528204,-0.666860897652482,-0.552424359794549
KP0072_AC_SB10,KP0072_AC_SB10,SB10,SB,10-12,0.218292170766273,-1.53129718105768,-1.07430602944753,-0.391259342764421
KP0074_AC_SB10,KP0074_AC_SB10,SB10,SB,10-12,0.747111693138587,-1.732509113181,-0.0441323902881348,0.264627335510167
KP0078_AC_SB10,KP0078_AC_SB10,SB10,SB,10-12,0.780645467125136,-1.85881090630487,-1.21725408684417,0.144914547747168
KP0081_AC_SB10,KP0081_AC_SB10,SB10,SB,10-12,0.873726611587794,-1.98175831728246,-1.27155523048196,0.243977842259869
KP0089_AC_SB10,KP0089_AC_SB10,SB10,SB,10-12,0.641861945850257,-1.71919090577563,-0.613578462172448,-1.11389822289572
KP0095_AC_SB10,KP0095_AC_SB10,SB10,SB,10-12,0.846423218821323,-1.46243580522981,-0.328734534035837,-0.418088146924092
KP0100_AC_SB10,KP0100_AC_SB10,SB10,SB,10-12,0.902597214286844,-1.33873788169038,-0.558355529900654,0.514663865327147
KP0101_AC_SB10,KP0101_AC_SB10,SB10,SB,10-12,0.77586136099323,-1.16456461159006,-1.49237343838918,-1.2261597063845
KP0102_AC_SB10,KP0102_AC_SB10,SB10,SB,10-12,0.799280930040031,-1.84134315654955,-0.513905351294808,-1.10953604991502
KP0104_AC_SB10,KP0104_AC_SB10,SB10,SB,10-12,0.155632346158056,-1.64473832000547,-1.04106215341972,-0.41422475262492
KP0109_LM_SB10,KP0109_LM_SB10,SB10,SB,10-12,0.766739603395939,-1.13818292138521,-0.428223860365859,-0.352272302089012
KP0112_AC_SB10,KP0112_AC_SB10,SB10,SB,10-12,1.07937687257941,-1.38521785547571,-1.26894902613101,-0.682360796373361
KP0116_AC_SB10,KP0116_AC_SB10,SB10,SB,10-12,0.207086877899212,-1.92698993207477,-1.26649406001846,-0.874714106217928
KP0120_AC_SB10,KP0120_AC_SB10,SB10,SB,10-12,0.826943404144397,-1.47448099463097,-1.11086930076778,-0.841929517508871
KP0121_AC_SB10,KP0121_AC_SB10,SB10,SB,10-12,0.289172302334344,-1.69121621075947,-0.815260390293392,-0.424378094346864
KP0122_AC_SB10,KP0122_AC_SB10,SB10,SB,10-12,0.514643604400243,-1.85173947721427,-0.892481802923319,-0.357194408268925
KP0123_AC_SB10,KP0123_AC_SB10,SB10,SB,10-12,0.702216997813819,-1.288961914708,-1.01821463082007,-0.366579336244415
KP0125_AC_SB10,KP0125_AC_SB10,SB10,SB,10-12,0.467021249428494,-1.98572535772839,-1.17536035699208,-0.236010941776964
KP0127_AC_SB10,KP0127_AC_SB10,SB10,SB,10-12,0.595569037543261,-1.48554954647496,-0.438530260938141,-1.58635036867171
KP0129_AC_SB10,KP0129_AC_SB10,SB10,SB,10-12,0.444665232280084,-0.898593376261397,-0.434261131609724,-0.325892712772367
KP0131_HU_SB05,KP0131_HU_SB05,SB05,SB,5,1.06767445585759,0.908808985150676,0.65528065562906,0.423340405402981
KP0153_AC_SQ12,KP0153_AC_SQ12,SQ12,SQ,10-12,0.682913972893056,-1.46962859531543,-1.12899067493503,1.04852174943534
KP0158_AC_SQ12,KP0158_AC_SQ12,SQ12,SQ,10-12,0.817144050003681,-1.8581791571242,-0.893890797411814,0.665170125512831
KP0162_AC_SQ12,KP0162_AC_SQ12,SQ12,SQ,10-12,0.880816402203849,-1.27558575375837,-1.3632393794878,2.51968830255466
KP0167_AC_SQ12,KP0167_AC_SQ12,SQ12,SQ,10-12,0.876175412887072,-1.12085102808016,-0.138031171565389,0.996602891930391
KP0168_AC_SQ12,KP0168_AC_SQ12,SQ12,SQ,10-12,0.84916963839228,-1.32423459854339,-0.395802623841699,1.18606937932148
KP0171_AC_SQ12,KP0171_AC_SQ12,SQ12,SQ,10-12,0.956388879340911,-1.842203523724,-1.57662461402529,2.01283459937025
KP0172_AC_SQ12,KP0172_AC_SQ12,SQ12,SQ,10-12,0.343569650743041,-1.21410729132248,-0.710642536031051,0.5847770076855
KP0176_AC_SQ12,KP0176_AC_SQ12,SQ12,SQ,10-12,0.576503738312268,-1.39501512477203,-1.2194155895636,0.311615884980988
KP0181_AC_SQ12,KP0181_AC_SQ12,SQ12,SQ,10-12,0.470875583852226,-1.39184617374532,-0.76247179422405,0.749245650375894
KP0187_AC_SQ12,KP0187_AC_SQ12,SQ12,SQ,10-12,0.933452869998238,-1.23290876375641,-1.35149837227645,2.45955749488179
