,Individual,Species,Population,Loc,Site,Depth,PC1,PC2,PC3,PC4,PC5,PC6
KP0046_AC_SB10,KP0046_AC_SB10,AA,AC_SB10,SB,SB10,10-12,2.17060438994831,-1.86395599033553,-0.15008436096949,-0.00149288116033188,0.0334570836860731,0.638219588824364
KP0049_HU_SB10,KP0049_HU_SB10,AH,HU_SB10,SB,SB10,10-12,0.324348011165102,7.09107341845713,0.044718326662926,1.92421660141497,0.115144662579082,-0.153534110813933
KP0050_AC_SB10,KP0050_AC_SB10,AA,AC_SB10,SB,SB10,10-12,2.20806899076137,-1.79965280115441,-0.200232705451842,-0.0750992180631933,0.0594516864408777,0.847304130375201
KP0055_AC_SB10,KP0055_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.53720916864701,-2.45217906264477,-0.535091393233188,-0.00229682282738132,-0.0462915072691097,0.191593301667457
KP0057_AC_SB10,KP0057_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.49907842325923,-2.51092882761081,-0.442825633485272,-0.00695526448274075,-0.0538097737191421,0.78802182921976
KP0058_AC_SB10,KP0058_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.46164919906647,-2.38900753220108,-0.560874160857093,-0.0397871882995244,0.0357879392584292,0.746486692581023
KP0060_AC_SB10,KP0060_AC_SB10,AA,AC_SB10,SB,SB10,10-12,2.14797864862513,-1.83477531263865,-0.196646302123281,0.00973831087866204,0.0325717981712836,0.405382667790444
KP0061_AC_SB10,KP0061_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.4956531645295,-2.51220017774301,-0.498630643029695,0.0107483253595151,-0.0434250179799278,1.03657474229511
KP0072_AC_SB10,KP0072_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.50291235070739,-2.48045181736159,-0.348484140742313,0.00965255249379546,0.0460869252982807,0.418708952434991
KP0073_HU_SB10,KP0073_HU_SB10,AH,HU_SB10,SB,SB10,10-12,0.0118408016666847,6.85269472075838,0.139161711561526,0.273927139702645,0.0777934696765519,-0.0248038360145577
KP0074_AC_SB10,KP0074_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.48080238563886,-2.49092249477769,-0.629960457988075,-0.00251919500045427,0.0112866494150821,1.39126431827138
KP0078_AC_SB10,KP0078_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.14139225188157,-1.72651072331603,-0.289989047168313,-0.0186409581443833,0.0210988003591433,-0.0120776821185843
KP0081_AC_SB10,KP0081_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.52850950812258,-2.4044593323358,-0.266975110685551,-0.00912827878140649,0.0270647357703808,0.0458015393105659
KP0084_AC_SB10,KP0084_AC_SB10,AA,AC_SB10,SB,SB10,10-12,0.214278737779349,7.74704621592891,0.0887218369077648,-2.88072025623727,-0.105881073760974,0.00873108941755142
KP0086_LM_SB10,KP0086_LM_SB10,AL,LM_SB10,SB,SB10,10-12,-11.3259773179849,-2.00787382884302,-0.0237582495411843,0.0681718691466216,-1.14204309843594,-0.00682471742486721
KP0089_AC_SB10,KP0089_AC_SB10,AA,AC_SB10,SB,SB10,10-12,2.78908449749682,-1.93313462652018,-0.441534048463578,-0.0811570195115519,0.17952457946947,0.695094873853778
KP0090_AC_SB10,KP0090_AC_SB10,AA,AC_SB10,SB,SB10,10-12,0.295278196221486,7.92087807760244,-0.0713256637006763,1.02183274264587,0.173181011061149,0.108737168892187
KP0091_AC_SB10,KP0091_AC_SB10,AA,AC_SB10,SB,SB10,10-12,0.180810529948846,7.63251633352052,0.158027043779743,-2.71914260234535,-0.1441368603739,0.058026654915303
KP0093_AC_SB10,KP0093_AC_SB10,AA,AC_SB10,SB,SB10,10-12,0.31508494835008,8.21524275601847,-0.0703915846121656,1.12888780672952,0.126313850005349,-0.0380752161149755
KP0095_AC_SB10,KP0095_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.14679313708415,-2.38057336091152,-0.734621631526963,-0.0190072678419831,-0.0171255073644066,0.433820013472198
KP0096_AC_SB10,KP0096_AC_SB10,AL,AC_SB10,SB,SB10,10-12,-10.945643249756,-1.98739953835462,-0.107814940667169,-0.0212977994837534,1.76067535177572,0.105012062165018
KP0099_AC_SB10,KP0099_AC_SB10,AA,AC_SB10,SB,SB10,10-12,0.483422516043591,7.6579100366107,-0.123722596008567,1.49068415633331,0.0450947955160994,-0.110771306183518
KP0100_AC_SB10,KP0100_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.43393674492928,-2.44265620507407,-0.0350122320254785,0.0311987729900143,-0.0500794077085593,0.638789126379168
KP0101_AC_SB10,KP0101_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.44131263847487,-2.38173872372536,-0.474511119282005,-0.0135403149067424,-0.0384667649303857,0.717583415339107
KP0102_AC_SB10,KP0102_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.55039614693188,-2.45312344106341,-0.430513270483822,0.0121070940005637,0.0393322262789267,0.521062276773599
KP0104_AC_SB10,KP0104_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.20860345704022,-2.35110155510616,-0.542850473544125,-0.0372313821757377,0.0144129624699471,0.671198791491391
KP0108_AC_SB10,KP0108_AC_SB10,AL,AC_SB10,SB,SB10,10-12,-10.6290197675222,-1.76558757761239,0.0687179981394989,-0.0410834800408249,-0.854191842678474,-0.0067072125351265
KP0109_LM_SB10,KP0109_LM_SB10,AA,LM_SB10,SB,SB10,10-12,2.66644059514755,-2.05844351449694,-0.509857155687107,-0.0602272510885854,0.0838569522920918,0.790373806770825
KP0111_AC_SB10,KP0111_AC_SB10,AA,AC_SB10,SB,SB10,10-12,0.376833800006024,8.51367519603706,-0.0991228218068832,1.59693021819729,-0.0463834228721741,-0.0538780047736953
KP0112_AC_SB10,KP0112_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.55123921915476,-2.54951222915972,-0.522472203181434,0.0137573898833818,0.0515736384797048,0.716182048523758
KP0116_AC_SB10,KP0116_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.18267508660625,-2.26440461528484,0.183100270176901,-0.00908854287671909,0.0328316302316399,1.10662692893212
KP0120_AC_SB10,KP0120_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.40502578983224,-2.43076098566709,-0.487471441057111,0.00191485993821514,-0.0429404426227507,0.527741612715639
KP0121_AC_SB10,KP0121_AC_SB10,AA,AC_SB10,SB,SB10,10-12,2.99751386662046,-2.21497307732191,-0.393323891546357,0.00945862966455005,-0.0689502890955556,1.06062581430959
KP0122_AC_SB10,KP0122_AC_SB10,AA,AC_SB10,SB,SB10,10-12,2.72826197473199,-2.14325135549082,-0.46010280580091,-0.0167115932709417,0.0559305436233078,0.16145805599684
KP0123_AC_SB10,KP0123_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.30662586656573,-2.4514785568412,-0.231092691436005,0.000673880274622364,-0.0608760884313904,0.85436970544671
KP0125_AC_SB10,KP0125_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.17850828945714,-2.34023227875683,-0.27524080546,0.0368889843348,-0.0846339983797345,0.671153174040311
KP0127_AC_SB10,KP0127_AC_SB10,AA,AC_SB10,SB,SB10,10-12,3.21425545273968,-2.39821467278375,-0.591435967244831,0.0356619913969475,0.0663050979029284,0.391400786310656
KP0129_AC_SB10,KP0129_AC_SB10,AA,AC_SB10,SB,SB10,10-12,2.46495147860215,-2.15345311876202,-0.425476990096825,0.147318853476405,-0.0422732613448884,0.243439859889646
KP0130_AC_SB05,KP0130_AC_SB05,AA,AC_SB05,SB,SB05,5,0.278465064494502,7.65783307228708,-0.017246282058178,-2.95953422254043,-0.0735402204804147,-0.0751589446479787
KP0131_HU_SB05,KP0131_HU_SB05,AH,HU_SB05,SB,SB05,5,2.94989507054194,-2.16998452235666,-0.207271715817106,-0.0199085171759262,-0.113666128669014,-0.491094224957525
KP0132_HU_SB05,KP0132_HU_SB05,AH,HU_SB05,SB,SB05,5,0.0968836833268449,7.6263942344371,0.138023324606832,-2.33099972479749,-0.211773483821413,-0.0235407928809992
KP0134_HU_SB05,KP0134_HU_SB05,AH,HU_SB05,SB,SB05,5,0.373327778827805,7.59288201454373,0.184113000837467,1.16477935578125,0.07502787035254,0.00629111994405471
KP0135_HU_SB05,KP0135_HU_SB05,AH,HU_SB05,SB,SB05,5,0.305691354168714,7.76600753204546,0.0724806831468725,-3.01948109320976,-0.066267388851041,-0.00643540411610432
KP0138_HU_SB05,KP0138_HU_SB05,AH,HU_SB05,SB,SB05,5,0.321180507063164,7.84302736448544,-0.0146248907041522,-0.65982830656438,-0.0259442782686337,0.150053676570213
KP0140_HU_SB05,KP0140_HU_SB05,AH,HU_SB05,SB,SB05,5,0.211108585971276,7.60828336809997,0.129104016556722,-2.88559701041245,-0.122975938747031,0.057867199087824
KP0142_HU_SB05,KP0142_HU_SB05,AH,HU_SB05,SB,SB05,5,0.237405134812383,7.86626766659133,0.088236283968105,-2.74418639346694,-0.12404370071565,-0.0606441272254449
KP0143_HU_SB05,KP0143_HU_SB05,AH,HU_SB05,SB,SB05,5,0.242527628130898,8.05128503324205,0.0105086425671372,-0.927193369379556,-0.0344667090309884,0.195165366823066
