,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0049_HU_SB10,KP0049_HU_SB10,SB10,SB,10-12,-3.90685651845658,0.642203296933258,2.03082629022871,-1.45620563574715
KP0073_HU_SB10,KP0073_HU_SB10,SB10,SB,10-12,-3.00750630405798,0.928923183706477,1.85270114770814,-1.8934925386726
KP0075_HU_SB10,KP0075_HU_SB10,SB10,SB,10-12,-4.559670536168,0.30526808793834,0.113708628609381,-2.92911533459488
KP0084_AC_SB10,KP0084_AC_SB10,SB10,SB,10-12,14.5461055712613,-2.44047371826189,-0.186790634850028,-0.11413843461287
KP0090_AC_SB10,KP0090_AC_SB10,SB10,SB,10-12,-3.64669389848197,1.44179281600101,1.3717574616334,-2.6070495202652
KP0091_AC_SB10,KP0091_AC_SB10,SB10,SB,10-12,14.512459394525,-2.89854648882997,-0.310891464864902,0.200583047825051
KP0092_AC_SB10,KP0092_AC_SB10,SB10,SB,10-12,-5.8512736127455,-2.70315194549008,1.48056228743581,-4.8907900066708
KP0093_AC_SB10,KP0093_AC_SB10,SB10,SB,10-12,-4.99906772216559,-0.527809264393878,0.121574323845683,-3.03006602788465
KP0098_AC_SB10,KP0098_AC_SB10,SB10,SB,10-12,-7.43868861666746,-3.73406019249009,-1.2012602830245,-8.06645842219566
KP0099_AC_SB10,KP0099_AC_SB10,SB10,SB,10-12,-6.51159854995041,-3.06924292072858,-1.36434815123722,-3.50823997346259
KP0110_AC_SB10,KP0110_AC_SB10,SB10,SB,10-12,-7.15114010265066,-3.59016797637702,-1.330625861164,-7.87732408138519
KP0111_AC_SB10,KP0111_AC_SB10,SB10,SB,10-12,-7.51793002806277,-3.75050477291083,-1.25716498549661,-8.09714594847551
KP0130_AC_SB05,KP0130_AC_SB05,SB05,SB,5,14.4926192120438,-2.34306353609516,0.209505560891379,0.0119869435157384
KP0132_HU_SB05,KP0132_HU_SB05,SB05,SB,5,14.0745355172335,-2.66484181089157,0.0942718153597969,-0.0133112371577932
KP0134_HU_SB05,KP0134_HU_SB05,SB05,SB,5,-5.92448014164078,-2.90138039678358,1.2005285473663,-4.69796658650796
KP0135_HU_SB05,KP0135_HU_SB05,SB05,SB,5,14.3360464444045,-2.4324573428329,0.643334132043608,0.411288314412512
KP0137_HU_SB05,KP0137_HU_SB05,SB05,SB,5,1.92577934049245,9.96533716201249,0.130030614467451,-2.04434392673213
KP0138_HU_SB05,KP0138_HU_SB05,SB05,SB,5,2.18402211649177,10.2984238139963,-0.0695825402197086,-2.31298588056752
KP0139_HU_SB05,KP0139_HU_SB05,SB05,SB,5,15.3697493331366,-3.55119599344105,-0.944895115303047,-0.556540676772795
KP0140_HU_SB05,KP0140_HU_SB05,SB05,SB,5,15.0261383098991,-3.64399165900427,-1.04207778280724,-0.371227106490453
KP0141_HU_SB05,KP0141_HU_SB05,SB05,SB,5,13.0964219027352,-3.02907930237329,-1.10422933095086,-0.54418884242763
KP0142_HU_SB05,KP0142_HU_SB05,SB05,SB,5,13.9547390697704,-2.44561402285259,0.197975355559,0.0118147033790498
KP0143_HU_SB05,KP0143_HU_SB05,SB05,SB,5,1.54775619821288,8.5594397926505,-1.04789086278963,0.0533273254948249
KP0145_HU_SB05,KP0145_HU_SB05,SB05,SB,5,13.6522745021213,-2.14397566080194,-0.0721907744074727,0.0546565662238705
KP0146_HU_SB05,KP0146_HU_SB05,SB05,SB,5,14.2847903920111,-2.93189664030635,0.472403354678926,-0.190489898503364
KP0147_HU_SB05,KP0147_HU_SB05,SB05,SB,5,14.8143780951042,-2.71588356641382,0.245454471564916,0.156211909339699
KP0148_HU_SB05,KP0148_HU_SB05,SB05,SB,5,13.5163068272155,-2.03964463581622,0.134588239777527,-0.173792519777755
KP0149_HU_SB05,KP0149_HU_SB05,SB05,SB,5,14.2460600612094,-2.75457382011189,0.247059378786483,0.321297868869159
KP0159_AC_SQ12,KP0159_AC_SQ12,SQ12,SQ,10-12,-7.47447194242143,-3.22495287673343,-0.529665570532183,-5.02804989283445
KP0183_AC_SQ12,KP0183_AC_SQ12,SQ12,SQ,10-12,-7.49836992060031,-3.33054391131898,-0.361159714000799,-5.37973867135479
KP0184_AC_SQ12,KP0184_AC_SQ12,SQ12,SQ,10-12,-7.43032340835585,-3.30240616584899,-0.510207329380623,-5.61319283485163
