Individual,Site,Loc,Depth,x,y,z
KP0613_LM_SB20,SB20,SB,20,31512.5781215569,-44.278938496246,-20.1521381939976
KP0614_LM_SB20,SB20,SB,20,31511.1853827687,-44.5549238941438,-20.3033459523516
KP0615_AC_SB20,SB20,SB,20,31511.9478567471,-45.0992887996852,-20.1707811030236
KP0616_LM_SB20,SB20,SB,20,31510.8078337817,-44.1668086201622,-20.3968949706113
KP0617_LM_SB20,SB20,SB,20,31511.5969598447,-45.3341097896297,-20.1751901819878
KP0618_LM_SB20,SB20,SB,20,31510.3503403988,-43.8404358316774,-19.7874258948923
KP0619_AC_SB20,SB20,SB,20,31511.3720977038,-45.1804988488453,-20.1283665678341
KP0620_LM_SB20,SB20,SB,20,31510.2235087313,-43.7215361701246,-19.9526575207502
KP0621_LM_SB20,SB20,SB,20,31511.2224874885,-44.943792819757,-20.2254428558716
KP0622_AC_SB20_X,SB20,SB,20,31509.9914098865,-43.9602553638374,-19.6415586519307
KP0623_LM_SB20,SB20,SB,20,31510.7621052189,-45.44,-20.3092282697706
KP0624_AC_SB20,SB20,SB,20,31510.0815953514,-43.4307852932448,-19.6679762215193
KP0625_AC_SB20_X,SB20,SB,20,31510.5966232317,-44.8177907051043,-19.732851654995
KP0626_AC_SB20,SB20,SB,20,31510.021413713,-43.2900010900822,-19.6452755625441
KP0627_AC_SB20_X,SB20,SB,20,31509.9940458737,-44.2613154585271,-19.6394079742694
KP0628_AC_SB20,SB20,SB,20,31509.8181325165,-43.1405166110514,-19.7123298476963
KP0629_LM_SB20,SB20,SB,20,31509.505091995,-43.9978605017077,-19.6116049727688
KP0630_AC_SB20,SB20,SB,20,31509.7529627743,-43.5320614765705,-19.6199112724963
KP0631_LM_SB20,SB20,SB,20,31509.2485462175,-44.4381029283517,-19.9498030882703
KP0632_AC_SB20,SB20,SB,20,31509.890112107,-43.2299875346816,-19.5737914250483
KP0633_AC_SB20,SB20,SB,20,31518.5584942797,-41.8430592563677,-19.972018754345
KP0634_LM_SB20_X,SB20,SB,20,31509,-43.5090001405808,-19.8510007676895
KP0635_AC_SB20,SB20,SB,20,31518.4702987693,-42.5121913203631,-20.1240966356492
KP0636_AC_SB20,SB20,SB,20,31518.7271650686,-41.3817061372218,-19.8235408374771
KP0637_LM_SB20,SB20,SB,20,31517.6921050969,-43.0279930823006,-20.2166969345577
KP0638_AC_SB20,SB20,SB,20,31518.4158304928,-41.3062897682205,-20.1043192937864
KP0639_LM_SB20,SB20,SB,20,31517.37430119,-42.9815978622868,-20.1239432154391
KP0640_AC_SB20,SB20,SB,20,31518.6238038574,-41.0295381043684,-20.295971636949
KP0641_LM_SB20,SB20,SB,20,31517.294155937,-43.2545800024156,-20.2209910830111
KP0642_AC_SB20,SB20,SB,20,31518.1421221543,-41.3434592192267,-20.0971977561925
KP0643_AC_SB20,SB20,SB,20,31517.1019714615,-43.6408646732013,-20.1655451473629
KP0644_AC_SB20,SB20,SB,20,31518.0256895597,-41.5561721853745,-20.2422863010747
KP0645_AC_SB20_X,SB20,SB,20,31515.6167662826,-43.4483173225498,-19.7311189201105
KP0646_AC_SB20,SB20,SB,20,31517.8428906665,-41.7788578367447,-20.0604893561319
