,x,y,z
KP0163_AC_SQ12_X,2.720999801070599,-10.462793778157897,-0.08241345781224056
KP0170_AC_SQ12_X_SP,2.5240688190040728,-10.752635286548363,-0.07615655789407261
KP0166_AC_SQ12_X,2.6522805410588193,-10.916597434801877,-0.08398162918923754
KP0179_AC_SQ12,3.5503909677293564,-10.842415515323635,-0.16914653548179426
KP0180_AC_SQ12,3.543059967193506,-10.801113567349601,-0.28392149209310125
KP0181_AC_SQ12_X,3.4436494873839467,-10.815399622109732,0.047750353006317574
KP0182_AC_SQ12_X,3.4313325034294677,-10.830649553061496,-0.003368164865462445
KP0183_AC_SQ12_X,3.2716859810740644,-10.922091905977803,-0.11757077065916668
KP0184_AC_SQ12_X,3.3036791051611556,-10.928023290416563,-0.0877974670341394
KP0185_AC_SQ12_X,3.2833714072747138,-10.829705788699052,-0.24076700110409563
KP0186_LM_SQ12,3.4172046324734113,-10.770223023594585,-0.41294549989022783
KP0187_AC_SQ12,2.986988590668828,-10.330262898663237,0.052874271448439626
KP0188_AC_SQ12,2.8734829028998394,-10.288492106013628,-0.026629881449286078
KP0189_AC_SQ12,2.2684422813154645,-4.162433096457681,-1.0610133848991103
KP0190_AC_SQ12,2.6184597174597424,-4.140056483119716,-1.2200833966544509
KP0192_AC_SQ12,0.600751962399659,0.3869277881243792,-1.940700404383121
KP0191_AC_SQ12_X,0.14402025065207646,2.618376788777755,-1.9278932703002336
KP0194_AC_SQ12,0.32899272814969155,-1.1969043653036722,-1.3199904362102426
KP0193_AC_SQ12_X,0.44450700105462215,-1.2787447599216537,-1.4334647739364232
KP0195_AC_SQ12,0.456758961143457,-1.259090978715397,-1.3169111278557595
KP0196_AC_SQ12,0.25445674801364265,-1.216744472533772,-1.107612888641875
KP0197_AC_SQ12_X,0.3606887152709905,-1.3640609796732184,-0.9980223020833269
KP0198_AC_SQ12,0.3494292244663106,-1.4584177806782932,-0.8898504482121933
KP0199_AC_SQ12,-0.007033688447814603,-1.3461326639253508,-1.0925583067874005
KP0200_AC_SQ12,0.008847528740232211,-1.4606888254864006,-0.9782779540459396
KP0201_AC_SQ12,0.12634165623755103,-1.4069938360308438,-0.7933989354554736
KP0202_AC_SQ12,0.45917237036022895,-1.6443980094929023,-1.3514910843192478
KP0203_AC_SQ12,0.3548229251928518,-2.1386332773666297,-1.3674702722984329
KP0204_AC_SQ12,0.6833184256135888,-1.6246834589451749,-1.1691347281605167
KP0205_AC_SQ12,0.8233815153076941,-1.6010782985216792,-1.3280614283382397
KP0206_AC_SQ12,1.4520371621093717,1.1323929873813763,-1.7784126599501753
KP0207_LM_SQ12,1.497834348775485,1.7743853440977768,-1.7840658758390833
KP0208_AC_SQ12,1.0332715954715475,2.117798086048409,-1.7965853518161072
KP0209_AC_SQ12,1.4348338533657405,2.6409212463511422,-1.787489284719839
KP0210_AC_SQ12,-0.8938053063114246,3.9563967896387373,-1.60973180530538
KP0211_AC_SQ12,0.49178800416201995,6.626075605735553,-1.739275002588427
KP0150_AC_SQ12,2.6234288733903504,-11.047997753813144,0.13781989508794
KP0151_AC_SQ12,2.620644867048439,-11.117030075225937,0.13443986460199883
KP0153_AC_SQ12,1.8181745578503632,-12.912046095645627,0.13702047278527107
KP0154_AC_SQ12,2.5026107336787313,-7.704135212308085,-0.6117813160125979
KP0152_AC_SQ12,2.5373326985126874,-11.147607076661611,0.21994343867262778
KP0155_AC_SQ12,2.6413566293188437,-7.630302421510829,-0.6626237147569664
KP0156_AC_SQ12,2.8158751556182837,-7.640709942394723,-0.7837089815599884
KP0157_AC_SQ12,2.380176149278996,-7.701589459702103,-0.6480193896255202
KP0158_AC_SQ12,2.450400362472838,-7.921251897458569,-0.6266750183950863
KP0159_AC_SQ12_X,2.616966875686993,-9.809259333082691,0.07475804495121982
KP0160_AC_SQ12_X,2.796714517358939,-10.24500013267709,0.0901541540966432
KP0161_AC_SQ12,2.7431232265463965,-10.242268715364862,0.13209738952251635
KP0162_AC_SQ12,2.767058041046702,-10.326721842850445,0.24486973767642087
KP0164_AC_SQ12,2.440149387929982,-10.535510203872324,0.05523945448283518
KP0165_AC_SQ12,2.3395091063500115,-10.639837425980804,0.016159329123208187
KP0171_AC_SQ12_X,2.64364325865247,-11.07697268545799,0.10673508661167318
KP0166_AC_SQ12_X_SH,2.545847823480395,-10.628796039365906,-0.08152160039880352
KP0167_AC_SQ12,2.166947893395257,-10.763362087558912,0.1020885793036448
KP0169_AC_SQ12_X,2.197837113771614,-10.927841770615249,-0.15597489231276268
KP0170_AC_SQ12_X,2.6722456331705104,-11.10924303862455,0.052487836991333296
KP0172_AC_SQ12,3.3900809713419746,-11.032116984118556,-0.02481057820414986
KP0173_AC_SQ12,3.4824676246611097,-11.001051012323167,0.018886963269801764
KP0174_AC_SQ12,3.5606768358012206,-11.029164844567497,-0.024539481598703474
KP0175_AC_SQ12,3.6457737473724174,-11.046717373355365,-0.111313692727184
KP0176_AC_SQ12,3.571666457305813,-10.951177755507834,3.087649398268775e-05
KP0177_AC_SQ12,3.72731407527784,-10.960575751541457,-0.051972140836881
KP0178_AC_SQ12,3.7499073601139936,-10.92486558607249,-0.25547781999252056
KP0168_AC_SQ12_X,2.1581534569549046,-10.747271505286767,0.054392526391490725
