,x,y,z
KP0046_AC_SB10_X,0.011212506093706193,0.8496178560184446,-1.8767419906271234
KP0047_AC_SB10_X,0.08324603756216814,0.8183004034731067,-1.6350245080047443
KP0048_AC_SB10_X,0.0760955409159982,0.8096568690453816,-1.6435506724499154
KP0049_HU_SB10_X,0.20208458981732902,-1.1367731938948622,-1.8781179483954114
KP0050_AC_SB10_X,1.5231961355011645,2.8862460263505563,-2.1499575423112645
KP0051_AC_SB10,0.11988580310649724,7.745349344059231,-1.6901918335770154
KP0052_AC_SB10,0.07869823307513768,7.891295058922642,-1.8295896466879822
KP0053_AC_SB10,-0.14340144932569876,7.801318885159048,-1.7492301487135173
KP0054_AC_SB10,-0.1801296235842314,7.672112651085707,-1.6810403872843882
KP0055_AC_SB10_X,-0.2722778691030169,7.623271243892798,-1.8014263480256032
KP0056_AC_SB10,-0.2363417323673504,7.776635501882231,-1.8558658898734854
KP0057_AC_SB10,-0.3915305579198032,7.820769108954322,-1.8859616711268776
KP0058_AC_SB10,0.10540071368109627,6.9197878623919715,-1.5963557170366829
KP0059_AC_SB10,0.07864515803124891,6.880268181451936,-1.8063971563979468
KP0060_AC_SB10_X,-0.08722558155215185,6.812385413265831,-1.7226213397679988
KP0061_AC_SB10,-0.44786937485303757,6.667625750004045,-1.5760917788488182
KP0062_AC_SB10,-0.5470370995263003,6.644208263312433,-1.6688090636682398
KP0063_AC_SB10_X,0.3985693619024027,5.83238808430543,-1.6608620497945503
KP0064_AC_SB10,0.5259313075636866,5.705484722492518,-1.618226342967785
KP0065_AC_SB10,0.6187438600513223,5.424492132487,-1.7281937112905716
KP0066_AC_SB10,0.5277520521851945,5.289201499163458,-1.936685186261754
KP0067_LM_SB10,0.7198598329924256,5.220008323747227,-1.8089642212318477
KP0068_AC_SB10,0.8375155604432711,5.448769389538881,-1.9164812310510007
KP0069_AC_SB10,0.774647543974711,5.701294741743273,-1.8089084192296798
KP0070_AC_SB10,1.1442187941771453,5.437960083943537,-2.2136062421693046
KP0071_AC_SB10,1.3854990888627547,5.5511974489792495,-2.0485918011167326
KP0072_AC_SB10,1.2758715692476272,5.680382944553738,-1.8743241922669884
KP0073_HU_SB10,1.383909609189552,6.021341198116517,-1.5677585213945238
KP0074_AC_SB10,0.7346572577638106,5.982467062201887,-1.6158841926358987
KP0075_HU_SB10_X,1.0613876579997858,6.227221456592797,-1.3987109405229918
KP0076_AC_SB10,0.7243796690010775,6.081686200169719,-1.7083275981621813
KP0077_AC_SB10,0.6518739660719218,6.109613960950521,-1.6227079838822285
KP0078_AC_SB10,0.9609099346785015,6.277954191222831,-1.4966552058126434
KP0079_LM_SB10,0.7810748926968872,6.41240624617926,-1.4285815658109688
KP0080_AC_SB10_X,0.8981533515192103,6.4778586332523345,-1.405127641229292
KP0081_AC_SB10_X,0.8649825716858159,6.77247158169681,-1.2353150327721039
KP0082_AC_SB10,0.8326518317026335,6.963929166812621,-1.3399200865447063
KP0083_AC_SB10,0.6922549143478478,6.999038088509,-1.419812547951508
KP0084_AC_SB10,0.678284132339256,6.9442016481186135,-1.57722407142126
KP0085_AC_SB10,0.5932232268814119,6.700377310298163,-1.5778867408747632
KP0086_LM_SB10,0.4571086048970112,6.702683614376517,-1.6212712591549974
KP0087_AC_SB10,0.5243319159666607,7.004947024283396,-1.6198458595286584
KP0088_AC_SB10,0.16243199200247493,6.944036076933901,-1.5218995561164785
KP0089_AC_SB10,0.8167381074473027,7.473139007762133,-1.4077553180000943
KP0090_AC_SB10,0.6350255923581123,7.385231885039039,-1.488274964582845
