,x,y,z,p
KP0950_AC_WP05,2.047172598573164,-11.32610829762727,-0.05773364793578778,1.0
KP0952_HU_WP05,1.6559981892685813,-11.849843784692462,0.06061219789285986,1.0
KP0954_HU_WP05,1.6072794497670688,-11.912652917321319,0.13842121688660883,1.0
KP0955_HU_WP05,1.6324327042920894,-11.932742080025864,0.15692949811043827,1.0
KP0956_HU_WP05,1.643282292786919,-11.998114776600113,0.19392377913546302,1.0
KP0957_HU_WP05,1.557958401414185,-11.932539276527551,0.13287289186999837,1.0
KP0958_HU_WP05,1.6989612468354978,-12.080062578548219,0.1767445689768136,1.0
KP0959_HU_WP05,1.825619489736379,-12.287757147778178,0.07529667267709078,1.0
KP0960_HU_WP05,2.0279269994817066,-12.290615115360424,0.08213205244107481,1.0
KP0961_HU_WP05,1.6191121146164773,-12.635717037999322,-0.04626208476934379,1.0
KP0962_AC_WP05,1.5622033229851602,-12.636254407125573,0.0035423355941829777,1.0
KP0963_HU_WP05,2.0197401597760933,-12.978732541846298,-0.14506152404701597,1.0
KP0964_HU_WP05,2.292414158235432,-11.701714078298377,0.009397244442835321,1.0
KP0965_AC_WP05,2.3429409086344504,-11.482439496478301,0.0026366489489464953,1.0
KP0966_AC_WP05,2.5098432171216745,-11.508284464624044,-0.10094028117673627,1.0
KP0967_AC_WP05_X,2.150404286249316,-9.580557483214283,-0.24903288382302366,1.0
KP0968_HU_WP05,1.8525189765007017,-9.057124498328328,-0.2947138376243412,1.0
KP0969_HU_WP05,0.3140667409130136,-7.331597354948382,-0.35834606790855045,1.0
KP0970_HU_WP05,0.9355912973249574,-8.36351141505695,-0.32166572784696407,1.0
KP0971_HU_WP05,0.7850436843067754,-8.365291233999347,-0.26743187242443744,1.0
KP0972_HU_WP05,0.7603018670483828,-8.610801741783717,-0.28809326481424863,1.0
KP0973_HU_WP05,0.7096653093100551,-6.329924787165978,-0.4581470023349159,1.0
KP0974_AC_WP05,-0.12305244812582455,-3.6615000718494226,-0.08060479526851462,1.0
KP0975_AC_WP05,-0.46875136558957964,-3.8124558235354695,-0.27301063994996205,1.0
KP0976_AC_WP05,-0.463658643733482,-4.03041633948062,-0.29292584428920826,1.0
KP0977_AC_WP05,-0.3910306060820764,-3.9269939882485847,-0.24766375724138218,1.0
KP0978_AC_WP05,0.7944934903086263,-0.8741940935779574,-0.5239080935537969,1.0
KP0979_HU_WP05,-1.9961749599069234,5.374819468253019,-0.10368229439408147,1.0
KP0980_HU_WP05,-1.1375654509782276,2.819052171497758,-0.10328366015658882,1.0
KP0981_AC_WP05,-0.9510348454689289,2.8146792235179596,-0.20298453219795945,1.0
KP0982_AC_WP05,-0.713167446049012,3.4308194078208007,-0.2608415991926356,1.0
KP0983_AC_WP05,-1.3910597511360554,6.308516702503486,-0.03609125296922983,1.0
KP0984_HU_WP05,-1.4424103475391528,6.60337949128304,-0.07779814930871407,1.0
KP0985_HU_WP05,-1.4533337869645053,6.629194445645147,-0.1796415221176997,1.0
KP0986_HU_WP05,-0.9878768270251552,8.479949918414373,-0.23998802922244047,1.0
KP0987_HU_WP05,-0.8111050290945014,9.608383291133169,-0.2147262167859316,1.0
KP0988_AC_WP05,0.2905658760581894,-3.7054693725625807,-0.13148143756248956,1.0
KP0989_AC_WP05,0.7534310957167492,-1.2453330896219308,-0.43953866453811374,1.0
