,x,y,z,p
KP0130_AC_SB05,-2.691259118872721,-3.0729657519695746,-1.6370181661582603,1.0
KP0131_HU_SB05_X,-3.6826829404288066,-6.233376398364335,-1.2221174439310765,1.0
KP0132_HU_SB05,-2.331633504845249,-5.654188264219576,-1.500672351591381,1.0
KP0133_HU_SB05,-2.2325644390202504,-5.7062464233665935,-1.652458925417169,1.0
KP0134_HU_SB05,-2.2284961025219285,-5.6645005133129,-1.7830772753438306,1.0
KP0135_HU_SB05,2.0461582482792546,4.96146065922053,-1.5964995639483315,1.0
KP0136_HU_SB05_X,-0.23012629351911038,1.8114751636678552,-1.5961267677597282,1.0
KP0137_HU_SB05,3.935666338855458,6.933297622436559,-1.7244344360611505,1.0
KP0138_HU_SB05,3.9541379426597554,6.85696995382085,-1.739264325741916,1.0
KP0139_HU_SB05,4.079710334837797,6.246670363384002,-1.7602332220326962,1.0
KP0140_HU_SB05,4.104878237677044,6.309878753625246,-1.775548543402641,1.0
KP0141_HU_SB05_X,4.099489712938818,6.360715759275421,-1.7804521286328479,1.0
KP0142_HU_SB05_X,5.373278569147448,7.636650761594838,-1.7708060535463115,1.0
KP0143_HU_SB05_X,8.949184152741838,15.129418294314373,-1.7205456189127757,1.0
KP0144_LM_SB05_X,7.923946175608388,11.024194924692772,-1.776819963060453,1.0
KP0145_HU_SB05_X,8.056586897489439,11.14574469331644,-1.7953311411284558,1.0
KP0146_HU_SB05_X,8.445578201421405,12.401885483216834,-1.397144009829119,1.0
KP0147_HU_SB05_X,8.504942714945704,12.37812926867043,-1.3403248373816747,1.0
KP0148_HU_SB05_X,8.133690818210521,12.208667274333472,-1.308805385618322,1.0
KP0149_HU_SB05_X,9.262650743412257,15.073668714843928,-1.6678769933975754,1.0
