Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0046_AC_SB10,SB10,SB,10,-1.0976345,-1.472778019,-1.000797914, 0.5896442650,Clust3,0.000010,0.133474,0.660512,0.206004
KP0050_AC_SB10,SB10,SB,10,-1.8679717,-2.600985398,-0.516076746, 0.3805417377,Clust3,0.000010,0.126296,0.695885,0.177809
KP0052_AC_SB10,SB10,SB,10,-1.9858218,-3.153612961, 0.322761504,-1.2353460296,Clust3,0.000010,0.000010,0.999970,0.000010
KP0053_AC_SB10,SB10,SB,10,-2.0620113,-3.752865630, 0.218370118,-1.2564703438,Clust3,0.000010,0.000010,0.999970,0.000010
KP0054_AC_SB10,SB10,SB,10,-1.6661793,-2.890924471, 0.337769513,-1.3027761778,Clust3,0.000010,0.000010,0.999970,0.000010
KP0055_AC_SB10,SB10,SB,10,-2.2509750,-3.687407050, 0.293696460,-1.2522433417,Clust3,0.000010,0.000010,0.999970,0.000010
KP0056_AC_SB10,SB10,SB,10,-2.2808423,-3.516885223, 0.355479725,-1.3747397248,Clust3,0.000010,0.000010,0.999970,0.000010
KP0057_AC_SB10,SB10,SB,10,-1.6823929,-3.807519840,-0.384107522, 1.7104926008,Clust3,0.018890,0.155006,0.566596,0.259508
KP0058_AC_SB10,SB10,SB,10,-2.2989354,-2.103045519,-1.587370252, 0.0244614200,Clust3,0.000010,0.154906,0.845074,0.000010
KP0059_AC_SB10,SB10,SB,10,-2.1084366,-1.841058940,-1.738987223, 0.3894507213,Clust3,0.000010,0.156612,0.843368,0.000010
KP0060_AC_SB10,SB10,SB,10,-1.2738797,-1.538623282,-0.579964505, 0.2273342333,Clust3,0.027913,0.217116,0.680230,0.074742
KP0061_AC_SB10,SB10,SB,10,-2.3342462,-4.317763998, 0.085083654, 2.9125483712,Clust3,0.000010,0.000010,0.905688,0.094292
KP0062_AC_SB10,SB10,SB,10,-2.3958580,-4.275973310, 0.160520023, 2.8889494030,Clust3,0.000010,0.000010,0.903118,0.096862
KP0063_AC_SB10,SB10,SB,10,-2.6008043,-4.836680700, 1.378392967, 7.6389457604,Clust3,0.000010,0.000010,0.999970,0.000010
KP0064_AC_SB10,SB10,SB,10,-2.5353652,-4.863936427, 1.436568511, 7.5329866558,Clust3,0.000010,0.000010,0.999970,0.000010
KP0065_AC_SB10,SB10,SB,10,-2.6259130,-4.889401210, 1.187971716, 7.5908019339,Clust3,0.000010,0.015741,0.984239,0.000010
KP0069_AC_SB10,SB10,SB,10,-1.5097192,-3.566871399, 1.059862663, 4.9809702151,Clust3,0.000010,0.020575,0.979405,0.000010
KP0070_AC_SB10,SB10,SB,10,-1.5391872,-2.628553808,-0.091746607,-0.0632307785,Clust3,0.000010,0.069010,0.614496,0.316483
KP0072_AC_SB10,SB10,SB,10,-1.6120703,-3.079822197, 0.099774204,-0.7304649026,Clust3,0.000010,0.140081,0.598963,0.260946
KP0074_AC_SB10,SB10,SB,10,-2.5140145,-4.908038040, 1.356056292, 7.6611565877,Clust3,0.000010,0.009570,0.990410,0.000010
KP0077_AC_SB10,SB10,SB,10,-2.5688530,-4.861078809, 1.355048177, 7.6950690027,Clust3,0.000010,0.000010,0.999970,0.000010
KP0078_AC_SB10,SB10,SB,10,-1.8085722,-3.458952980,-0.022335244,-1.6411238588,Clust3,0.011013,0.000010,0.680727,0.308250
KP0080_AC_SB10,SB10,SB,10,-2.1810435,-3.544475339,-0.633595916,-1.3644721161,Clust3,0.000010,0.000010,0.879715,0.120265
KP0081_AC_SB10,SB10,SB,10,-2.0921643,-3.986615755,-0.671249215,-1.5460006866,Clust3,0.000010,0.000010,0.868922,0.131058
KP0088_AC_SB10,SB10,SB,10,-2.2480874,-2.071562223,-1.602228738, 0.0340332549,Clust3,0.000010,0.159253,0.840727,0.000010
KP0089_AC_SB10,SB10,SB,10,-1.4693862,-2.657904906,-1.161738823,-0.3007908904,Clust3,0.000010,0.168494,0.544209,0.287287
KP0095_AC_SB10,SB10,SB,10,-2.4173599,-3.228717630,-0.128308239,-0.0002463654,Clust3,0.000010,0.171380,0.732621,0.095989
KP0100_AC_SB10,SB10,SB,10,-1.9858514,-2.851590749,-1.544584397,-1.4256071563,Clust3,0.000010,0.000010,0.999970,0.000010
KP0101_AC_SB10,SB10,SB,10,-2.0797478,-3.399432252, 0.168319594,-0.4484451776,Clust3,0.022655,0.123198,0.673467,0.180680
KP0102_AC_SB10,SB10,SB,10,-2.2429939,-3.350273268,-0.644080697, 0.9672499184,Clust3,0.000098,0.000010,0.999882,0.000010
KP0103_AC_SB10,SB10,SB,10,-2.4105486,-3.480594935,-0.517413261, 0.4349008326,Clust3,0.000010,0.000010,0.999970,0.000010
KP0104_AC_SB10,SB10,SB,10,-1.0808933,-3.376017592, 0.069428409, 0.4571594566,Clust3,0.000010,0.166151,0.742779,0.091061
KP0105_AC_SB10,SB10,SB,10,-2.3049523,-3.568594646,-0.530996349, 0.1148470748,Clust3,0.002412,0.000010,0.997568,0.000010
KP0109_LM_SB10,SB10,SB,10,-1.7534187,-2.730260144,-0.416621033, 0.8663912346,Clust3,0.000010,0.118515,0.837946,0.043529
KP0112_AC_SB10,SB10,SB,10,-2.0377609,-3.037538765,-0.183774249,-0.2997644665,Clust3,0.000010,0.246517,0.678817,0.074656
KP0115_AC_SB10,SB10,SB,10,-1.9148023,-2.834646160,-1.655402006,-1.1966787968,Clust3,0.000010,0.000010,0.999970,0.000010
KP0116_AC_SB10,SB10,SB,10,-1.0049333,-3.341387458,-0.796730080,-1.4416097144,Clust3,0.000010,0.053170,0.934083,0.012737
KP0117_AC_SB10,SB10,SB,10,-1.4951757,-2.748453583,-1.386554412,-0.8613697491,Clust3,0.000010,0.172246,0.827734,0.000010
KP0118_AC_SB10,SB10,SB,10,-1.5025409,-2.974527343, 0.453937865, 0.9002267695,Clust3,0.000010,0.068547,0.931433,0.000010
KP0119_AC_SB10,SB10,SB,10,-2.1471221,-3.285225906, 0.720853833, 1.1703263450,Clust3,0.000010,0.159913,0.752958,0.087119
KP0120_AC_SB10,SB10,SB,10,-2.0348141,-3.272889396, 0.951230305, 1.2877741414,Clust3,0.000010,0.155770,0.776549,0.067671
KP0121_AC_SB10,SB10,SB,10,-0.8180397,-3.720111925,-0.128078044,-0.3715171102,Clust3,0.000010,0.000010,0.999970,0.000010
KP0122_AC_SB10,SB10,SB,10,-1.7224679,-3.651056979,-0.655869426,-0.5855958307,Clust3,0.028572,0.043333,0.706046,0.222049
KP0123_AC_SB10,SB10,SB,10,-2.0371542,-2.803139668,-0.576940548, 0.1068404812,Clust3,0.000010,0.063834,0.593372,0.342785
KP0125_AC_SB10,SB10,SB,10,-1.0191579,-3.468497735,-0.850260070,-0.1338091382,Clust3,0.000010,0.033528,0.706532,0.259930
KP0127_AC_SB10,SB10,SB,10,-1.6984521,-2.705837283,-1.496535481,-0.9593260791,Clust3,0.000010,0.215213,0.784767,0.000010
KP0129_AC_SB10,SB10,SB,10,-1.0233261,-2.031913942,-0.130721181, 0.1999655860,Clust3,0.000010,0.000010,0.858851,0.141129
KP0131_HU_SB05,SB05,SB,05,-2.4404144, 2.486631800,-0.424027468,-0.3517872851,Clust2,0.000010,0.884467,0.115513,0.000010
KP0151_AC_SQ12,SQ12,SQ,12,-2.0272244,-3.845440790, 0.005385315,-0.0013104162,Clust4,0.000010,0.000010,0.411813,0.588167
KP0152_AC_SQ12,SQ12,SQ,12,-2.0785777,-4.018683229, 0.212033281,-0.0520396103,Clust4,0.000010,0.000010,0.408812,0.591168
KP0153_AC_SQ12,SQ12,SQ,12,-1.6384433,-3.211353514, 0.401963157,-0.9261897452,Clust3,0.011762,0.180553,0.646481,0.161204
KP0154_AC_SQ12,SQ12,SQ,12,-1.4284339,-4.228011007,-0.265549118,-2.4409617335,Clust3,0.000016,0.000010,0.999964,0.000010
KP0156_AC_SQ12,SQ12,SQ,12,-1.4987677,-4.090855524,-0.427086528,-2.4575302402,Clust3,0.000010,0.000010,0.999970,0.000010
KP0157_AC_SQ12,SQ12,SQ,12,-1.5009294,-4.364502938,-0.429574664,-2.4023056781,Clust3,0.000014,0.000010,0.999966,0.000010
KP0158_AC_SQ12,SQ12,SQ,12,-1.6359301,-4.270212747,-0.252215355,-2.3938933913,Clust3,0.000012,0.000010,0.999968,0.000010
KP0160_AC_SQ12,SQ12,SQ,12,-2.6182835,-3.370576241,-0.138417928,-1.5309226398,Clust4,0.000010,0.000010,0.000010,0.999970
KP0162_AC_SQ12,SQ12,SQ,12,-2.4089217,-3.354514798,-0.102563423,-2.0233642448,Clust4,0.002225,0.000010,0.000010,0.997755
KP0166_AC_SQ12,SQ12,SQ,12,-1.9193848,-3.633973641, 0.857843638,-2.4561969009,Clust3,0.000010,0.000010,0.521908,0.478072
KP0167_AC_SQ12,SQ12,SQ,12,-1.5782474,-2.647988700,-0.111700092,-1.6022850578,Clust3,0.000010,0.000010,0.652783,0.347197
KP0168_AC_SQ12,SQ12,SQ,12,-2.1438509,-3.871831112, 1.094543994,-2.6499420390,Clust3,0.000010,0.000010,0.504528,0.495452
KP0169_AC_SQ12,SQ12,SQ,12,-2.0464397,-3.582091506, 1.141877195,-2.2595315392,Clust4,0.000010,0.000010,0.466655,0.533325
KP0171_AC_SQ12,SQ12,SQ,12,-2.2286347,-4.215361477, 0.235532554,-0.3587417111,Clust4,0.000010,0.000010,0.413744,0.586236
KP0172_AC_SQ12,SQ12,SQ,12,-0.9325747,-4.383767118,14.275949305, 3.3396380394,Clust4,0.016742,0.000010,0.000010,0.983238
KP0173_AC_SQ12,SQ12,SQ,12,-1.9967567,-4.874494184,15.152841510, 3.1210091951,Clust4,0.000010,0.000010,0.000010,0.999970
KP0174_AC_SQ12,SQ12,SQ,12,-1.9261041,-4.978546402,15.301441402, 2.5714239289,Clust4,0.000010,0.000010,0.000010,0.999970
KP0175_AC_SQ12,SQ12,SQ,12,-1.9333876,-5.078772960,15.459047442, 2.5804054168,Clust4,0.000010,0.000010,0.000010,0.999970
KP0176_AC_SQ12,SQ12,SQ,12,-1.9191769,-5.048746510,15.542765981, 2.5203149283,Clust4,0.000010,0.000010,0.000010,0.999970
KP0177_AC_SQ12,SQ12,SQ,12,-2.1733432,-4.945791379,15.258893198, 3.0284427108,Clust4,0.000010,0.000010,0.000010,0.999970
KP0181_AC_SQ12,SQ12,SQ,12,-2.0349832,-2.966027511,-1.009263744,-0.5906578696,Clust3,0.000010,0.024977,0.587762,0.387251
KP0182_AC_SQ12,SQ12,SQ,12,-2.1345945,-5.058642882,15.498405616, 3.0786077737,Clust4,0.000010,0.000010,0.000010,0.999970
KP0185_AC_SQ12,SQ12,SQ,12,-2.1174276,-4.921947627,15.310918955, 2.9108663832,Clust4,0.000010,0.000010,0.000010,0.999970
KP0187_AC_SQ12,SQ12,SQ,12,-2.6152865,-3.391839853,-0.042153555,-1.5031040174,Clust4,0.000010,0.000010,0.000010,0.999970
KP0188_AC_SQ12,SQ12,SQ,12,-2.0378001,-2.340296773, 0.025777864,-1.1898335118,Clust4,0.000010,0.000010,0.000010,0.999970
KP0189_AC_SQ12,SQ12,SQ,12,-2.4392634,-2.670842666, 0.662935041,-0.0205056394,Clust3,0.000010,0.129949,0.625527,0.244514
KP0190_AC_SQ12,SQ12,SQ,12,-2.3938039,-2.414067214, 0.602948247,-0.8901941056,Clust3,0.012136,0.063291,0.924562,0.000010
KP0193_AC_SQ12,SQ12,SQ,12,-1.1905871,-3.039275539,-0.227641568,-1.6858157948,Clust3,0.000010,0.000010,0.824691,0.175289
KP0196_AC_SQ12,SQ12,SQ,12,-0.7162119,-4.593443998, 1.861759040,-6.3347158413,Clust3,0.000011,0.000010,0.999969,0.000010
KP0197_AC_SQ12,SQ12,SQ,12,-0.8604549,-4.727677157, 1.633985744,-6.5962988282,Clust3,0.000010,0.000010,0.999970,0.000010
KP0198_AC_SQ12,SQ12,SQ,12,-0.7625395,-4.805835310, 1.826143231,-6.6217599624,Clust3,0.000010,0.000010,0.999970,0.000010
KP0199_AC_SQ12,SQ12,SQ,12,-0.9296232,-4.767428968, 1.662653247,-6.5166582884,Clust3,0.000010,0.000010,0.999970,0.000010
KP0200_AC_SQ12,SQ12,SQ,12,-0.7768017,-4.664829268, 1.830012528,-6.4295228719,Clust3,0.000010,0.000010,0.999970,0.000010
KP0201_AC_SQ12,SQ12,SQ,12,-0.6806526,-4.645828522, 1.846071663,-6.3745880226,Clust3,0.000140,0.000010,0.999840,0.000010
KP0202_AC_SQ12,SQ12,SQ,12,-1.6522278,-3.726317530,-0.870083952,-1.9505556411,Clust3,0.000010,0.000010,0.941753,0.058227
KP0204_AC_SQ12,SQ12,SQ,12,-1.5050201,-3.543673040,-0.702357519,-1.8734863071,Clust3,0.000010,0.000010,0.838527,0.161453
KP0208_AC_SQ12,SQ12,SQ,12,-1.4669738,-3.122717625, 0.428428984,-2.4075687952,Clust3,0.000010,0.085894,0.614551,0.299546
KP0209_AC_SQ12,SQ12,SQ,12,-1.8460411,-3.156246564, 0.218556915,-2.6194002898,Clust3,0.000010,0.129574,0.447734,0.422681
KP0212_AC_SQ20,SQ20,SQ,20,-1.7202151,-3.923160264,-0.486568056,-5.5969793046,Clust3,0.015267,0.000010,0.984713,0.000010
KP0213_AC_SQ20,SQ20,SQ,20,-1.7308051,-4.120194344,-0.659606886,-5.5978719347,Clust3,0.013951,0.000010,0.986029,0.000010
KP0214_AC_SQ20,SQ20,SQ,20,-1.6972068,-3.961550645,-0.471995495,-5.5300714691,Clust3,0.013480,0.000010,0.986500,0.000010
KP0216_AC_SQ20,SQ20,SQ,20,-1.6131733,-4.113087461,-0.743853266,-5.5082464595,Clust3,0.011087,0.000010,0.988893,0.000010
KP0217_AC_SQ20,SQ20,SQ,20,-1.7596894,-3.781560201,-0.428877425,-5.3545659919,Clust3,0.005083,0.000010,0.994897,0.000010
KP0218_AC_SQ20,SQ20,SQ,20,19.9321322, 0.541724729, 0.143411502, 0.1257096690,Clust1,0.999970,0.000010,0.000010,0.000010
KP0220_AC_SQ20,SQ20,SQ,20,-0.6329756,-3.424549269, 0.130556670,-2.3708274972,Clust3,0.000010,0.000010,0.905131,0.094849
KP0221_AC_SQ20,SQ20,SQ,20,-0.6604182,-3.334805925, 0.185196747,-2.3072738363,Clust3,0.000010,0.000010,0.887189,0.112791
KP0222_AC_SQ20,SQ20,SQ,20,-1.1456066,-1.649565100, 0.729774016,-0.2775173676,Clust3,0.000010,0.029121,0.546906,0.423963
KP0225_AC_SQ20,SQ20,SQ,20,-1.3058610,-2.027168351,-0.152261550,-0.4050199425,Clust3,0.012172,0.000010,0.690379,0.297439
KP0227_AC_SQ20,SQ20,SQ,20,-0.9244801,-1.808047322, 0.093707840,-0.4757933951,Clust3,0.031857,0.000010,0.787585,0.180548
KP0229_AC_SQ20,SQ20,SQ,20,-0.8130582,-2.082767413, 0.142267901,-0.8503161637,Clust3,0.022022,0.057570,0.508360,0.412048
KP0233_AC_SQ20,SQ20,SQ,20,-1.1825099,-0.857063075, 0.817334497,-0.0462294859,Clust4,0.000010,0.124146,0.391213,0.484631
KP0235_AC_SQ20,SQ20,SQ,20,14.1746473, 0.820726483,-0.128339852,-0.0157017064,Clust1,0.991636,0.000010,0.000010,0.008344
KP0236_AC_SQ20,SQ20,SQ,20,-1.8982941,-2.481884960, 0.188674243,-2.3693071536,Clust3,0.007137,0.208286,0.457086,0.327491
KP0237_AC_SQ20,SQ20,SQ,20,-2.9115273,-2.005448437,-0.971484043, 0.1583591823,Clust3,0.000010,0.089579,0.749519,0.160891
KP0238_AC_SQ20,SQ20,SQ,20,-2.1583544,-1.731125039,-0.420334828, 0.0871907264,Clust3,0.000010,0.021660,0.722715,0.255614
KP0240_AC_SQ20,SQ20,SQ,20,-2.9599657,-2.010468881,-0.937187743, 0.1755664786,Clust3,0.000010,0.089918,0.737161,0.172910
