Individual,Site,Loc,Depth,x,y,z
KP0613_LM_SB20,SB20,SB,20,31512.4479900054,-44.5151661669641,-21.4594017211228
KP0614_LM_SB20,SB20,SB,20,31511.034834865,-44.483203548536,-21.6612036695171
KP0615_AC_SB20,SB20,SB,20,31511.7135822492,-45.0996455353676,-21.8948153712733
KP0616_LM_SB20,SB20,SB,20,31510.7153937442,-44.0650465109762,-21.5029943581007
KP0617_LM_SB20,SB20,SB,20,31511.3344573443,-45.2461027443948,-22.0092861938964
KP0618_LM_SB20,SB20,SB,20,31510.2914371164,-44.0787674348274,-20.790713184035
KP0619_AC_SB20,SB20,SB,20,31511.1312754029,-45.1178056535367,-21.872872448687
KP0620_LM_SB20,SB20,SB,20,31510.1858155104,-43.8732716537332,-20.8550595338202
KP0621_LM_SB20,SB20,SB,20,31511.0173132536,-44.8506141784982,-21.8140667399432
KP0622_AC_SB20_X,SB20,SB,20,31509.9162135132,-44.2133751217479,-20.7161940160749
KP0623_LM_SB20,SB20,SB,20,31510.4964367528,-45.1538851768535,-22.1332967161739
KP0624_AC_SB20,SB20,SB,20,31510.0775250899,-43.7750742321623,-20.44965926747
KP0625_AC_SB20_X,SB20,SB,20,31510.4024016061,-44.9427855932659,-21.3006304765353
KP0626_AC_SB20,SB20,SB,20,31510.0363288441,-43.6645255574377,-20.3494634519642
KP0627_AC_SB20_X,SB20,SB,20,31509.8782105398,-44.4621902624188,-20.8814076825403
KP0628_AC_SB20,SB20,SB,20,31509.856723286,-43.4789569842315,-20.3111061831892
KP0629_LM_SB20,SB20,SB,20,31509.4286822471,-44.1999924257458,-20.6853617013379
KP0630_AC_SB20,SB20,SB,20,31509.7371782875,-43.8438268972356,-20.4477612704921
KP0631_LM_SB20,SB20,SB,20,31509.1234175809,-44.3412733382565,-21.1961065410654
KP0632_AC_SB20,SB20,SB,20,31509.9126197747,-43.6385540706871,-20.2495971977572
KP0633_AC_SB20,SB20,SB,20,31518.6959007179,-43.363954525573,-20.2893022548557
KP0634_LM_SB20_X,SB20,SB,20,31509,-43.6019488023126,-20.5854213090964
KP0635_AC_SB20,SB20,SB,20,31518.5220611155,-43.8179015980723,-20.7815986143258
KP0636_AC_SB20,SB20,SB,20,31518.921550894,-43.0887561400643,-19.919586040232
KP0637_LM_SB20,SB20,SB,20,31517.683938012,-44.0925389867666,-21.1014980512918
KP0638_AC_SB20,SB20,SB,20,31518.6300994828,-42.8315641232949,-20.0938322239137
KP0639_LM_SB20,SB20,SB,20,31517.3731329065,-44.0662187378273,-20.9812378170222
KP0640_AC_SB20,SB20,SB,20,31518.8780380057,-42.5236617471326,-20.1110845680239
KP0641_LM_SB20,SB20,SB,20,31517.2593103598,-44.2264008409066,-21.2087173161789
KP0642_AC_SB20,SB20,SB,20,31518.3537874405,-42.8317602315256,-20.0934363110311
KP0643_AC_SB20,SB20,SB,20,31517.0155492521,-44.5504617109342,-21.3661658792731
KP0644_AC_SB20,SB20,SB,20,31518.2133012885,-42.9111594552299,-20.3254135665519
KP0645_AC_SB20_X,SB20,SB,20,31515.5597583446,-44.4479284312882,-20.8168073125624
KP0646_AC_SB20,SB20,SB,20,31517.9978230239,-43.1723231394793,-20.2877689941619
KP0647_AC_SB20,SB20,SB,20,31515.1271644974,-45.0282718423863,-21.1857716898914
KP0648_AC_SB20,SB20,SB,20,31517.8430329264,-43.0720053889429,-20.3518979973897
KP0649_AC_SB20,SB20,SB,20,31514.6756793545,-44.4585243705458,-21.13594928891
KP0650_LM_SB20,SB20,SB,20,31516.8065180783,-42.7646702438868,-20.030361658762
KP0651_AC_SB20,SB20,SB,20,31514.5475822507,-44.6810709602565,-21.2176764925973
KP0652_AC_SB20,SB20,SB,20,31516.3648563574,-43.3265109550941,-20.3613237371567
KP0653_GR_X,X,X,,5.36492896355178,0.188673106534856,-1.67535895693123
KP0654_AC_SB20,SB20,SB,20,31516.0869248495,-43.5715415957895,-20.4272815762142
KP0655_LM_SB20,SB20,SB,20,31514.3982893187,-45.44,-21.8614023667865
KP0656_AC_SB20,SB20,SB,20,31516.1520893067,-43.3205906705953,-20.341388740935
KP0657_LM_SB20,SB20,SB,20,31523.2859641048,-42.5877732388774,-19.9577647115488
KP0658_AC_SB20,SB20,SB,20,31516.0266539759,-43.0108534309611,-20.3904593762547
KP0659_LM_SB20,SB20,SB,20,31523.2138013791,-42.8943899021103,-20.0273597815903
KP0660_AC_SB20,SB20,SB,20,31516.3148962846,-42.9035660055981,-20.2467771247748
KP0661_AC_SB20,SB20,SB,20,31522.5614109606,-43.2731920292283,-20.5417690200095
KP0662_AC_SB20,SB20,SB,20,31515.197719898,-43.2729208828249,-19.7062824924678
KP0663_AC_SB20,SB20,SB,20,31522.2624701802,-43.154171519996,-20.175231491676
KP0664_LM_SB20,SB20,SB,20,31515.0403342699,-43.8850155914743,-20.9671110318594
KP0665_AC_SB20,SB20,SB,20,31521.7912887214,-43.007089319401,-19.9339975417579
KP0666_LM_SB20,SB20,SB,20,31514.6918472245,-43.8516340183485,-20.8772910956424
KP0667_AC_SB20＿X,SB20＿X,SB,20＿X,9.52462549056234,1.43463816582793,-0.232542158401878
KP0668_AC_SB20,SB20,SB,20,31514.2652750368,-43.7817779433947,-20.7531965564712
KP0669_AC_SB20_X,SB20,SB,20,31521.5213776004,-43.184611773078,-19.9906234416913
KP0670_LM_SB20,SB20,SB,20,31514.0628653527,-43.7469368254397,-20.8676978048193
KP0671_AC_SB20_X,SB20,SB,20,31521.3764736123,-43.0417430806256,-19.9738805556812
KP0672_AC_SB20,SB20,SB,20,31514.1313542083,-44.3439870989237,-20.8648927650569
KP0673_AC_SB20_X,SB20,SB,20,31521.4283650495,-43.1362022353638,-20.0784677452981
KP0674_AC_SB20,SB20,SB,20,31513.954079131,-44.2643760425016,-20.8269684655802
KP0676_LM_SB20,SB20,SB,20,31522.9277785076,-41.7229594382261,-19.4212487978204
KP0678_AC_SB20,SB20,SB,20,31522.7114536312,-42.239738288293,-19.8466166552479
KP0679_AC_SB20,SB20,SB,20,31526.6910407508,-41.115454176934,-18.489846939454
KP0680_LM_SB20,SB20,SB,20,31522.0531924072,-42.5136666596111,-20.0238775343277
KP0681_AC_SB20,SB20,SB,20,31526.6095166605,-41.2865074162847,-18.6520312724726
KP0682_LM_SB20,SB20,SB,20,31522.1813140138,-42.1559366093097,-19.6860852960262
KP0683_AC_SB20,SB20,SB,20,31526.3141303141,-41.0222339039956,-18.6487908602889
KP0684_LM_SB20,SB20,SB,20,31522.9781621556,-42.5893552719037,-19.94955211143
KP0685_AC_SB20,SB20,SB,20,31526.4923209328,-42.031329880568,-19.2109364865767
KP0686_AC_SB20,SB20,SB,20,31520.1695165076,-41.9975150683296,-19.3479229774753
KP0687_AC_SB20,SB20,SB,20,31526.3696300436,-41.7704781419169,-19.1601994604581
KP0688_AC_SB20,SB20,SB,20,31520.0638060173,-42.6919235628918,-19.6627274568574
KP0689_AC_SB20,SB20,SB,20,31526.0212236442,-41.9964990285306,-19.1199674753435
KP0690_AC_SB20,SB20,SB,20,31519.7660210695,-43.0508145706125,-19.8302627058924
KP0691_AC_SB20,SB20,SB,20,31525.8472786912,-42.0140121293883,-19.0405324296104
KP0692_AC_SB20,SB20,SB,20,31520.5665960187,-42.9831139778045,-19.9233615972837
KP0693_AC_SB20,SB20,SB,20,31525.8383153651,-42.0820208775034,-19.3244183621283
KP0694_LM_SB20,SB20,SB,20,31521.0677259412,-43.3943776692089,-20.9501809973879
KP0695_AC_SB20,SB20,SB,20,31525.7592596255,-41.855546427193,-19.0882978952306
KP0696_AC_SB20,SB20,SB,20,31520.6655458307,-43.3809579817525,-20.2028444816372
KP0697_AC_SB20,SB20,SB,20,31525.5648880479,-41.7920128880396,-19.187270926038
KP0698_AC_SB20,SB20,SB,20,31519.9010414268,-43.1775904088918,-20.1056993117978
KP0699_AC_SB20,SB20,SB,20,31525.4696293366,-41.8593988580531,-19.2693034024972
KP0700_LM_SB20,SB20,SB,20,31519.8511083254,-43.288274833993,-20.5153405297663
KP0702_AC_SB20,SB20,SB,20,31527.9473812703,-42.4673196283025,-19.2976343262957
KP0703_AC_SB20,SB20,SB,20,31525.1002272373,-41.5575450439056,-19.1880297144693
KP0704_AC_SB20,SB20,SB,20,31527.4820899229,-42.2597694339666,-19.3699389033432
KP0705_AC_SB20_X,SB20,SB,20,31525.0224459182,-41.844002974024,-19.2661526936917
KP0706_LM_SB20,SB20,SB,20,31526.8843138765,-42.0350955018432,-19.5273967995379
KP0707_LM_SB20,SB20,SB,20,31524.9238017427,-41.237389481869,-19.1932657405903
KP0708_AC_SB20,SB20,SB,20,31527.0318358038,-42.3930734082017,-19.507179441262
KP0709_AC_SB20,SB20,SB,20,31524.782641598,-41.2586667567262,-18.9207670855787
KP0710_AC_SB20,SB20,SB,20,31526.6730401543,-42.2233157617703,-19.532280316921
KP0711_AC_SB20,SB20,SB,20,31524.3850646062,-41.276778186539,-18.7294601769968
KP0712_AC_SB20,SB20,SB,20,31526.2652327634,-42.2290938470089,-19.3778376930945
KP0714_AC_SB20,SB20,SB,20,31525.9031476901,-42.8075041630022,-19.8921407283002
KP0715_LM_SB20,SB20,SB,20,31524.2906712738,-42.3708247954176,-20.045814272314
KP0716_LM_SB20,SB20,SB,20,31524.7344761578,-42.3628832309642,-19.5281269657992
KP0717_AC_SB20,SB20,SB,20,31533.5178008538,-42.038886189383,-18.2853565547826
KP0718_LM_SB20,SB20,SB,20,31524.2190803164,-42.6244163643592,-20.1184515444049
KP0719_AC_SB20,SB20,SB,20,31532.8453443733,-42.096260848267,-18.3698726436651
KP0720_AC_SB20,SB20,SB,20,31533.4964307863,-41.3373244680576,-18.0324719406701
KP0721_AC_SB20,SB20,SB,20,31532.9435342497,-41.8235498483656,-18.2113571957032
KP0722_AC_SB20,SB20,SB,20,31532.7326039497,-41.6662274767243,-18.2247577436872
KP0723_AC_SB20,SB20,SB,20,31532.4085485795,-41.9008980604555,-18.6519280630202
KP0724_AC_SB20,SB20,SB,20,31532.5844172115,-41.2189007341963,-18.2913655401769
KP0725_LM_SB20,SB20,SB,20,31532.36242061,-42.4475406273794,-19.2810916718095
KP0726_AC_SB20,SB20,SB,20,31532.5059588744,-41.6487192161937,-18.6329911181996
KP0727_AC_SB20,SB20,SB,20,31531.9943326414,-42.4561039391407,-19.1125483369895
KP0728_AC_SB20,SB20,SB,20,31532.1675363363,-41.1772083315096,-18.2685681703964
KP0729_LM_SB20,SB20,SB,20,31529.9643514324,-42.3684969140927,-19.5979041815474
KP0730_AC_SB20,SB20,SB,20,31532.2523193097,-41.5901165853308,-18.6606927070234
KP0731_LM_SB20,SB20,SB,20,31529.6749559951,-42.3871021854788,-19.8884441058081
KP0732_LM_SB20,SB20,SB,20,31531.9119451085,-41.3797139978239,-18.5653539543838
KP0733_LM_SB20,SB20,SB,20,31529.7712921446,-42.7508403865411,-19.9113367127107
KP0734_AC_SB20,SB20,SB,20,31531.4875175609,-41.4018755089923,-18.1770526909522
KP0736_AC_SB20,SB20,SB,20,31530.878752616,-41.2087154368989,-18.0494217684869
KP0217_AC_SQ20,SQ20,SQ,20,42884.3271861421,-45.2049098859393,-19.7475921605409
KP0218_AC_SQ20,SQ20,SQ,20,42882.1558026607,-45.2797366227512,-19.6858073121962
KP0219_AC_SQ20,SQ20,SQ,20,42881.7428865859,-45.334321623425,-19.8103031659705
KP0220_AC_SQ20,SQ20,SQ,20,42881.6958110758,-45.1283634410301,-19.7694217874385
KP0221_AC_SQ20,SQ20,SQ,20,42881.666089217,-45.105472929934,-19.7969914997246
KP0222_AC_SQ20,SQ20,SQ,20,42881.4585691234,-45.5782092965232,-19.2598632553813
KP0224_AC_SQ20,SQ20,SQ,20,42880.0291033881,-46.2061641367057,-19.6495614325581
KP0225_AC_SQ20,SQ20,SQ,20,42880,-46.4873769285473,-19.4767997979341
KP0226_AC_SQ20,SQ20,SQ,20,42880.1681041241,-46.3645834027207,-19.4815828172409
KP0227_AC_SQ20,SQ20,SQ,20,42880.4087111803,-46.3234332292927,-19.2107011973728
