Sample,Pop,Groups
KP0049_HU_SB10,HU_SB10,102
KP0073_HU_SB10,HU_SB10,89
KP0075_HU_SB10,HU_SB10,33
KP0084_AC_SB10,AC_SB10,27
KP0090_AC_SB10,AC_SB10,98
KP0091_AC_SB10,AC_SB10,24
KP0092_AC_SB10,AC_SB10,69
KP0093_AC_SB10,AC_SB10,34
KP0098_AC_SB10,AC_SB10,70
KP0099_AC_SB10,AC_SB10,72
KP0110_AC_SB10,AC_SB10,70
KP0111_AC_SB10,AC_SB10,70
KP0130_AC_SB05,AC_SB05,26
KP0132_HU_SB05,HU_SB05,20
KP0134_HU_SB05,HU_SB05,73
KP0135_HU_SB05,HU_SB05,22
KP0137_HU_SB05,HU_SB05,30
KP0138_HU_SB05,HU_SB05,30
KP0139_HU_SB05,HU_SB05,1
KP0140_HU_SB05,HU_SB05,1
KP0141_HU_SB05,HU_SB05,1
KP0142_HU_SB05,HU_SB05,21
KP0143_HU_SB05,HU_SB05,120
KP0145_HU_SB05,HU_SB05,28
KP0146_HU_SB05,HU_SB05,25
KP0147_HU_SB05,HU_SB05,2
KP0148_HU_SB05,HU_SB05,3
KP0149_HU_SB05,HU_SB05,29
KP0159_AC_SQ12,AC_SQ12,71
KP0183_AC_SQ12,AC_SQ12,71
KP0184_AC_SQ12,AC_SQ12,71
KP0211_AC_SQ12,AC_SQ12,78
KP0378_AC_WP20,AC_WP20,75
KP0410_HU_CA05,HU_CA05,92
KP0413_HU_CA05,HU_CA05,81
KP0414_HU_CA05,HU_CA05,63
KP0416_HU_CA05,HU_CA05,57
KP0417_HU_CA05,HU_CA05,39
KP0418_HU_CA05,HU_CA05,57
KP0420_HU_CA05,HU_CA05,59
KP0421_HU_CA05,HU_CA05,53
KP0423_HU_CA05,HU_CA05,51
KP0425_HU_CA05,HU_CA05,53
KP0426_HU_CA05,HU_CA05,62
KP0427_HU_CA05,HU_CA05,55
KP0428_HU_CA05,HU_CA05,55
KP0429_HU_CA05,HU_CA05,54
KP0432_HU_CA05,HU_CA05,90
KP0434_HU_CA05,HU_CA05,82
KP0435_HU_CA05,HU_CA05,60
KP0436_HU_CA05,HU_CA05,105
KP0437_HU_CA05,HU_CA05,106
KP0438_HU_CA05,HU_CA05,53
KP0439_HU_CA05,HU_CA05,52
KP0442_HU_CA05,HU_CA05,39
KP0474_AC_WP20,AC_WP20,40
KP0540_AC_WP20,AC_WP20,86
KP0552_AC_WP20,AC_WP20,65
KP0582_AC_WP20,AC_WP20,88
KP0639_LM_SB20,LM_SB20,69
