Sample,Pop,Groups
KP0086_LM_SB10,LM_SB10,59
KP0096_AC_SB10,AC_SB10,64
KP0108_AC_SB10,AC_SB10,60
KP0186_AC_SQ12,AC_SQ12,38
KP0192_AC_SQ12,AC_SQ12,14
KP0203_AC_SQ12,AC_SQ12,46
KP0207_LM_SQ12,LM_SQ12,20
KP0249_LM_SQ20,LM_SQ20,29
KP0252_LM_SQ20,LM_SQ20,32
KP0253_LM_SQ20,LM_SQ20,69
KP0254_LM_SQ20,LM_SQ20,69
KP0282_LM_SQ20,LM_SQ20,8
KP0285_LM_SQ20,LM_SQ20,74
KP0290_LM_WP20,LM_WP20,26
KP0293_LM_WP20,LM_WP20,3
KP0308_LM_WP20,LM_WP20,39
KP0318_LM_WP20,LM_WP20,3
KP0319_LM_WP20,LM_WP20,57
KP0322_LM_WP20,LM_WP20,83
KP0328_LM_WP20,LM_WP20,84
KP0330_LM_WP20,LM_WP20,70
KP0341_LM_WP20,LM_WP20,7
KP0342_LM_WP20,LM_WP20,7
KP0343_LM_WP20,LM_WP20,7
KP0345_LM_WP20,LM_WP20,7
KP0348_LM_WP20,LM_WP20,1
KP0350_LM_WP20,LM_WP20,44
KP0375_LM_WP20,LM_WP20,4
KP0377_LM_WP20,LM_WP20,82
KP0380_LM_WP20,LM_WP20,51
KP0400_LM_WP20,LM_WP20,89
KP0459_LM_WP20,LM_WP20,47
KP0473_LM_WP20,LM_WP20,73
KP0482_LM_WP20,LM_WP20,10
KP0529_LM_WP20,LM_WP20,93
KP0547_LM_WP20,LM_WP20,86
KP0548_LM_WP20,LM_WP20,75
KP0551_LM_WP20,LM_WP20,16
KP0557_AC_WP20,AC_WP20,12
KP0558_LM_WP20,LM_WP20,48
KP0570_LM_WP20,LM_WP20,58
KP0585_LM_WP20,LM_WP20,21
KP0588_LM_WP20,LM_WP20,71
KP0599_LM_SB20,LM_SB20,33
KP0605_AC_SB20,AC_SB20,56
KP0609_AC_SB20,AC_SB20,15
KP0613_LM_SB20,LM_SB20,35
KP0614_LM_SB20,LM_SB20,40
KP0616_LM_SB20,LM_SB20,18
KP0617_LM_SB20,LM_SB20,9
KP0618_LM_SB20,LM_SB20,68
KP0620_LM_SB20,LM_SB20,30
KP0629_LM_SB20,LM_SB20,55
KP0631_LM_SB20,LM_SB20,91
KP0634_LM_SB20,LM_SB20,41
KP0637_LM_SB20,LM_SB20,64
KP0650_LM_SB20,LM_SB20,17
KP0657_LM_SB20,LM_SB20,6
KP0659_LM_SB20,LM_SB20,6
KP0664_LM_SB20,LM_SB20,76
KP0666_LM_SB20,LM_SB20,72
KP0670_LM_SB20,LM_SB20,90
KP0671_AC_SB20,AC_SB20,52
KP0676_LM_SB20,LM_SB20,66
KP0677_LM_SB20,LM_SB20,27
KP0680_LM_SB20,LM_SB20,22
KP0682_LM_SB20,LM_SB20,2
KP0694_LM_SB20,LM_SB20,31
KP0706_LM_SB20,LM_SB20,25
KP0707_LM_SB20,LM_SB20,53
KP0716_LM_SB20,LM_SB20,87
KP0718_LM_SB20,LM_SB20,23
KP0723_NA_NANA,NA_NANA,42
KP0731_LM_SB20,LM_SB20,62
KP0732_LM_SB20,LM_SB20,13
KP0765_AC_WP10,AC_WP10,45
KP0795_LM_WP10,LM_WP10,11
KP0851_AC_WP10,AC_WP10,79
KP0870_LM_WP10,LM_WP10,88
KP0893_LM_WP10,LM_WP10,34
KP1043_LM_CA10,LM_CA10,78
KP1058_LM_CA20,LM_CA20,80
KP1059_LM_CA20,LM_CA20,5
KP1061_LM_CA20,LM_CA20,5
KP1064_LM_CA20,LM_CA20,80
KP1065_LM_CA20,LM_CA20,63
KP1093_LM_CA20,LM_CA20,92
KP1094_LM_CA20,LM_CA20,67
KP1095_HU_CA20,HU_CA20,28
KP1101_LM_CA20,LM_CA20,65
KP1103_LM_CA20,LM_CA20,37
KP1118_LM_CA20,LM_CA20,43
KP1119_LM_CA20,LM_CA20,36
KP1123_LM_CA20,LM_CA20,81
KP1124_AC_CA20,AC_CA20,12
KP1126_LM_CA20,LM_CA20,85
KP1133_LM_CA20,LM_CA20,49
KP1144_LM_CA20,LM_CA20,24
KP1160_UN_CA20,UN_CA20,19
KP1164_LM_CA20,LM_CA20,61
KP1166_LM_CA20,LM_CA20,54
KP1167_LM_CA20,LM_CA20,77
KX0330_LM_WP20,LM_WP20,70
KX0657_LM_SB20,LM_SB20,6
KY0578_AC_WP20,AC_WP20,50
