Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0049_HU_SB10,SB10,SB,10,-4.5152237, 0.8853549,  2.204511234,-1.213925409,Clust1,0.890706,0.000010,0.109274,0.000010
KP0073_HU_SB10,SB10,SB,10,-3.3325853, 0.7957810,  1.663142495,-2.577464887,Clust1,0.811671,0.000010,0.188309,0.000010
KP0075_HU_SB10,SB10,SB,10,-5.6606850, 0.3270849, -0.259277370,-3.850966200,Clust1,0.623236,0.000010,0.119253,0.257501
KP0084_AC_SB10,SB10,SB,10,16.0418578,-2.6538167, -0.129474528,-0.144541696,Clust2,0.000010,0.999970,0.000010,0.000010
KP0090_AC_SB10,SB10,SB,10,-4.1188632, 1.6857582,  1.107174307,-3.063093128,Clust1,0.487039,0.000010,0.312043,0.200909
KP0091_AC_SB10,SB10,SB,10,16.1717171,-2.7510623,  0.071172023, 0.065028112,Clust2,0.000010,0.999970,0.000010,0.000010
KP0092_AC_SB10,SB10,SB,10,-6.2478881,-3.2389351,  0.959446727,-5.081424485,Clust1,0.938708,0.000010,0.000010,0.061272
KP0093_AC_SB10,SB10,SB,10,-5.5356101,-0.4705468, -0.514774561,-3.416023315,Clust1,0.546588,0.000010,0.170225,0.283177
KP0098_AC_SB10,SB10,SB,10,-7.9663828,-4.2265758, -2.749219513,-8.641100207,Clust1,0.860975,0.000010,0.000010,0.139005
KP0099_AC_SB10,SB10,SB,10,-6.8958525,-3.3793617, -1.828687244,-4.010780637,Clust1,0.692001,0.000010,0.000010,0.307979
KP0110_AC_SB10,SB10,SB,10,-7.7048851,-4.0530355, -2.501105938,-8.560812032,Clust1,0.901783,0.000010,0.000010,0.098197
KP0111_AC_SB10,SB10,SB,10,-8.1427245,-4.3221228, -2.863378282,-8.739118357,Clust1,0.876829,0.000010,0.000010,0.123151
KP0130_AC_SB05,SB05,SB,05,16.5721255,-2.3721608,  0.248164726,-0.082582865,Clust2,0.000010,0.918244,0.058224,0.023522
KP0132_HU_SB05,SB05,SB,05,15.7510242,-3.0007699,  0.309165845,-0.100921933,Clust2,0.000010,0.999970,0.000010,0.000010
KP0134_HU_SB05,SB05,SB,05,-6.8986897,-3.3066634,  0.862118672,-5.092441623,Clust1,0.999970,0.000010,0.000010,0.000010
KP0135_HU_SB05,SB05,SB,05,16.7315939,-2.9512414,  0.611592404, 0.199453714,Clust2,0.000010,0.982109,0.017871,0.000010
KP0137_HU_SB05,SB05,SB,05, 1.9268442,11.2215446,  0.028319091,-1.455443037,Clust3,0.000010,0.000010,0.999970,0.000010
KP0138_HU_SB05,SB05,SB,05, 2.2821854,11.8802832,  0.253662516,-1.678428387,Clust3,0.000010,0.000010,0.999970,0.000010
KP0139_HU_SB05,SB05,SB,05,17.6578804,-4.1369982, -0.620054997,-0.287613252,Clust2,0.000010,0.999970,0.000010,0.000010
KP0140_HU_SB05,SB05,SB,05,17.5511507,-4.3002093, -0.682598439,-0.349321844,Clust2,0.000010,0.999970,0.000010,0.000010
KP0141_HU_SB05,SB05,SB,05,15.3078019,-3.7580988, -0.857081142,-0.340034629,Clust2,0.000010,0.999970,0.000010,0.000010
KP0142_HU_SB05,SB05,SB,05,16.4574057,-2.8709350,  0.293746779,-0.022225221,Clust2,0.000017,0.999963,0.000010,0.000010
KP0143_HU_SB05,SB05,SB,05, 1.8151100,10.2408333, -0.439541362, 0.274934107,Clust3,0.000010,0.000010,0.999970,0.000010
KP0145_HU_SB05,SB05,SB,05,16.1176725,-2.8423900, -0.039092143, 0.137777506,Clust2,0.000010,0.999970,0.000010,0.000010
KP0146_HU_SB05,SB05,SB,05,16.7159943,-2.9849788,  0.414473405,-0.419847902,Clust2,0.000010,0.999970,0.000010,0.000010
KP0147_HU_SB05,SB05,SB,05,17.3485165,-3.0270551,  0.077767147, 0.275377732,Clust2,0.001124,0.998856,0.000010,0.000010
KP0148_HU_SB05,SB05,SB,05,15.5412816,-2.1171959, -0.001218964, 0.082483181,Clust2,0.000010,0.999970,0.000010,0.000010
KP0149_HU_SB05,SB05,SB,05,15.8472971,-3.0520427,  0.558667871, 0.331836607,Clust2,0.000010,0.999970,0.000010,0.000010
KP0159_AC_SQ12,SQ12,SQ,12,-8.1252468,-3.4929999, -0.937688454,-6.246159102,Clust4,0.325019,0.000010,0.000010,0.674961
KP0183_AC_SQ12,SQ12,SQ,12,-8.3751604,-3.8354232, -0.900273448,-6.739350556,Clust4,0.382214,0.000010,0.000010,0.617766
KP0184_AC_SQ12,SQ12,SQ,12,-8.4622041,-3.8396727, -0.990900315,-6.843497518,Clust4,0.395450,0.000010,0.000010,0.604530
KP0211_AC_SQ12,SQ12,SQ,12,-6.7927475,-1.8675731,  1.048396568,-5.212721374,Clust1,0.999970,0.000010,0.000010,0.000010
