,Individual,Sample,Species,Site,Depth,x,y,z,Clusters
821,KP0049_HU_SB10,KP0049,HU,SB10,10,31509,-28.711545396,-1.819506447,AH1
871,KP0099_AC_SB10,KP0099,AC,SB10,10,31520.726840564,-26.804285479,-1.816344444,AH1
883,KP0111_AC_SB10,KP0111,AC,SB10,10,31518.869951087,-28.281955245,-1.432833904,AH1
802,KP0134_HU_SB05,KP0134,HU,SB05,05,31509.568875821,11.491147752,-1.783077275,AH1
910,KP0184_AC_SQ12,KP0184,AC,SQ10,10,42882.0082962,-29.53874339,-0.794853174,AH1
937,KP0211_AC_SQ12,KP0211,AC,SQ10,10,42899.614178369,-26.570050782,-0.77820435,AH1
436,KP0378_AC_WP20,KP0378,AC,WP20,20,8.641066505,-47.597916374,0.386538281,AH1
605,KP0410_HU_CA05,KP0410,HU,CA05,05,17835.03402878,1.639067637,-0.957925667,AH1
608,KP0413_HU_CA05,KP0413,HU,CA05,05,17833.05915232,1.382650686,-0.927796424,AH1
609,KP0414_HU_CA05,KP0414,HU,CA05,05,17833.11215293,1.271374554,-0.942966771,AH1
611,KP0417_HU_CA05,KP0417,HU,CA05,05,17834.60478277,0.601843326,-0.69937803,AH1
612,KP0418_HU_CA05,KP0418,HU,CA05,05,17834.67340393,0.537323599,-0.742178589,AH1
616,KP0423_HU_CA05,KP0423,HU,CA05,05,17839.352627022,1.35861262,-1.128555379,AH1
621,KP0427_HU_CA05,KP0427,HU,CA05,05,17839.556070905,0.47361476,-1.204752033,AH1
626,KP0434_HU_CA05,KP0434,HU,CA05,05,17842.245824595,0.954368897,-0.867788852,AH1
627,KP0435_HU_CA05,KP0435,HU,CA05,05,17842.018672261,0.529159292,-0.753671892,AH1
630,KP0438_HU_CA05,KP0438,HU,CA05,05,17848.379436638,1.186964897,-1.04609396,AH1
631,KP0439_HU_CA05,KP0439,HU,CA05,05,17848.435370588,0.89034355,-1.026612897,AH1
488,KP0474_AC_WP20,KP0474,AC,WP20,20,12.936775538,-47.045906373,0.220361598,AH1
551,KP0540_AC_WP20,KP0540,AC,WP20,20,15.544146745,-47.273648204,0.940634625,AH1
563,KP0552_AC_WP20,KP0552,AC,WP20,20,16.991907461,-47.688359798,0.591178008,AH1
593,KP0582_AC_WP20,KP0582,AC,WP20,20,21.158049069,-47.542976448,0.592029381,AH1
228,KP0739_HU_WP10,KP0739,HU,WP10,10,6.00117722,-29.081269256,-4.062679573,AH1
253,KP0764_HU_WP10,KP0764,HU,WP10,10,1.526979998,-27.195348932,-4.205242278,AH1
277,KP0789_HU_WP10,KP0789,HU,WP10,10,10.924318134,-27.521565506,-4.143201127,AH1
292,KP0803_HU_WP10,KP0803,HU,WP10,10,10.18506905,-28.324482222,-4.679143326,AH1
294,KP0805_HU_WP10,KP0805,HU,WP10,10,9.718804898,-28.248112635,-4.367847329,AH1
303,KP0814_HU_WP10,KP0814,HU,WP10,10,9.306784287,-27.362257213,-4.148373818,AH1
315,KP0831_HU_WP10,KP0831,HU,WP10,10,15.018229259,-28.596159784,-4.394459862,AH1
320,KP0841_AC_WP10,KP0841,AC,WP10,10,14.64349861,-28.722702912,-3.780786741,AH1
321,KP0845_AC_WP10,KP0845,AC,WP10,10,14.51130275,-28.716323769,-3.795292493,AH1
328,KP0859_HU_WP10,KP0859,HU,WP10,10,12.864037197,-28.067330355,-4.049589277,AH1
201,KP0963_HU_WP05,KP0963,HU,WP05,05,0,0.490103122,-0.145061524,AH1
206,KP0968_HU_WP05,KP0968,HU,WP05,05,3.921608051,0.657324133,-0.294713838,AH1
208,KP0970_HU_WP05,KP0970,HU,WP05,05,4.615221174,1.574251782,-0.321665728,AH1
727,KP1116_AC_CA20,KP1116,AC,CA20,20,17844.154015576,-44.603472538,-1.595038296,AH1
792,KP1162_AC_CA20,KP1162,AC,CA20,20,17847.463941244,-43.810274332,-1.61567646,AH1
