Individual,Site,Loc,Depth,V1,V2,Clusters,Q.Clust1,Q.Clust2
KP0086_LM_SB10,SB10,SB,10,  4.018878,  0.54477188,Clust2,0.000010,0.999990
KP0096_AC_SB10,SB10,SB,10,-10.046818, -0.01722811,Clust1,0.999990,0.000010
KP0108_AC_SB10,SB10,SB,10,  3.476981,  0.47625093,Clust2,0.000010,0.999990
KP0186_AC_SQ12,SQ12,SQ,12,  5.397312,  0.61257922,Clust2,0.009559,0.990441
KP0192_AC_SQ12,SQ12,SQ,12,  5.033611,  0.44760134,Clust2,0.000010,0.999990
KP0203_AC_SQ12,SQ12,SQ,12,  4.701554,  0.41275408,Clust2,0.000010,0.999990
KP0207_LM_SQ12,SQ12,SQ,12,  4.132846,  0.24627147,Clust2,0.000010,0.999990
KP0249_LM_SQ20,SQ20,SQ,20,  4.173562,  0.57403891,Clust2,0.000010,0.999990
KP0252_LM_SQ20,SQ20,SQ,20,  4.526898,  0.27959319,Clust2,0.000010,0.999990
KP0253_LM_SQ20,SQ20,SQ,20,-10.009611,  0.47550373,Clust1,0.999990,0.000010
KP0254_LM_SQ20,SQ20,SQ,20,-10.269432,  0.47967490,Clust1,0.999990,0.000010
KP0282_LM_SQ20,SQ20,SQ,20,  4.414419,  0.51394244,Clust2,0.037895,0.962105
KP0285_LM_SQ20,SQ20,SQ,20, -8.698766,  0.26178198,Clust1,0.915671,0.084329
KP0290_LM_WP20,WP20,WP,20,  5.250710,  0.14655113,Clust2,0.019556,0.980444
KP0293_LM_WP20,WP20,WP,20,  4.651229,  0.30824948,Clust2,0.000010,0.999990
KP0308_LM_WP20,WP20,WP,20,  4.405747,  0.36182506,Clust2,0.000010,0.999990
KP0318_LM_WP20,WP20,WP,20,  4.611953, -0.37790930,Clust2,0.000010,0.999990
KP0319_LM_WP20,WP20,WP,20,  4.113388,  0.10429556,Clust2,0.000010,0.999990
KP0322_LM_WP20,WP20,WP,20, -8.932117,  0.29181211,Clust1,0.875708,0.124292
KP0328_LM_WP20,WP20,WP,20, -9.466820,  0.15783606,Clust1,0.999990,0.000010
KP0330_LM_WP20,WP20,WP,20, -8.848750,  0.28189960,Clust1,0.935568,0.064432
KP0341_LM_WP20,WP20,WP,20,  5.000656,  1.03285744,Clust2,0.000010,0.999990
KP0342_LM_WP20,WP20,WP,20,  5.093014,  1.03522653,Clust2,0.000010,0.999990
KP0343_LM_WP20,WP20,WP,20,  5.230908,  1.02481425,Clust2,0.000010,0.999990
KP0345_LM_WP20,WP20,WP,20,  4.769755,  0.90094414,Clust2,0.000010,0.999990
KP0348_LM_WP20,WP20,WP,20,  3.863537,  0.32622539,Clust2,0.101560,0.898440
KP0350_LM_WP20,WP20,WP,20,  4.739273,  0.59523205,Clust2,0.000010,0.999990
KP0375_LM_WP20,WP20,WP,20,  3.662400,  0.40961488,Clust2,0.000010,0.999990
KP0377_LM_WP20,WP20,WP,20, -8.987890,  0.71443141,Clust1,0.989620,0.010380
KP0380_LM_WP20,WP20,WP,20,  4.848742,  0.51245845,Clust2,0.000010,0.999990
KP0400_LM_WP20,WP20,WP,20, -9.835740,  0.18667004,Clust1,0.984398,0.015602
KP0459_LM_WP20,WP20,WP,20,  3.301733,  0.41526495,Clust2,0.000010,0.999990
KP0473_LM_WP20,WP20,WP,20, -9.319000,  0.49510844,Clust1,0.999990,0.000010
KP0482_LM_WP20,WP20,WP,20,  4.251168,  0.41244902,Clust2,0.000010,0.999990
KP0529_LM_WP20,WP20,WP,20,  1.300727,-34.01403732,Clust1,0.943832,0.056168
KP0547_LM_WP20,WP20,WP,20,-10.328889,  0.29841525,Clust1,0.999990,0.000010
KP0548_LM_WP20,WP20,WP,20, -9.819360,  0.39724664,Clust1,0.999990,0.000010
KP0551_LM_WP20,WP20,WP,20,  5.460147,  0.45528701,Clust2,0.000010,0.999990
KP0557_AC_WP20,WP20,WP,20,  4.611857,  0.79907127,Clust2,0.000010,0.999990
KP0558_LM_WP20,WP20,WP,20,  4.407310,  0.18835507,Clust2,0.000010,0.999990
KP0570_LM_WP20,WP20,WP,20,  4.808476,  0.70718303,Clust2,0.000010,0.999990
KP0585_LM_WP20,WP20,WP,20,  3.579682,  0.35972228,Clust2,0.000010,0.999990
KP0588_LM_WP20,WP20,WP,20,-10.015454,  0.61500587,Clust1,0.999990,0.000010
KP0599_LM_SB20,SB20,SB,20,  4.118222,  0.17973742,Clust2,0.000010,0.999990
KP0605_AC_SB20,SB20,SB,20,  3.140016,  0.45197574,Clust2,0.000010,0.999990
KP0609_AC_SB20,SB20,SB,20,  5.008460,  0.60281378,Clust2,0.026438,0.973562
KP0613_LM_SB20,SB20,SB,20,  4.307930,  0.77857848,Clust2,0.000010,0.999990
KP0614_LM_SB20,SB20,SB,20,  4.531867,  0.28388108,Clust2,0.049921,0.950079
KP0616_LM_SB20,SB20,SB,20,  4.256089,  0.35897193,Clust2,0.052090,0.947910
KP0617_LM_SB20,SB20,SB,20,  4.085504,  0.83892428,Clust2,0.000010,0.999990
KP0618_LM_SB20,SB20,SB,20,-10.070433,  0.28284170,Clust1,0.917776,0.082224
KP0620_LM_SB20,SB20,SB,20,  4.078978,  0.64739615,Clust2,0.000010,0.999990
KP0629_LM_SB20,SB20,SB,20,  5.041731,  0.28615512,Clust2,0.099228,0.900772
KP0631_LM_SB20,SB20,SB,20,  3.632107, -4.89111527,Clust2,0.476389,0.523611
KP0634_LM_SB20,SB20,SB,20,  5.134653,  0.37763711,Clust2,0.000010,0.999990
KP0637_LM_SB20,SB20,SB,20, -8.820586, -0.08708511,Clust1,0.999990,0.000010
KP0650_LM_SB20,SB20,SB,20,  4.227171,  0.33697546,Clust2,0.021111,0.978889
KP0657_LM_SB20,SB20,SB,20,  6.186002,  0.78723001,Clust2,0.000010,0.999990
KP0659_LM_SB20,SB20,SB,20,  5.971806,  0.77620180,Clust2,0.000010,0.999990
KP0664_LM_SB20,SB20,SB,20,-10.766232,  0.13635249,Clust1,0.934813,0.065187
KP0666_LM_SB20,SB20,SB,20, -9.437566,  0.27596323,Clust1,0.968467,0.031533
KP0670_LM_SB20,SB20,SB,20, -2.892897,  0.19759931,Clust1,0.529625,0.470375
KP0671_AC_SB20,SB20,SB,20,  5.212913,  0.33120449,Clust2,0.025913,0.974087
KP0676_LM_SB20,SB20,SB,20, -9.464793,  0.29882989,Clust1,0.999990,0.000010
KP0677_LM_SB20,SB20,SB,20,  4.387158,  0.48865609,Clust2,0.000010,0.999990
KP0680_LM_SB20,SB20,SB,20,  4.931953, -0.23946667,Clust2,0.000010,0.999990
KP0682_LM_SB20,SB20,SB,20,  4.293562,  0.54857415,Clust2,0.000010,0.999990
KP0694_LM_SB20,SB20,SB,20,  4.157891,  0.39485983,Clust2,0.000010,0.999990
KP0706_LM_SB20,SB20,SB,20,  4.260696,  0.31548052,Clust2,0.000010,0.999990
KP0707_LM_SB20,SB20,SB,20,  4.831641,  0.26014188,Clust2,0.000010,0.999990
KP0716_LM_SB20,SB20,SB,20, -9.737521,  0.57556034,Clust1,0.999990,0.000010
KP0718_LM_SB20,SB20,SB,20,  4.686669,  0.45797712,Clust2,0.000010,0.999990
KP0723_NA_NANA,SB20,SB,20,  4.012383,  0.49448509,Clust2,0.055413,0.944587
KP0731_LM_SB20,SB20,SB,20, -9.725302,  0.43298727,Clust1,0.999990,0.000010
KP0732_LM_SB20,SB20,SB,20,  4.697055,  0.57537241,Clust2,0.000010,0.999990
KP0765_AC_WP10,WP10,WP,10,  4.512776,  0.57743249,Clust2,0.000010,0.999990
KP0795_LM_WP10,WP10,WP,10,  3.916089,  0.44860844,Clust2,0.000010,0.999990
KP0851_AC_WP10,WP10,WP,10,-10.182667,  0.15483981,Clust1,0.999990,0.000010
KP0870_LM_WP10,WP10,WP,10, -8.685225,  0.24401592,Clust1,0.999990,0.000010
KP0893_LM_WP10,WP10,WP,10,  4.497703,  0.32270756,Clust2,0.000010,0.999990
KP1043_LM_CA10,CA10,CA,10, -8.817255,  0.53467702,Clust1,0.999990,0.000010
KP1058_LM_CA20,CA20,CA,20,-10.287457,  0.73775664,Clust1,0.999990,0.000010
KP1059_LM_CA20,CA20,CA,20,  5.197498,  0.35129936,Clust2,0.000010,0.999990
KP1061_LM_CA20,CA20,CA,20,  5.337115,  0.35223454,Clust2,0.000010,0.999990
KP1064_LM_CA20,CA20,CA,20,-11.432724,  0.73443894,Clust1,0.999990,0.000010
KP1065_LM_CA20,CA20,CA,20,-10.544966,  0.51820153,Clust1,0.999990,0.000010
KP1093_LM_CA20,CA20,CA,20, -9.550222, -3.68008475,Clust1,0.999990,0.000010
KP1094_LM_CA20,CA20,CA,20, -8.463007,  0.36872534,Clust1,0.999990,0.000010
KP1095_HU_CA20,CA20,CA,20,  5.057267,  0.17715960,Clust2,0.079233,0.920767
KP1101_LM_CA20,CA20,CA,20, -9.645980,  0.28970010,Clust1,0.955149,0.044851
KP1103_LM_CA20,CA20,CA,20,  5.054337,  0.37386075,Clust2,0.000010,0.999990
KP1118_LM_CA20,CA20,CA,20,  3.920282,  0.17943183,Clust2,0.000010,0.999990
KP1119_LM_CA20,CA20,CA,20,  4.678995,  0.65015240,Clust2,0.000010,0.999990
KP1123_LM_CA20,CA20,CA,20, -9.806995,  0.57602751,Clust1,0.999990,0.000010
KP1124_AC_CA20,CA20,CA,20,  4.680038,  0.77219054,Clust2,0.000010,0.999990
KP1126_LM_CA20,CA20,CA,20, -9.606084,  0.28799828,Clust1,0.944676,0.055324
KP1133_LM_CA20,CA20,CA,20,  4.758723,  0.28311060,Clust2,0.000010,0.999990
KP1144_LM_CA20,CA20,CA,20,  4.632489,  0.31366776,Clust2,0.000010,0.999990
KP1160_UN_CA20,CA20,CA,20,  4.510182,  0.54012745,Clust2,0.000010,0.999990
KP1164_LM_CA20,CA20,CA,20,  4.416491,  0.38409288,Clust2,0.098071,0.901929
KP1166_LM_CA20,CA20,CA,20,  4.361580,  0.04768619,Clust2,0.099785,0.900215
KP1167_LM_CA20,CA20,CA,20, -9.508893,  0.46554395,Clust1,0.999990,0.000010
KX0330_LM_WP20,WP20,WP,20, -9.076678,  0.33937054,Clust1,0.912715,0.087285
KX0657_LM_SB20,SB20,SB,20,  5.916070,  0.71127569,Clust2,0.000010,0.999990
KY0578_AC_WP20,WP20,WP,20,  4.623565, -0.06158778,Clust2,0.016469,0.983531
