,Individual,Sample,Species,Site,Depth,x,y,z,Clusters
156,KP0254_LM_SQ20,KP0254,LM,SQ20,20,42905.401226409,-45.633494009,-1.350033426,AL1
182,KP0285_LM_SQ20,KP0285,LM,SQ20,20,42905.399880488,-46.205789567,-1.766138753,AL1
380,KP0322_LM_WP20,KP0322,LM,WP20,20,5.34502873,-47.186605773,-0.107342977,AL1
386,KP0328_LM_WP20,KP0328,LM,WP20,20,9.33865853,-45.274153268,0.747338708,AL1
435,KP0377_LM_WP20,KP0377,LM,WP20,20,8.246407384,-47.779328301,0.427834283,AL1
458,KP0400_LM_WP20,KP0400,LM,WP20,20,13.5807825,-46.205163358,-0.237992851,AL1
487,KP0473_LM_WP20,KP0473,LM,WP20,20,12.96452452,-47.082338534,0.16340877,AL1
558,KP0547_LM_WP20,KP0547,LM,WP20,20,16.247389406,-47.522443078,0.486946049,AL1
559,KP0548_LM_WP20,KP0548,LM,WP20,20,16.137830909,-47.182011252,0.156314242,AL1
598,KP0588_LM_WP20,KP0588,LM,WP20,20,23.428362333,-46.828182017,0.671562953,AL1
6,KP0618_LM_SB20,KP0618,LM,SB20,20,31510.350340399,-43.840435832,2.310440855,AL1
51,KP0664_LM_SB20,KP0664,LM,SB20,20,31515.039977192,-43.139230041,1.941256546,AL1
53,KP0666_LM_SB20,KP0666,LM,SB20,20,31514.685638489,-43.108982372,2.005710655,AL1
62,KP0676_LM_SB20,KP0676,LM,SB20,20,31522.497081302,-39.443899343,1.831340067,AL1
114,KP0731_LM_SB20,KP0731,LM,SB20,20,31529.289710472,-39.339297247,1.649659398,AL1
694,KP1043_LM_CA10,KP1043,LM,CA10,10,17850.179166959,-29.761398933,-2.675401614,AL1
706,KP1065_LM_CA20,KP1065,LM,CA20,20,17831.510078381,-45.810718572,-1.921192264,AL1
717,KP1094_LM_CA20,KP1094,LM,CA20,20,17833.253210944,-45.785899463,-1.630806367,AL1
745,KP1101_LM_CA20,KP1101,LM,CA20,20,17836.022855292,-44.686190523,-1.726175847,AL1
755,KP1123_LM_CA20,KP1123,LM,CA20,20,17838.773397448,-44.426941319,-1.425335041,AL1
