Sample Species Site Loc Depth all_groups Groups Clusters Freq clones
KP0046_AC_SB10 AC SB10 SB 10 318_AA2 318 AA2 1 non-clone
KP0050_AC_SB10 AC SB10 SB 10 63_AA2 63 AA2 1 non-clone
KP0052_AC_SB10 AC SB10 SB 10 48_AA2 48 AA2 5 48_AA2
KP0053_AC_SB10 AC SB10 SB 10 48_AA2 48 AA2 5 48_AA2
KP0054_AC_SB10 AC SB10 SB 10 48_AA2 48 AA2 5 48_AA2
KP0055_AC_SB10 AC SB10 SB 10 48_AA2 48 AA2 5 48_AA2
KP0056_AC_SB10 AC SB10 SB 10 48_AA2 48 AA2 5 48_AA2
KP0057_AC_SB10 AC SB10 SB 10 84_AA2 84 AA2 1 non-clone
KP0058_AC_SB10 AC SB10 SB 10 42_AA2 42 AA2 3 42_AA2
KP0059_AC_SB10 AC SB10 SB 10 42_AA2 42 AA2 3 42_AA2
KP0060_AC_SB10 AC SB10 SB 10 291_AA2 291 AA2 1 non-clone
KP0061_AC_SB10 AC SB10 SB 10 90_AA2 90 AA2 2 90_AA2
KP0062_AC_SB10 AC SB10 SB 10 90_AA2 90 AA2 2 90_AA2
KP0063_AC_SB10 AC SB10 SB 10 91_AA2 91 AA2 6 91_AA2
KP0064_AC_SB10 AC SB10 SB 10 91_AA2 91 AA2 6 91_AA2
KP0065_AC_SB10 AC SB10 SB 10 91_AA2 91 AA2 6 91_AA2
KP0069_AC_SB10 AC SB10 SB 10 91_AA2 91 AA2 6 91_AA2
KP0070_AC_SB10 AC SB10 SB 10 57_AA2 57 AA2 2 57_AA2
KP0072_AC_SB10 AC SB10 SB 10 57_AA2 57 AA2 2 57_AA2
KP0074_AC_SB10 AC SB10 SB 10 91_AA2 91 AA2 6 91_AA2
KP0077_AC_SB10 AC SB10 SB 10 91_AA2 91 AA2 6 91_AA2
KP0078_AC_SB10 AC SB10 SB 10 41_AA2 41 AA2 1 non-clone
KP0080_AC_SB10 AC SB10 SB 10 40_AA2 40 AA2 2 40_AA2
KP0081_AC_SB10 AC SB10 SB 10 40_AA2 40 AA2 2 40_AA2
KP0088_AC_SB10 AC SB10 SB 10 42_AA2 42 AA2 3 42_AA2
KP0089_AC_SB10 AC SB10 SB 10 300_AA2 300 AA2 1 non-clone
KP0095_AC_SB10 AC SB10 SB 10 289_AA2 289 AA2 1 non-clone
KP0100_AC_SB10 AC SB10 SB 10 92_AA2 92 AA2 3 92_AA2
KP0101_AC_SB10 AC SB10 SB 10 85_AA2 85 AA2 1 non-clone
KP0102_AC_SB10 AC SB10 SB 10 62_AA2 62 AA2 3 62_AA2
