,het,het_frac,num_loci
KP0218_AC_SQ20,98,0.213507625272331,459
KP0235_AC_SQ20,76,0.22093023255814,344
KP0241_AC_SQ20,104,0.224137931034483,464
KP0243_AC_SQ20,102,0.226666666666667,450
KP0247_AC_SQ20,118,0.25764192139738,458
KP0255_AC_SQ20,102,0.220302375809935,463
KP0259_AC_SQ20,111,0.239224137931034,464
KP0311_AC_WP20,105,0.228260869565217,460
KP0347_AC_WP20,102,0.222222222222222,459
KP0369_AC_WP20,109,0.239035087719298,456
KP0379_AC_WP20,66,0.204334365325077,323
KP0395_AC_WP20,100,0.216450216450216,462
KP0396_AC_WP20,102,0.219827586206897,464
KP0399_LM_WP20,101,0.223451327433628,452
KP0452_AC_WP20,103,0.229398663697105,449
KP0463_AC_WP20,74,0.241042345276873,307
KP0486_AC_WP20,89,0.202272727272727,440
KP0559_AC_WP20,83,0.218421052631579,380
KP0563_AC_WP20,87,0.19205298013245,453
KP0569_AC_WP20,98,0.213507625272331,459
KP0575_AC_WP20,104,0.225596529284165,461
KP0576_AC_WP20,90,0.194805194805195,462
KP0581_AC_WP20,104,0.226579520697168,459
KP0584_AC_WP20,98,0.215859030837004,454
KP0590_AC_WP20,108,0.236842105263158,456
KP0607_AC_SB20,106,0.231947483588621,457
KP0678_AC_SB20,108,0.237885462555066,454
KP0690_AC_SB20,92,0.206741573033708,445
KP0696_AC_SB20,111,0.24025974025974,462
KP0769_AC_WP10,106,0.230936819172113,459
KP0938_HU_WP10,97,0.209051724137931,464
KP1045_AC_CA10,84,0.207920792079208,404
KP1121_AC_CA20,109,0.247165532879819,441
KP1132_AC_CA20,96,0.220689655172414,435
KP1147_AC_CA20,68,0.204819277108434,332
