,het,het_frac,num_loci
KP0138_HU_SB05,12,0.0222634508348794,539
KP0143_HU_SB05,14,0.0257352941176471,544
KP0436_HU_CA05,11,0.0217821782178218,505
KP0437_HU_CA05,13,0.024904214559387,522
KP0744_HU_WP10,15,0.0265957446808511,564
KP0768_HU_WP10,11,0.020109689213894,547
KP0826_AC_WP10,10,0.018018018018018,555
KP0888_AC_WP10,74,0.134790528233151,549
KP0901_HU_WP10,69,0.124773960216998,553
KP0903_HU_WP10,180,0.31413612565445,573
KP0954_HU_WP05,13,0.0237226277372263,548
KP0957_HU_WP05,14,0.0246045694200351,569
KP0958_HU_WP05,16,0.0297951582867784,537
KP0961_HU_WP05,12,0.0237623762376238,505
KP0964_HU_WP05,16,0.0280210157618214,571
