,het,het_frac,num_loci
KP0096_AC_SB10,109,0.206049149338374,529
KP0254_LM_SQ20,107,0.197416974169742,542
KP0285_LM_SQ20,107,0.228144989339019,469
KP0322_LM_WP20,100,0.206611570247934,484
KP0328_LM_WP20,108,0.203389830508475,531
KP0377_LM_WP20,100,0.191570881226054,522
KP0400_LM_WP20,102,0.192452830188679,530
KP0473_LM_WP20,97,0.182674199623352,531
KP0547_LM_WP20,99,0.188571428571429,525
KP0548_LM_WP20,102,0.191011235955056,534
KP0588_LM_WP20,115,0.219465648854962,524
KP0618_LM_SB20,114,0.214689265536723,531
KP0664_LM_SB20,97,0.183364839319471,529
KP0666_LM_SB20,97,0.201663201663202,481
KP0676_LM_SB20,90,0.189075630252101,476
KP0731_LM_SB20,126,0.236397748592871,533
KP0851_AC_WP10,117,0.216666666666667,540
KP0870_LM_WP10,115,0.222437137330754,517
KP1043_LM_CA10,100,0.198412698412698,504
KP1064_LM_CA20,107,0.198148148148148,540
KP1065_LM_CA20,113,0.21003717472119,538
KP1093_LM_CA20,158,0.309803921568627,510
KP1094_LM_CA20,74,0.162995594713656,454
KP1101_LM_CA20,111,0.210626185958254,527
KP1123_LM_CA20,115,0.217391304347826,529
KP1126_LM_CA20,115,0.213754646840149,538
KP1167_LM_CA20,97,0.185114503816794,524
KX0330_LM_WP20,99,0.199596774193548,496
