,taxa.geodist$Individual,PC1xy,PC2xy,x,y,z
835,KP0046_AC_SB10,-14964.1791015972,-7.47604208367907,31510.9863910583,-28.4880162815695,-10.1053635952887
839,KP0050_AC_SB10,-14966.215720122,-5.96404546196777,31513.0230191625,-30,-10.3785791469728
844,KP0055_AC_SB10,-14970.9527567933,-7.75948924746178,31517.7600444585,-28.2045262024559,-10.0300479526872
846,KP0057_AC_SB10,-14971.1502554192,-7.87874067637092,31517.9575423288,-28.085273522272,-10.1145832757884
847,KP0058_AC_SB10,-14970.2492710025,-7.38181515244189,31517.0565610605,-28.5822047544901,-9.82497732169825
849,KP0060_AC_SB10,-14970.1418697822,-7.57444213282747,31516.9491586198,-28.3895784545622,-9.95124294442956
850,KP0061_AC_SB10,-14969.9971124196,-7.93508684959152,31516.8043989723,-28.0289346549337,-9.80471338351038
861,KP0072_AC_SB10,-14969.0098586179,-6.21135220347911,31515.8171560915,-29.752675555881,-10.1029457969286
863,KP0074_AC_SB10,-14969.3119461881,-6.75256458785593,31516.1192402328,-29.2114612576016,-9.84450579729747
867,KP0078_AC_SB10,-14969.6074318738,-6.5263100259343,31516.4147273519,-29.4377139474323,-9.72527681047421
870,KP0081_AC_SB10,-14970.1019498762,-6.6222342342326,31516.9092447466,-29.3417866060555,-9.46393663743367
878,KP0089_AC_SB10,-14970.8026176101,-6.67047422867753,31517.6099121748,-29.2935421724438,-9.63637692266166
884,KP0095_AC_SB10,-14970.9735607775,-6.76446710937377,31517.7808547467,-29.1995482087177,-9.76477818091471
889,KP0100_AC_SB10,-14974.0306620707,-8.27075785279471,31520.8379464966,-27.6932380966808,-10.1177516535554
890,KP0101_AC_SB10,-14973.0760374824,-8.72358779354254,31519.8833190393,-27.2404142040851,-9.67661681188651
891,KP0102_AC_SB10,-14972.4924860613,-7.95502737692666,31519.2997724876,-28.0089783178483,-9.87596282971631
893,KP0104_AC_SB10,-14972.2404419131,-8.0117233499017,31519.0477279802,-27.9522839417315,-9.85067411552293
901,KP0112_AC_SB10,-14972.2840831736,-7.36150875586701,31519.0913733602,-28.6024982592585,-10.2848114147654
905,KP0116_AC_SB10,-14974.8087231623,-8.25711335494744,31521.6160076746,-27.7068776650248,-10.3445826964339
909,KP0120_AC_SB10,-14980.5703174717,-9.00037466946504,31527.3775972749,-26.9635798472234,-10.0020553784089
910,KP0121_AC_SB10,-14980.5197365985,-8.51862414350779,31527.3270194539,-27.4453306936324,-10.3278135396298
911,KP0122_AC_SB10,-14978.3422999181,-9.6089325365147,31525.1495758657,-26.3550360960688,-9.85297926092325
912,KP0123_AC_SB10,-14978.6355473278,-7.88764896286055,31525.4428341808,-28.0763178117829,-10.1412795992128
914,KP0125_AC_SB10,-14978.785351955,-8.53159322832419,31525.5926347282,-27.4323725972263,-10.2837110009536
916,KP0127_AC_SB10,-14980.8735300178,-8.1449249747183,31527.6808152408,-27.8190276209121,-10.4151347424447
918,KP0129_AC_SB10,-14980.4605654447,-7.58691258722931,31527.267854203,-28.3770426247784,-10.7146414891157
816,KP0131_HU_SB05,-14962.1929740332,-49.0653719263731,31509,13.1013009769311,-5.98067278146416
957,KP0153_AC_SQ12,-26333.1927129701,-7.82376145192648,42880,-28.0682671108747,-11.3045910282745
963,KP0158_AC_SQ12,-26338.183503135,-7.19150380936568,42884.9907941706,-28.7004931336498,-12.0682865194548
972,KP0167_AC_SQ12,-26335.3413947532,-7.47497440921229,42882.1486839928,-28.4170405403407,-11.3395229217561
982,KP0168_AC_SQ12,-26335.3574853916,-7.48376874300522,42882.1647745755,-28.4082461046037,-11.3872189746682
970,KP0171_AC_SQ12,-26335.0277811143,-6.99828104459201,42881.8350733741,-28.8937358918897,-11.3348764144481
975,KP0172_AC_SQ12,-26335.0726320538,-6.25184304576811,42881.8799290428,-29.6401736065399,-11.4664220792639
979,KP0176_AC_SQ12,-26335.1535701241,-6.07025704346944,42881.9608682635,-29.8217590960417,-11.4415806245657
924,KP0181_AC_SQ12,-26335.2893490742,-6.19827314721445,42882.0966464025,-29.6937421320548,-11.3938611480534
930,KP0187_AC_SQ12,-26335.7744887108,-6.65493094907029,42882.5817831459,-29.2370812565455,-11.3887372296113
932,KP0189_AC_SQ12,-26341.9423230967,-7.37343791175268,42888.7496129795,-28.5185352167942,-12.5026248859588
933,KP0190_AC_SQ12,-26341.9646974771,-7.02342033286767,42888.7719895775,-28.8685526539165,-12.6616948977142
940,KP0197_AC_SQ12,-26344.7407073836,-9.2811736260035,42891.5479851797,-26.6107817730693,-12.4396338031431
945,KP0202_AC_SQ12,-26344.4603697256,-9.18269175928019,42891.2676481456,-26.7092654159048,-12.793102585379
952,KP0209_AC_SQ12,-26348.7456827573,-8.20700293880479,42895.5529673588,-27.6849270862259,-13.2291007857796
150,KP0214_AC_SQ20,-26337.6547712349,9.23094002842737,42884.4621663169,-45.1229403209601,-19.6633211875679
123,KP0220_AC_SQ20,-26334.8884159595,9.23634562190892,42881.6958110758,-45.1283634410301,-19.7694217874385
125,KP0222_AC_SQ20,-26334.651171157,9.68618997431703,42881.4585691234,-45.5782092965232,-19.2598632553813
127,KP0225_AC_SQ20,-26333.1925962735,10.5953483653765,42880,-46.4873769285473,-19.4767997979341
131,KP0229_AC_SQ20,-26333.8669790388,10.1062635029832,42880.6743796666,-45.9982877935278,-19.2988479077355
138,KP0236_AC_SQ20,-26336.8984411924,9.99203929500652,42883.7058410965,-45.8840443793472,-19.6140676894221
139,KP0237_AC_SQ20,-26343.5657920714,9.99221706353456,42890.3731919765,-45.8841799060429,-19.7446121161159
144,KP0242_AC_SQ20,-26341.252163733,9.30126792726534,42888.0595592605,-45.1932454280682,-20.0727870706897
154,KP0251_AC_SQ20,-26350.9772781874,8.81477632474687,42897.7846706325,-44.706692210885,-20.3142683338182
160,KP0257_AC_SQ20,-26357.3811226781,9.76287824222377,42904.1885211299,-45.6547535559881,-20.8279658967712
163,KP0261_AC_SQ20,-26357.2025421641,9.8590796676502,42904.0099412254,-45.7509561128317,-20.7044987314912
188,KP0269_AC_SQ20,-26354.9811981304,9.94368081132876,42901.7885977277,-45.8355713301105,-20.0319846777589
172,KP0272_AC_SQ20,-26354.7673198641,9.25696431321918,42901.5747151106,-45.1488561870671,-20.3221872611095
180,KP0279_AC_SQ20,-26354.1138802762,10.3648908504782,42900.9212825422,-46.2567868642518,-19.8782207496301
186,KP0284_AC_SQ20,-26357.3226339128,11.2631243157029,42904.1300418696,-47.155,-20.4233636066344
348,KP0289_AC_WP20,16541.8897127468,10.9109832512663,4.91769383992117,-47.0746522411644,-20.4013529690181
350,KP0291_AC_WP20,16542.2472405344,10.9460595244958,4.56016627452471,-47.1097307795551,-20.4337141732129
351,KP0292_AC_WP20,16542.2710883751,11.111448999898,4.53631948170448,-47.2751204060449,-20.1139962799704
353,KP0294_AC_WP20,16543.6497466736,11.7664420155179,3.15766533302969,-47.9301221563131,-20.5660390872061
355,KP0296_AC_WP20,16544.045284075,11.9486771954477,2.76212908623279,-48.1123598422157,-20.194316198551
360,KP0301_AC_WP20,16544.2031404835,11.6069403683518,2.60427051262871,-47.7706240152456,-20.3871935198012
363,KP0304_AC_WP20,16544.4427978544,11.6742773969127,2.36461356832712,-47.8379625621843,-20.3635857780844
364,KP0305_AC_WP20,16546.4880853688,10.38908108564,0.319317911466353,-46.5527792091113,-19.1220591070129
373,KP0314_AC_WP20,16544.1412474157,12.0467535890264,2.66616636690011,-48.2104368437802,-20.451562458159
376,KP0317_AC_WP20,16543.5259655774,12.093878082911,3.28144850372569,-48.2575574394691,-20.6588342669391
382,KP0323_AC_WP20,16537.2133071351,10.2082439868188,9.59409499919165,-46.3718833487805,-19.0732927136893
385,KP0326_AC_WP20,16537.4533690557,9.51273495915311,9.35402867213522,-45.676375842071,-18.9750985715418
388,KP0329_AC_WP20,16537.777986097,9.40698414662607,9.02941096087448,-45.5706270861978,-19.3807568492618
391,KP0332_AC_WP20,16538.0695600586,10.1974133344315,8.73784200710616,-46.3610581212905,-19.7125208226653
394,KP0335_AC_WP20,16538.3210641994,9.90525148456997,8.48633601529862,-46.0688978648707,-19.3297450290237
399,KP0340_AC_WP20,16538.5453036574,10.2451536155758,8.26209871076327,-46.4088014165667,-19.712235341913
