,taxa.geodist$Individual,PC1xy,PC2xy,x,y,z
875,KP0086_LM_SB10,-12754.0962939314,-13.7395912691477,31516.8394567971,-28.9339126362161,-9.84989286381656
950,KP0207_LM_SQ12,-24131.9433283081,-13.9577376622306,42894.6864314537,-27.7479275437585,-13.2256773768988
189,KP0249_LM_SQ20,-24135.3486744572,2.85400066007876,42898.0932076546,-44.5593761348194,-20.522044825623
155,KP0252_LM_SQ20,-24136.2827951529,4.98785957146799,42899.0275098603,-46.6931555789777,-20.2813171311764
182,KP0282_LM_SQ20,-24140.7133168378,5.10589461237564,42903.4580415696,-46.810813744085,-20.5806785216189
349,KP0290_LM_WP20,18758.0189889391,1.4836539501748,4.72558287556196,-46.8376864279474,-20.4803520319295
352,KP0293_LM_WP20,18758.823099133,2.76999078181225,3.92158210473855,-48.1240916553026,-20.7138725008251
367,KP0308_LM_WP20,18761.7332147829,3.28957296568648,1.01151066278985,-48.6439213817173,-20.4826529587633
378,KP0319_LM_WP20,18758.2676552863,3.01286713413549,4.47704660939838,-48.3669207587881,-20.8485156721693
400,KP0341_LM_WP20,18754.3935360058,0.941546716514243,8.35098968223083,-46.2952708027846,-20.2020365378862
407,KP0348_LM_WP20,18755.0776737499,1.59415549833758,7.66690745377005,-46.9479377773503,-20.428868700071
409,KP0350_LM_WP20,18755.6629112496,2.12587259572381,7.08171518584771,-47.4797046551222,-20.5812946728873
434,KP0375_LM_WP20,18754.630037953,2.39057233502452,8.11461099498631,-47.7443165337194,-20.4522658209002
439,KP0380_LM_WP20,18753.8448381475,2.5724798394519,8.89982627126641,-47.9261572456996,-20.5276825451993
474,KP0459_LM_WP20,18752.2954562415,0.595273700128624,10.449039983765,-45.9488193177896,-20.4136935718521
497,KP0482_LM_WP20,18747.568767271,1.99506870658535,15.1758480085338,-47.3482122508034,-20.7831358518611
564,KP0551_LM_WP20,18746.1158591694,2.32767048449796,16.6287843971246,-47.6806904381654,-20.4080398938951
571,KP0558_LM_WP20,18743.7064972043,1.87058536494758,19.0381074722528,-47.2234003716747,-20.6052578101401
583,KP0570_LM_WP20,18739.5505150186,-0.127546488861242,23.193919674967,-45.2249150029932,-19.9848605511222
598,KP0585_LM_WP20,18740.3761129454,1.11120721945749,22.3684271237925,-46.4637389350221,-20.2637958824607
1,KP0613_LM_SB20,-12749.7035017607,1.84128865199882,31512.4479900054,-44.5151661669641,-21.4594017211228
2,KP0614_LM_SB20,-12748.2903493443,1.80920582586232,31511.034834865,-44.483203548536,-21.6612036695171
4,KP0616_LM_SB20,-12747.9709437945,1.3910216170578,31510.7153937442,-44.0650465109762,-21.5029943581007
5,KP0617_LM_SB20,-12748.5899069277,2.57213050587696,31511.3344573443,-45.2461027443948,-22.0092861938964
8,KP0620_LM_SB20,-12747.4413818757,1.19920171276734,31510.1858155104,-43.8732716537332,-20.8550595338202
17,KP0629_LM_SB20,-12746.6842208231,1.5258580792452,31509.4286822471,-44.1999924257458,-20.6853617013379
19,KP0631_LM_SB20,-12746.3789441402,1.66711302438505,31509.1234175809,-44.3412733382565,-21.1961065410654
22,KP0634_LM_SB20,-12746.2555894492,0.927777992793137,31509,-43.6019488023126,-20.5854213090964
38,KP0650_LM_SB20,-12754.062178721,0.0911634866043255,31516.8065180783,-42.7646702438868,-20.030361658762
45,KP0657_LM_SB20,-12760.5416397716,-0.0851823538584822,31523.2859641048,-42.5877732388774,-19.9577647115488
66,KP0680_LM_SB20,-12759.3088743822,-0.15939379664627,31522.0531924072,-42.5136666596111,-20.0238775343277
68,KP0682_LM_SB20,-12759.4370264181,-0.517112947190064,31522.1813140138,-42.1559366093097,-19.6860852960262
80,KP0694_LM_SB20,-12758.3233330035,0.721233382606999,31521.0677259412,-43.3943776692089,-20.9501809973879
91,KP0706_LM_SB20,-12764.1400365429,-0.637554000917525,31526.8843138765,-42.0350955018432,-19.5273967995379
92,KP0707_LM_SB20,-12762.1795922718,-1.4354267858933,31524.9238017427,-41.237389481869,-19.1932657405903
102,KP0718_LM_SB20,-12761.4747528628,-0.0484598544432673,31524.2190803164,-42.6244163643592,-20.1184515444049
116,KP0732_LM_SB20,-12769.1677235057,-1.29250783500597,31531.9119451085,-41.3797139978239,-18.5653539543838
284,KP0795_LM_WP10,18752.6890614275,-16.2701877780698,10.0540001651356,-29.083391382016,-10.6015124011839
339,KP0893_LM_WP10,18745.1193149749,-16.3105451304133,17.6237431574919,-29.0423901212174,-11.072574892238
707,KP1061_LM_CA20,928.87812188086,2.39775845366653,17833.8664631867,-46.2351830435579,-18.8299679622146
746,KP1103_LM_CA20,925.341045834967,1.20946760849933,17837.4034381397,-45.0465913268675,-19.0086887548413
730,KP1118_LM_CA20,917.260404279921,1.57194285348684,17845.4841104989,-45.4083792034525,-19.9139929272174
753,KP1119_LM_CA20,920.972284551317,1.62262585549681,17841.7722345522,-45.4593779505485,-20.274936440013
760,KP1133_LM_CA20,916.219969859091,0.791599715900865,17846.5244785373,-44.6279475657687,-21.0240850715574
782,KP1144_LM_CA20,912.91018222029,0.123555584835051,17849.834209338,-43.9596218952291,-21.9180399841721
795,KP1164_LM_CA20,914.010888686628,0.871422830774685,17848.7335664918,-44.707582768331,-20.7193481936395
797,KP1166_LM_CA20,914.867967469867,1.21860658441917,17847.8765172443,-45.0548394267809,-20.9977959653616
