Individual Sample Species Site Loc Depth x y z clone clone_group Clusters
KP0613_LM_SB20 KP0613 LM SB20 SB 20 31512.4479900054 -44.5151661669641 -21.4588700001173 lm.mlg non-clone AL2
KP0614_LM_SB20 KP0614 LM SB20 SB 20 31511.034834865 -44.483203548536 -21.6606719485115 lm.mlg non-clone AL2
KP0616_LM_SB20 KP0616 LM SB20 SB 20 31510.7153937442 -44.0650465109762 -21.5024626370952 lm.mlg non-clone AL2
KP0617_LM_SB20 KP0617 LM SB20 SB 20 31511.3344573443 -45.2461027443948 -22.0087544728909 lm.mlg non-clone AL2
KP0618_LM_SB20 KP0618 LM SB20 SB 20 31510.2914371164 -44.0787674348274 -20.7901814630294 lm.mlg non-clone AL1
KP0620_LM_SB20 KP0620 LM SB20 SB 20 31510.1858155104 -43.8732716537332 -20.8545278128146 lm.mlg non-clone AL2
KP0625_AC_SB20 KP0625 AC SB20 SB 20 31510.4024016061 -44.9427855932659 -21.3000987555297 ac.mlg non-clone AA2
KP0626_AC_SB20 KP0626 AC SB20 SB 20 31510.0363288441 -43.6645255574377 -20.3489317309586 ac.mlg non-clone AA2
KP0629_LM_SB20 KP0629 LM SB20 SB 20 31509.4286822471 -44.1999924257458 -20.6848299803323 lm.mlg non-clone AL2
KP0631_LM_SB20 KP0631 LM SB20 SB 20 31509.1234175809 -44.3412733382565 -21.1955748200599 lm.mlg non-clone AL2
KP0634_LM_SB20 KP0634 LM SB20 SB 20 31509 -43.6019488023126 -20.5848895880909 lm.mlg non-clone AL2
KP0636_AC_SB20 KP0636 AC SB20 SB 20 31518.921550894 -43.0887561400643 -19.9190543192264 ac.mlg non-clone AA2
KP0637_LM_SB20 KP0637 LM SB20 SB 20 31517.683938012 -44.0925389867666 -21.1009663302862 clone 64_AL1 AL1
KP0638_AC_SB20 KP0638 AC SB20 SB 20 31518.6300994828 -42.8315641232949 -20.0933005029081 ac.mlg non-clone AA2
KP0639_LM_SB20 KP0639 LM SB20 SB 20 31517.3731329065 -44.0662187378273 -20.9807060960167 hu.mlg 69_AH1 AH1
KP0640_AC_SB20 KP0640 AC SB20 SB 20 31518.8780380057 -42.5236617471326 -20.1105528470183 ac.mlg non-clone AA2
KP0643_AC_SB20 KP0643 AC SB20 SB 20 31517.0155492521 -44.5504617109342 -21.3656341582675 ac.mlg non-clone AA2
KP0645_AC_SB20 KP0645 AC SB20 SB 20 31515.5597583446 -44.4479284312882 -20.8162755915568 ac.mlg non-clone AA2
KP0646_AC_SB20 KP0646 AC SB20 SB 20 31517.9978230239 -43.1723231394793 -20.2872372731563 ac.mlg non-clone AA2
KP0647_AC_SB20 KP0647 AC SB20 SB 20 31515.1271644974 -45.0282718423863 -21.1852399688858 ac.mlg non-clone AA2
KP0648_AC_SB20 KP0648 AC SB20 SB 20 31517.8430329264 -43.0720053889429 -20.3513662763841 ac.mlg non-clone AA2
KP0649_AC_SB20 KP0649 AC SB20 SB 20 31514.6756793545 -44.4585243705458 -21.1354175679045 ac.mlg non-clone AA2
KP0650_LM_SB20 KP0650 LM SB20 SB 20 31516.8065180783 -42.7646702438868 -20.0298299377565 lm.mlg non-clone AL2
KP0652_AC_SB20 KP0652 AC SB20 SB 20 31516.3648563574 -43.3265109550941 -20.3607920161512 ac.mlg non-clone AA2
KP0654_AC_SB20 KP0654 AC SB20 SB 20 31516.0869248495 -43.5715415957895 -20.4267498552087 ac.mlg non-clone AA2
KP0657_LM_SB20 KP0657 LM SB20 SB 20 31523.2859641048 -42.5877732388774 -19.9572329905432 lm.mlg 6_AL2 AL2
KP0658_AC_SB20 KP0658 AC SB20 SB 20 31516.0266539759 -43.0108534309611 -20.3899276552492 clone 95_AA2 AA2
KP0659_LM_SB20 KP0659 LM SB20 SB 20 31523.2138013791 -42.8943899021103 -20.0268280605848 clone 6_AL2 AL2
KP0660_AC_SB20 KP0660 AC SB20 SB 20 31516.3148962846 -42.9035660055981 -20.2462454037692 ac.mlg 95_AA2 AA2
KP0661_AC_SB20 KP0661 AC SB20 SB 20 31522.5614109606 -43.2731920292283 -20.541237299004 ac.mlg non-clone AA2
KP0662_AC_SB20 KP0662 AC SB20 SB 20 31515.197719898 -43.2729208828249 -19.7057507714623 ac.mlg non-clone AA2
KP0664_LM_SB20 KP0664 LM SB20 SB 20 31515.0403342699 -43.8850155914743 -20.9665793108539 lm.mlg non-clone AL1
KP0665_AC_SB20 KP0665 AC SB20 SB 20 31521.7912887214 -43.007089319401 -19.9334658207523 ac.mlg non-clone AA2
KP0666_LM_SB20 KP0666 LM SB20 SB 20 31514.6918472245 -43.8516340183485 -20.8767593746368 lm.mlg non-clone AL1
KP0667_AC_SB20 KP0667 AC SB20 SB 20 31521.6022872951 -43.2606845815374 -20.0622113576497 ac.mlg 46_AA2 AA2
KP0668_AC_SB20 KP0668 AC SB20 SB 20 31514.2652750368 -43.7817779433947 -20.7526648354657 ac.mlg non-clone AA2
KP0669_AC_SB20 KP0669 AC SB20 SB 20 31521.5213776004 -43.184611773078 -19.9900917206857 ac.mlg non-clone AA2
KP0670_LM_SB20 KP0670 LM SB20 SB 20 31514.0628653527 -43.7469368254397 -20.8671660838137 lm.mlg non-clone AL1
KP0671_AC_SB20 KP0671 AC SB20 SB 20 31521.3764736123 -43.0417430806256 -19.9733488346757 lm.mlg non-clone AL2
KP0676_LM_SB20 KP0676 LM SB20 SB 20 31522.9277785076 -41.7229594382261 -19.4207170768148 lm.mlg non-clone AL1
KP0678_AC_SB20 KP0678 AC SB20 SB 20 31522.7114536312 -42.239738288293 -19.8460849342424 ac.mlg non-clone AA1
KP0679_AC_SB20 KP0679 AC SB20 SB 20 31526.6910407508 -41.115454176934 -18.4893152184485 ac.mlg 37_AA2 AA2
KP0680_LM_SB20 KP0680 LM SB20 SB 20 31522.0531924072 -42.5136666596111 -20.0233458133221 lm.mlg non-clone AL2
KP0681_AC_SB20 KP0681 AC SB20 SB 20 31526.6095166605 -41.2865074162847 -18.651499551467 clone 37_AA2 AA2
KP0682_LM_SB20 KP0682 LM SB20 SB 20 31522.1813140138 -42.1559366093097 -19.6855535750207 lm.mlg non-clone AL2
KP0686_AC_SB20 KP0686 AC SB20 SB 20 31520.1695165076 -41.9975150683296 -19.3473912564697 ac.mlg non-clone AA2
KP0688_AC_SB20 KP0688 AC SB20 SB 20 31520.0638060173 -42.6919235628918 -19.6621957358518 ac.mlg non-clone AA2
KP0690_AC_SB20 KP0690 AC SB20 SB 20 31519.7660210695 -43.0508145706125 -19.8297309848868 ac.mlg non-clone AA1
KP0691_AC_SB20 KP0691 AC SB20 SB 20 31525.8472786912 -42.0140121293883 -19.0400007086048 ac.mlg 96_AA2 AA2
KP0693_AC_SB20 KP0693 AC SB20 SB 20 31525.8383153651 -42.0820208775034 -19.3238866411227 clone 96_AA2 AA2
KP0694_LM_SB20 KP0694 LM SB20 SB 20 31521.0677259412 -43.3943776692089 -20.9496492763824 lm.mlg non-clone AL2
KP0696_AC_SB20 KP0696 AC SB20 SB 20 31520.6655458307 -43.3809579817525 -20.2023127606316 ac.mlg non-clone AA1
KP0698_AC_SB20 KP0698 AC SB20 SB 20 31519.9010414268 -43.1775904088918 -20.1051675907923 ac.mlg non-clone AA2
KP0699_AC_SB20 KP0699 AC SB20 SB 20 31525.4696293366 -41.8593988580531 -19.2687716814916 clone 96_AA2 AA2
KP0703_AC_SB20 KP0703 AC SB20 SB 20 31525.1002272373 -41.5575450439056 -19.1874979934637 ac.mlg 49_AA2 AA2
KP0704_AC_SB20 KP0704 AC SB20 SB 20 31527.4820899229 -42.2597694339666 -19.3694071823376 ac.mlg non-clone AA2
KP0706_LM_SB20 KP0706 LM SB20 SB 20 31526.8843138765 -42.0350955018432 -19.5268650785324 lm.mlg non-clone AL2
KP0707_LM_SB20 KP0707 LM SB20 SB 20 31524.9238017427 -41.237389481869 -19.1927340195847 lm.mlg non-clone AL2
KP0708_AC_SB20 KP0708 AC SB20 SB 20 31527.0318358038 -42.3930734082017 -19.5066477202564 ac.mlg non-clone AA2
KP0709_AC_SB20 KP0709 AC SB20 SB 20 31524.782641598 -41.2586667567262 -18.9202353645731 clone 49_AA2 AA2
KP0711_AC_SB20 KP0711 AC SB20 SB 20 31524.3850646062 -41.276778186539 -18.7289284559913 ac.mlg non-clone AA2
KP0712_AC_SB20 KP0712 AC SB20 SB 20 31526.2652327634 -42.2290938470089 -19.3773059720889 ac.mlg non-clone AA2
KP0714_AC_SB20 KP0714 AC SB20 SB 20 31525.9031476901 -42.8075041630022 -19.8916090072947 ac.mlg non-clone AA2
KP0716_LM_SB20 KP0716 LM SB20 SB 20 31524.7344761578 -42.3628832309642 -19.5275952447936 lm.mlg non-clone AL1
KP0717_AC_SB20 KP0717 AC SB20 SB 20 31533.5178008538 -42.038886189383 -18.2848248337771 ac.mlg non-clone AA2
KP0718_LM_SB20 KP0718 LM SB20 SB 20 31524.2190803164 -42.6244163643592 -20.1179198233993 lm.mlg non-clone AL2
KP0720_AC_SB20 KP0720 AC SB20 SB 20 31533.4964307863 -41.3373244680576 -18.0319402196645 ac.mlg non-clone AA2
KP0724_AC_SB20 KP0724 AC SB20 SB 20 31532.5844172115 -41.2189007341963 -18.2908338191714 ac.mlg non-clone AA2
KP0727_AC_SB20 KP0727 AC SB20 SB 20 31531.9943326414 -42.4561039391407 -19.112016615984 ac.mlg non-clone AA2
KP0730_AC_SB20 KP0730 AC SB20 SB 20 31532.2523193097 -41.5901165853308 -18.6601609860178 ac.mlg non-clone AA2
KP0731_LM_SB20 KP0731 LM SB20 SB 20 31529.6749559951 -42.3871021854788 -19.8879123848026 lm.mlg non-clone AL1
KP0732_LM_SB20 KP0732 LM SB20 SB 20 31531.9119451085 -41.3797139978239 -18.5648222333783 lm.mlg non-clone AL2
KP0734_AC_SB20 KP0734 AC SB20 SB 20 31531.4875175609 -41.4018755089923 -18.1765209699466 ac.mlg non-clone AA2
KP0217_AC_SQ20 KP0217 AC SQ20 SQ 20 42884.3271861421 -45.2049098859393 -19.7475921605409 clone 47_AA2 AA2
KP0218_AC_SQ20 KP0218 AC SQ20 SQ 20 42882.1558026607 -45.2797366227512 -19.6858073121962 ac.mlg non-clone AA1
KP0220_AC_SQ20 KP0220 AC SQ20 SQ 20 42881.6958110758 -45.1283634410301 -19.7694217874385 ac.mlg 55_AA2 AA2
KP0221_AC_SQ20 KP0221 AC SQ20 SQ 20 42881.666089217 -45.105472929934 -19.7969914997246 clone 55_AA2 AA2
KP0222_AC_SQ20 KP0222 AC SQ20 SQ 20 42881.4585691234 -45.5782092965232 -19.2598632553813 ac.mlg 38_AA2 AA2
KP0225_AC_SQ20 KP0225 AC SQ20 SQ 20 42880 -46.4873769285473 -19.4767997979341 ac.mlg 71_AA2 AA2
KP0227_AC_SQ20 KP0227 AC SQ20 SQ 20 42880.4087111803 -46.3234332292927 -19.2107011973728 clone 71_AA2 AA2
KP0229_AC_SQ20 KP0229 AC SQ20 SQ 20 42880.6743796666 -45.9982877935278 -19.2988479077355 ac.mlg non-clone AA2
KP0233_AC_SQ20 KP0233 AC SQ20 SQ 20 42881.532704261 -45.7410284570316 -19.3150873720685 clone 38_AA2 AA2
KP0235_AC_SQ20 KP0235 AC SQ20 SQ 20 42883.5822670943 -46.3720576999605 -19.1917172574959 ac.mlg non-clone AA1
KP0236_AC_SQ20 KP0236 AC SQ20 SQ 20 42883.7058410965 -45.8840443793472 -19.6140676894221 ac.mlg non-clone AA2
KP0237_AC_SQ20 KP0237 AC SQ20 SQ 20 42890.3731919765 -45.8841799060429 -19.7446121161159 ac.mlg 88_AA2 AA2
KP0238_AC_SQ20 KP0238 AC SQ20 SQ 20 42890.3630152783 -46.0123106510376 -19.7104933083223 clone 88_AA2 AA2
KP0240_AC_SQ20 KP0240 AC SQ20 SQ 20 42890.2714767203 -45.9063854618417 -19.7564963788989 clone 88_AA2 AA2
KP0241_AC_SQ20 KP0241 AC SQ20 SQ 20 42888.7740645769 -45.2948564296225 -20.0491566514059 ac.mlg non-clone AA1
KP0242_AC_SQ20 KP0242 AC SQ20 SQ 20 42888.0595592605 -45.1932454280682 -20.0727870706897 ac.mlg non-clone AA2
KP0243_AC_SQ20 KP0243 AC SQ20 SQ 20 42888.3999563957 -46.5501577948447 -20.0948075336944 ac.mlg non-clone AA1
KP0212_AC_SQ20 KP0212 AC SQ20 SQ 20 42884.5696482463 -45.3971232280195 -19.7460719780763 clone 47_AA2 AA2
KP0213_AC_SQ20 KP0213 AC SQ20 SQ 20 42884.6356356206 -45.2270406506855 -19.6574083258283 clone 47_AA2 AA2
KP0214_AC_SQ20 KP0214 AC SQ20 SQ 20 42884.4621663169 -45.1229403209601 -19.6633211875679 ac.mlg 47_AA2 AA2
KP0216_AC_SQ20 KP0216 AC SQ20 SQ 20 42884.4459705007 -45.3253401289496 -19.6164559660102 clone 47_AA2 AA2
KP0250_AC_SQ20 KP0250 AC SQ20 SQ 20 42897.8554391114 -44.7411522378233 -20.232712281775 clone 39_AA2 AA2
KP0251_AC_SQ20 KP0251 AC SQ20 SQ 20 42897.7846706325 -44.706692210885 -20.3142683338182 ac.mlg 39_AA2 AA2
KP0252_LM_SQ20 KP0252 LM SQ20 SQ 20 42899.0275098603 -46.6931555789777 -20.2813171311764 lm.mlg non-clone AL2
KP0253_LM_SQ20 KP0253 LM SQ20 SQ 20 42905.4757959299 -45.7711251428101 -20.4039601332747 clone 69_AL1 AL1
KP0254_LM_SQ20 KP0254 LM SQ20 SQ 20 42905.4034369024 -45.616139247827 -20.4021244962984 lm.mlg 69_AL1 AL1
KP0255_AC_SQ20 KP0255 AC SQ20 SQ 20 42904.9652048978 -45.3526606448035 -20.678909924239 ac.mlg 1_AA1 AA1
KP0256_AC_SQ20 KP0256 AC SQ20 SQ 20 42904.8692271728 -45.2399293307263 -20.6552522249009 clone 1_AA1 AA1
KP0257_AC_SQ20 KP0257 AC SQ20 SQ 20 42904.1885211299 -45.6547535559881 -20.8279658967712 ac.mlg non-clone AA2
KP0259_AC_SQ20 KP0259 AC SQ20 SQ 20 42904.2474565771 -45.34408527338 -20.8900879876325 ac.mlg non-clone AA1
KP0260_AC_SQ20 KP0260 AC SQ20 SQ 20 42904.0548547251 -45.7704868665539 -20.7041051789612 clone 69_AA2 AA2
KP0261_AC_SQ20 KP0261 AC SQ20 SQ 20 42904.0099412254 -45.7509561128317 -20.7044987314912 ac.mlg 69_AA2 AA2
KP0262_AC_SQ20 KP0262 AC SQ20 SQ 20 42903.9196095113 -45.7609409625456 -20.7416902746772 clone 69_AA2 AA2
KP0268_AC_SQ20 KP0268 AC SQ20 SQ 20 42901.8301176413 -45.803109894764 -20.0433120271062 clone 74_AA2 AA2
KP0271_AC_SQ20 KP0271 AC SQ20 SQ 20 42901.7168064591 -45.8619220215862 -20.0458466101719 clone 74_AA2 AA2
KP0272_AC_SQ20 KP0272 AC SQ20 SQ 20 42901.5747151106 -45.1488561870671 -20.3221872611095 ac.mlg 53_AA2 AA2
KP0273_AC_SQ20 KP0273 AC SQ20 SQ 20 42901.5148562154 -45.1937539639391 -20.2476196869325 clone 53_AA2 AA2
KP0274_AC_SQ20 KP0274 AC SQ20 SQ 20 42901.2982699391 -45.0254795902916 -20.2858721286093 clone 53_AA2 AA2
KP0275_AC_SQ20 KP0275 AC SQ20 SQ 20 42901.2314449879 -45.1070159865688 -20.2304895435691 clone 53_AA2 AA2
KP0276_AC_SQ20 KP0276 AC SQ20 SQ 20 42901.2004481325 -45.2161595732387 -20.2259908695314 clone 53_AA2 AA2
KP0277_AC_SQ20 KP0277 AC SQ20 SQ 20 42901.1453089808 -45.0594101539427 -20.280813908704 clone 53_AA2 AA2
KP0280_AC_SQ20 KP0280 AC SQ20 SQ 20 42901.0383754123 -46.4243860667398 -19.8404186475828 clone 89_AA2 AA2
KP0279_AC_SQ20 KP0279 AC SQ20 SQ 20 42900.9212825422 -46.2567868642518 -19.8782207496301 ac.mlg 89_AA2 AA2
KP0281_AC_SQ20 KP0281 AC SQ20 SQ 20 42901.0901454883 -46.4113661459335 -19.8923782441447 clone 89_AA2 AA2
KP0282_LM_SQ20 KP0282 LM SQ20 SQ 20 42903.4580415696 -46.810813744085 -20.5806785216189 lm.mlg non-clone AL2
KP0285_LM_SQ20 KP0285 LM SQ20 SQ 20 42905.3798136155 -46.2552264117102 -20.7049069175886 lm.mlg non-clone AL1
KP0283_AC_SQ20 KP0283 AC SQ20 SQ 20 42904.1185621198 -47.1139248193417 -20.4591456917358 clone 75_AA2 AA2
KP0284_AC_SQ20 KP0284 AC SQ20 SQ 20 42904.1300418696 -47.155 -20.4233636066344 ac.mlg 75_AA2 AA2
KP0264_AC_SQ20 KP0264 AC SQ20 SQ 20 42901.9699765961 -45.9438548565346 -20.2997967153238 clone 74_AA2 AA2
KP0269_AC_SQ20 KP0269 AC SQ20 SQ 20 42901.7885977277 -45.8355713301105 -20.0319846777589 ac.mlg 74_AA2 AA2
KP0249_LM_SQ20 KP0249 LM SQ20 SQ 20 42898.0932076546 -44.5593761348194 -20.522044825623 lm.mlg non-clone AL2
KP0258_AC_SQ20 KP0258 AC SQ20 SQ 20 42904.1299453188 -45.6537267128989 -20.8558594625378 clone 69_AA2 AA2
KP0950_AC_WP05 KP0950 AC WP05 WP 5 1.64693213403246 0.458427957824395 -5.03528425163498 ac.mlg non-clone AA2
KP0954_HU_WP05 KP0954 HU WP05 WP 5 1.06996846164174 0.930018474366114 -4.89129605302583 hu.mlg 113_AH3 AH3
KP0956_HU_WP05 KP0956 HU WP05 WP 5 0.981537536081115 0.900871552114937 -4.83642441476952 hu.mlg non-clone AH3
KP0957_HU_WP05 KP0957 HU WP05 WP 5 1.05200353470299 0.979434229907109 -4.90099973303757 hu.mlg non-clone AH3
KP0958_HU_WP05 KP0958 HU WP05 WP 5 0.898305329359442 0.846790985018358 -4.85249940767238 hu.mlg non-clone AH3
KP0959_HU_WP05 KP0959 HU WP05 WP 5 0.689750296427123 0.719992501601502 -4.95198791341673 hu.mlg non-clone AH2
KP0960_HU_WP05 KP0960 HU WP05 WP 5 0.679627245070359 0.518893010721138 -4.93101803693956 hu.mlg non-clone AH2
KP0961_HU_WP05 KP0961 HU WP05 WP 5 0.353348790990008 0.928435360458453 -5.09991868676607 hu.mlg non-clone AH3
KP0962_AC_WP05 KP0962 AC WP05 WP 5 0.35316714331244 0.988751831976078 -5.05429775223373 ac.mlg non-clone AA2
KP0963_HU_WP05 KP0963 HU WP05 WP 5 0 0.533090673201586 -5.18220477439022 hu.mlg non-clone AH1
KP0964_HU_WP05 KP0964 HU WP05 WP 5 1.26102190053662 0.230927120621732 -4.96424665074689 hu.mlg non-clone AH3
KP0965_AC_WP05 KP0965 AC WP05 WP 5 1.47850771055136 0.172964991424986 -4.95973946813661 ac.mlg non-clone AA2
