country,locality,yearCollected,materialSampleID,principalInvestigator,collectorList,continentOcean,locationID,decimalLatitude,decimalLongitude,depthOfBottomInMeters,eventEnteredBy,habitat,island,georeferenceProtocol,microHabitat,fieldNotes,associatedMedia,identificationRemarks,class,family,genus,identifiedBy,kingdom,order,phylum,scientificName,bioProjectAccession,tissueID
Curacao,Snake Bay,2019,KP0046_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31510.9863910583 | -28.4880162815695 | -10.1053635952887,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA,Can't see the coral- position estimated | NA,NA,AA2 | non-clone,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0046_AC_SB10
Curacao,Snake Bay,2019,KP0047_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | NA | NA | NA,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA,Can't see the coral- position estimated | NA,NA,NA | NA,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0047_AC_SB10
Curacao,Snake Bay,2019,KP0048_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | NA | NA | NA,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA,Can't see the coral- position estimated | NA,NA,NA | NA,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0048_AC_SB10
Curacao,Snake Bay,2019,KP0049_HU_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31509 | -28.678888278466 | -10.106739553057,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA,Coral on the small unsettled rock- and Can't see the coral- position estimated | NA,NA,AH1 | non-clone,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia humilis,NA,KP0049_HU_SB10
Curacao,Snake Bay,2019,KP0050_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31513.0230191625 | -30 | -10.3785791469728,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA,Can't see the coral- position estimated | NA,NA,AA2 | non-clone,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0050_AC_SB10
Curacao,Snake Bay,2019,KP0051_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | NA | NA | NA,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,NA | NA,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0051_AC_SB10
Curacao,Snake Bay,2019,KP0052_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31518.0280682582 | -28.5555023163497 | -10.0582112513495,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 48_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0052_AC_SB10
Curacao,Snake Bay,2019,KP0053_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31517.9380920942 | -28.3334026300159 | -9.97785175337508,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 48_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0053_AC_SB10
Curacao,Snake Bay,2019,KP0054_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31517.8088858617 | -28.2966744501096 | -9.90966199194595,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 48_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0054_AC_SB10
Curacao,Snake Bay,2019,KP0055_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31517.7600444585 | -28.2045262024559 | -10.0300479526872,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA,Cant see the coral- position estimated | NA,NA,AA2 | 48_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0055_AC_SB10
Curacao,Snake Bay,2019,KP0056_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31517.9134087149 | -28.2404623458953 | -10.0844874945351,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 48_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0056_AC_SB10
