sample_name	tissue	biomaterial_provider	collected_by	dev_stage	identified_by	sex	sample_title	organism	collection_date	geo_loc_name	depth	lat_lon	breed	host	age	bcid	locationID	associatedMedia	identificationRemarks	bioProjectAccession	class	continentOcean	decimalLatitude	decimalLongitude	depthOfBottomInMeters	eventEnteredBy	eventID	family	fieldNotes	genus	georeferenceProtocol	habitat	island	kingdom	locality	materialSampleID	microHabitat	order	phylum	scientificName	yearCollected
KP0046_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0046_AC_SB10	SB | 31510.9863910583 | -28.4880162815695 | -10.1053635952887	NA	AA2 | non-clone	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	d8f53785c88f6df9f96e31a2defa82cd	Agariciidae	Can't see the coral- position estimated | NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0046_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0047_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0047_AC_SB10	SB | NA | NA | NA	NA	NA | NA	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	c4b931fd43c9d51cf527dd62dda448a3	Agariciidae	Can't see the coral- position estimated | NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0047_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0048_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0048_AC_SB10	SB | NA | NA | NA	NA	NA | NA	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	c4b931fd43c9d51cf527dd62dda448a3	Agariciidae	Can't see the coral- position estimated | NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0048_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0049_HU_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_humilis	Agaricia humilis	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0049_HU_SB10	SB | 31509 | -28.678888278466 | -10.106739553057	NA	AH1 | non-clone	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	50ad33f9304431c9a2da944993f5f54d	Agariciidae	Coral on the small unsettled rock- and Can't see the coral- position estimated | NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0049_HU_SB10	NA	Scleractinia	Cnidaria	Agaricia humilis	2019
KP0050_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0050_AC_SB10	SB | 31513.0230191625 | -30 | -10.3785791469728	NA	AA2 | non-clone	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	a320e226b15c88ac1c067c1c0e77d936	Agariciidae	Can't see the coral- position estimated | NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0050_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0051_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0051_AC_SB10	SB | NA | NA | NA	NA	NA | NA	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	e9722daeabc7d61f2368a6e3abce3d09	Agariciidae	| NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0051_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0052_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0052_AC_SB10	SB | 31518.0280682582 | -28.5555023163497 | -10.0582112513495	NA	AA2 | 48_AA2	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	db15c8839b74632af30c0af4d407e3c8	Agariciidae	| NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0052_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0053_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0053_AC_SB10	SB | 31517.9380920942 | -28.3334026300159 | -9.97785175337508	NA	AA2 | 48_AA2	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	73f72edc62c1eca1210496af5c7d3da5	Agariciidae	| NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0053_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0054_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0054_AC_SB10	SB | 31517.8088858617 | -28.2966744501096 | -9.90966199194595	NA	AA2 | 48_AA2	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	aff34f010a6e709e7ce1d574e8f8dc1b	Agariciidae	| NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0054_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0055_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0055_AC_SB10	SB | 31517.7600444585 | -28.2045262024559 | -10.0300479526872	NA	AA2 | 48_AA2	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	205d6e7a3c7077eb014863eb586d2f6c	Agariciidae	Cant see the coral- position estimated | NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0055_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0056_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0056_AC_SB10	SB | 31517.9134087149 | -28.2404623458953 | -10.0844874945351	NA	AA2 | 48_AA2	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	aeb9e9fad27f12ae6fd404a6f90595ac	Agariciidae	| NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0056_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0057_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0057_AC_SB10	SB | 31517.9575423288 | -28.085273522272 | -10.1145832757884	NA	AA2 | non-clone	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	27ca6a17580eafd6a1d7cc8ac48c404f	Agariciidae	| NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0057_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0058_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0058_AC_SB10	SB | 31517.0565610605 | -28.5822047544901 | -9.82497732169825	NA	AA2 | 42_AA2	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	797368730b0859e0d6a87b323219c263	Agariciidae	| NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0058_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0059_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0059_AC_SB10	SB | 31517.0170413807 | -28.5554491971128 | -10.0350187610595	NA	AA2 | 42_AA2	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	61118160bee7ece45e887c778d819ffc	Agariciidae	| NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0059_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0060_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0060_AC_SB10	SB | 31516.9491586198 | -28.3895784545622 | -9.95124294442956	NA	AA2 | non-clone	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	303e985f081a258a227b186fc0c09092	Agariciidae	Coral half of its body gone | NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0060_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0061_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0061_AC_SB10	SB | 31516.8043989723 | -28.0289346549337 | -9.80471338351038	NA	AA2 | 90_AA2	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	10e0eeba416947ad9cdfedf9431b8db4	Agariciidae	| NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0061_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
KP0062_AC_SB10	missing	Pim Bongaerts	Katharine E. Prata | Livia Sinigalia	missing	Katharine E. Prata	missing	Agaricia_agaricites	Agaricia agaricites	2019	Curacao: Snake Bay	missing	12.139446 N 68.997199 W	missing	missing	missing	https://n2t.net/ark:/21547/FfD2KP0062_AC_SB10	SB | 31516.78098149 | -27.9297669292368 | -9.89743066832981	NA	AA2 | 90_AA2	NA	Hexacorallia	Caribbean	12.139446	-68.997199	10	Katharine E. Prata	c4a03bebb11c8d79c84371e74f023e13	Agariciidae	| NA	Agaricia	Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID	marine coral reef biome	Curacao	Animalia	Snake Bay	KP0062_AC_SB10	NA	Scleractinia	Cnidaria	Agaricia agaricites	2019
